,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5439744171609517,2023-08-23 23:24:01.365206,2023-08-23 23:24:07.598692,0 days 00:00:06.233486,0.4,3,0.6000000000000001,1.1766987980804817e-06,7.060443614737575e-05,10,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5543232888060474,2023-08-23 23:24:01.366638,2023-08-23 23:24:04.284492,0 days 00:00:02.917854,0.6000000000000001,2,0.9,0.17267164216491038,0.05423117945031507,40,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5346644459987402,2023-08-23 23:24:01.368028,2023-08-23 23:24:03.540415,0 days 00:00:02.172387,0.5,1,0.9,0.00028439490873663454,4.2803431892685113e-07,40,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5408270431628994,2023-08-23 23:24:01.369686,2023-08-23 23:24:04.827637,0 days 00:00:03.457951,0.9,3,0.8,4.5300943283522897e-07,5.234497405182046e-07,50,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.542449759669213,2023-08-23 23:24:01.370828,2023-08-23 23:24:02.299363,0 days 00:00:00.928535,0.6000000000000001,1,0.9,0.06966784401822369,0.0010711686660905527,100,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5559728801873844,2023-08-23 23:24:01.371813,2023-08-23 23:24:03.034337,0 days 00:00:01.662524,0.7000000000000001,2,0.7000000000000001,0.1064370152005487,0.00420462083770535,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5328775620808766,2023-08-23 23:24:01.372956,2023-08-23 23:24:02.975268,0 days 00:00:01.602312,1.0,1,0.5,0.012515280508810362,0.006738579434154992,40,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5119558103615278,2023-08-23 23:24:01.373480,2023-08-23 23:24:03.093976,0 days 00:00:01.720496,0.5,1,0.4,1.0819115940646648e-05,0.0021793836646308976,50,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5403273436719138,2023-08-23 23:24:02.344310,2023-08-23 23:24:04.183271,0 days 00:00:01.838961,0.5,3,0.5,4.9202489548266875e-06,0.00026917149784736404,50,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5193044091052765,2023-08-23 23:24:03.027551,2023-08-23 23:24:05.011639,0 days 00:00:01.984088,0.9,1,0.5,1.9995580084490767e-08,0.0037643536360066686,40,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5625916214151507,2023-08-23 23:24:03.088663,2023-08-23 23:24:08.114403,0 days 00:00:05.025740,1.0,3,0.8,0.024942698709063522,3.770540523901817e-08,30,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.528318743107298,2023-08-23 23:24:03.141415,2023-08-23 23:24:05.707489,0 days 00:00:02.566074,0.7000000000000001,3,0.5,2.7195358403048505e-06,5.935240179846492e-08,60,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5332889781733856,2023-08-23 23:24:03.585689,2023-08-23 23:24:05.522545,0 days 00:00:01.936856,0.7000000000000001,2,0.5,0.00014453908181288747,0.0002499786442698944,70,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5540316902545684,2023-08-23 23:24:04.230106,2023-08-23 23:24:05.955621,0 days 00:00:01.725515,0.6000000000000001,2,0.9,1.0434388492045462e-06,2.486311622070013e-06,100,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5463010782978857,2023-08-23 23:24:04.329253,2023-08-23 23:24:13.079895,0 days 00:00:08.750642,1.0,2,1.0,4.564514351372469e-07,0.49725334502769364,10,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.520833594947977,2023-08-23 23:24:04.874010,2023-08-23 23:24:05.352133,0 days 00:00:00.478123,0.8,2,0.5,2.8113292365962857e-08,0.007016336224253136,20,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5515334338863751,2023-08-23 23:24:05.058776,2023-08-23 23:24:10.612936,0 days 00:00:05.554160,0.6000000000000001,1,0.5,6.033095258175718e-08,7.20817716602692e-07,10,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5431925336842038,2023-08-23 23:24:05.403108,2023-08-23 23:24:07.171502,0 days 00:00:01.768394,0.7000000000000001,2,0.7000000000000001,0.0024991117357173478,0.47723104241061787,100,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5484407527364957,2023-08-23 23:24:05.574760,2023-08-23 23:24:07.318229,0 days 00:00:01.743469,0.7000000000000001,2,0.7000000000000001,0.8651160646853796,0.1743965804746816,100,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5529922111219739,2023-08-23 23:24:05.753170,2023-08-23 23:24:06.729973,0 days 00:00:00.976803,0.4,2,0.7000000000000001,0.9354897348744657,0.46243290415655247,100,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
