,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4811247216760211,2023-08-23 23:20:00.204847,2023-08-23 23:20:02.470395,0 days 00:00:02.265548,0.7000000000000001,3,0.9,1.849336120006116e-08,0.02129932821217889,50,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4738876513368196,2023-08-23 23:20:00.207015,2023-08-23 23:20:01.869335,0 days 00:00:01.662320,1.0,3,0.7000000000000001,3.9917457921078387e-08,0.03770205479714275,100,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.47867716267075644,2023-08-23 23:20:00.209068,2023-08-23 23:20:01.501015,0 days 00:00:01.291947,1.0,3,0.4,4.67441583171818e-08,0.7981045170164145,100,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.47554022897384574,2023-08-23 23:20:00.212153,2023-08-23 23:20:00.943621,0 days 00:00:00.731468,0.6000000000000001,1,0.7000000000000001,0.003225175934932427,4.28745191844029e-05,50,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.4722240483860365,2023-08-23 23:20:00.215863,2023-08-23 23:20:00.688682,0 days 00:00:00.472819,0.7000000000000001,1,0.7000000000000001,8.7070663187357e-08,0.1747965629112657,40,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.47255335033505297,2023-08-23 23:20:00.218687,2023-08-23 23:20:03.415647,0 days 00:00:03.196960,0.6000000000000001,2,0.9,0.020926371348180064,0.003089445157562407,30,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.49460427635254606,2023-08-23 23:20:00.221726,2023-08-23 23:20:01.401746,0 days 00:00:01.180020,0.5,3,0.9,0.0015897393147525285,2.231300193361059e-07,90,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.4717166965381481,2023-08-23 23:20:00.224932,2023-08-23 23:20:04.137551,0 days 00:00:03.912619,0.8,3,0.5,0.02149439735988208,6.87163904944784e-08,30,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.47274705500805553,2023-08-23 23:20:00.731674,2023-08-23 23:20:03.243755,0 days 00:00:02.512081,1.0,1,0.9,6.53812659270993e-07,0.0026351645034757704,60,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.48067597929080785,2023-08-23 23:20:00.986383,2023-08-23 23:20:03.302414,0 days 00:00:02.316031,1.0,3,1.0,1.1495238146838104e-07,0.008437424878286874,70,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5254684952014329,2023-08-23 23:20:01.443377,2023-08-23 23:20:02.916628,0 days 00:00:01.473251,0.7000000000000001,1,0.4,7.485161933422467e-05,3.1629393288390345e-07,90,161,COMPLETE,1.0,0.5538116591928252,0.5331133919843598,0.538103718979214,0.5254684952014329,0.717741935483871,0.5798045602605864,0.6414414414414414,0.3484848484848485,0.49640287769784175,0.40949554896142437,0.5381205673758865,0.516391303794407,0.5192581625671568,0.5061507628055109,0.7140575079872205,0.5665399239543726,0.6318021201413428,0.3187250996015936,0.471976401179941,0.380499405469679
11,11,0.4843268242548817,2023-08-23 23:20:01.544205,2023-08-23 23:20:02.524431,0 days 00:00:00.980226,0.6000000000000001,2,0.5,2.1220841358675774e-06,6.924773158210219e-05,100,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5007607372630847,2023-08-23 23:20:01.914634,2023-08-23 23:20:02.407582,0 days 00:00:00.492948,0.6000000000000001,2,0.7000000000000001,0.1325997805312073,4.030157585785544e-07,30,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5033059414360972,2023-08-23 23:20:02.450935,2023-08-23 23:20:04.057039,0 days 00:00:01.606104,0.4,3,0.8,3.78142715605209e-06,0.005132524183394045,50,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.49420685978876067,2023-08-23 23:20:02.516886,2023-08-23 23:20:04.403247,0 days 00:00:01.886361,0.7000000000000001,2,0.5,1.0209972448855085e-05,0.009994768002147065,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.48569497186710936,2023-08-23 23:20:02.571654,2023-08-23 23:20:03.796394,0 days 00:00:01.224740,0.4,3,0.9,8.720582869924651e-06,0.03598101097937922,70,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5114986230019739,2023-08-23 23:20:02.962355,2023-08-23 23:20:05.196626,0 days 00:00:02.234271,0.4,3,0.5,0.08416332703716216,1.3623508042912623e-05,30,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.4876467715150923,2023-08-23 23:20:03.351553,2023-08-23 23:20:06.214923,0 days 00:00:02.863370,0.8,2,0.5,0.5029360086059755,1.3842513100058072e-08,10,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.48628180767497897,2023-08-23 23:20:03.354024,2023-08-23 23:20:06.589266,0 days 00:00:03.235242,0.8,2,0.5,0.5561573341112608,2.1009687187373055e-08,10,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.48115063415067727,2023-08-23 23:20:03.477826,2023-08-23 23:20:05.826955,0 days 00:00:02.349129,0.8,2,0.5,0.09998962575092253,1.4841296943215953e-08,10,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.4825526399682253,2023-08-23 23:20:03.839167,2023-08-23 23:20:07.051501,0 days 00:00:03.212334,0.8,2,0.5,0.4789228770785294,1.780382384402025e-08,10,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.48410947223070205,2023-08-23 23:20:04.104487,2023-08-23 23:20:08.052377,0 days 00:00:03.947890,0.8,1,0.5,4.6415625347899605e-05,1.1021936001878648e-08,10,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.48422461002323264,2023-08-23 23:20:04.187888,2023-08-23 23:20:07.437648,0 days 00:00:03.249760,0.8,1,0.6000000000000001,6.0061715130208374e-05,7.0937597012980675e-06,10,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.481061314384259,2023-08-23 23:20:04.452123,2023-08-23 23:20:08.257533,0 days 00:00:03.805410,0.4,1,0.6000000000000001,0.0001514380801751902,4.834046964878339e-06,10,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.47974598790617873,2023-08-23 23:20:05.241135,2023-08-23 23:20:08.210570,0 days 00:00:02.969435,0.8,1,0.4,0.00019997900142063916,2.3064966642119743e-06,10,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.4965004699499285,2023-08-23 23:20:05.877300,2023-08-23 23:20:09.138932,0 days 00:00:03.261632,0.8,1,0.4,0.9778265136012424,5.18420300275004e-06,10,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.503696049598601,2023-08-23 23:20:06.265734,2023-08-23 23:20:07.485299,0 days 00:00:01.219565,0.5,1,0.4,0.0001352628471839716,4.451130176712859e-06,80,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.503696049598601,2023-08-23 23:20:06.647371,2023-08-23 23:20:07.774940,0 days 00:00:01.127569,0.5,1,0.4,0.00012867004572295122,4.261440597448522e-06,80,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5006845388635981,2023-08-23 23:20:07.094709,2023-08-23 23:20:07.969949,0 days 00:00:00.875240,0.4,1,0.4,0.0002064720757551776,2.4694399909653944e-06,80,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.503696049598601,2023-08-23 23:20:07.535730,2023-08-23 23:20:08.766801,0 days 00:00:01.231071,0.5,1,0.4,0.00026051842728862354,2.083624352545157e-06,80,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.503696049598601,2023-08-23 23:20:07.551298,2023-08-23 23:20:08.897988,0 days 00:00:01.346690,0.5,1,0.4,0.00021537354306644523,1.9318036966409737e-06,80,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.503696049598601,2023-08-23 23:20:07.817324,2023-08-23 23:20:08.996701,0 days 00:00:01.179377,0.5,1,0.4,0.0002752351269126132,2.3206857306809787e-06,80,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.479158915503606,2023-08-23 23:20:08.016064,2023-08-23 23:20:09.450570,0 days 00:00:01.434506,0.5,1,0.6000000000000001,0.0008879659838790895,1.0252786576578565e-06,90,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.479158915503606,2023-08-23 23:20:08.098827,2023-08-23 23:20:09.384065,0 days 00:00:01.285238,0.5,1,0.6000000000000001,0.001130807222959576,1.283497268719015e-06,90,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.479158915503606,2023-08-23 23:20:08.254983,2023-08-23 23:20:09.651904,0 days 00:00:01.396921,0.5,1,0.6000000000000001,0.0007564877172049001,2.519240811684461e-05,90,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.479158915503606,2023-08-23 23:20:08.304151,2023-08-23 23:20:09.593686,0 days 00:00:01.289535,0.5,1,0.6000000000000001,0.0006322510976434501,0.00027905373014788635,90,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5080251248903862,2023-08-23 23:20:08.809985,2023-08-23 23:20:10.032885,0 days 00:00:01.222900,0.5,2,0.6000000000000001,0.0005450885453465002,0.0002117984145986334,90,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5005493576741041,2023-08-23 23:20:08.938684,2023-08-23 23:20:10.663074,0 days 00:00:01.724390,0.9,2,0.6000000000000001,0.0012020876591866852,0.00024152786814822356,90,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.479158915503606,2023-08-23 23:20:09.041052,2023-08-23 23:20:10.134120,0 days 00:00:01.093068,0.5,1,0.6000000000000001,0.001082180365595188,2.2452606837543297e-05,90,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
