,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5182701554710264,2023-08-23 23:20:54.500186,2023-08-23 23:20:55.805529,0 days 00:00:01.305343,0.6000000000000001,2,0.8,0.12940554960357803,0.023266879728738622,50,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.520509977076487,2023-08-23 23:20:54.502340,2023-08-23 23:20:55.023786,0 days 00:00:00.521446,0.6000000000000001,3,0.6000000000000001,1.5942732346394983e-07,0.032184247468040224,80,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5236736969856004,2023-08-23 23:20:54.504261,2023-08-23 23:20:55.662525,0 days 00:00:01.158264,0.6000000000000001,3,1.0,8.816576104289357e-08,0.013149572179318258,80,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5146753163722906,2023-08-23 23:20:54.507602,2023-08-23 23:20:56.406508,0 days 00:00:01.898906,0.9,2,0.4,0.07512154498402432,5.148111715224136e-08,10,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5349279456397689,2023-08-23 23:20:54.510911,2023-08-23 23:20:56.083740,0 days 00:00:01.572829,0.8,2,0.7000000000000001,4.6254653225448025e-05,2.0946630989178663e-06,20,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4779750792902313,2023-08-23 23:20:54.514193,2023-08-23 23:20:56.843495,0 days 00:00:02.329302,0.5,2,0.5,0.12091837725066405,0.05017161905732485,20,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5021486667784671,2023-08-23 23:20:54.519308,2023-08-23 23:20:55.988261,0 days 00:00:01.468953,0.7000000000000001,3,0.8,2.2555892892528783e-07,4.508194616351945e-08,70,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.515930173496939,2023-08-23 23:20:54.522285,2023-08-23 23:20:55.177333,0 days 00:00:00.655048,0.7000000000000001,2,0.5,7.362695848548274e-08,0.00044813216157942807,30,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.4996794871794872,2023-08-23 23:20:55.065566,2023-08-23 23:20:57.588507,0 days 00:00:02.522941,0.7000000000000001,1,0.7000000000000001,7.839072302745578e-06,0.12689425513738792,30,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5050378873908286,2023-08-23 23:20:55.223396,2023-08-23 23:20:58.509192,0 days 00:00:03.285796,0.9,2,0.9,0.04209959809172999,2.3954728267089252e-08,50,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5160303267703026,2023-08-23 23:20:55.706842,2023-08-23 23:20:58.626945,0 days 00:00:02.920103,0.7000000000000001,2,0.9,0.8867424386742924,1.676459791581773e-05,40,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5100786042377601,2023-08-23 23:20:55.847705,2023-08-23 23:20:59.780018,0 days 00:00:03.932313,0.6000000000000001,1,0.8,1.3083293254913587e-08,3.7826249328798504e-08,20,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5132063430041353,2023-08-23 23:20:56.029126,2023-08-23 23:20:57.792415,0 days 00:00:01.763289,0.9,1,0.8,0.0012229276045842205,0.8840629422328506,80,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5241132321420172,2023-08-23 23:20:56.126461,2023-08-23 23:20:56.719777,0 days 00:00:00.593316,0.8,2,1.0,0.06116982195369347,0.002384173928236481,70,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.49073264637434644,2023-08-23 23:20:56.450834,2023-08-23 23:20:57.177123,0 days 00:00:00.726289,0.5,3,0.4,5.352460866285373e-06,2.984160912020134e-08,40,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.522082432215752,2023-08-23 23:20:56.763459,2023-08-23 23:20:58.111049,0 days 00:00:01.347590,0.4,2,0.5,0.02880182752360797,4.433453748038958e-08,50,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5258260658817417,2023-08-23 23:20:56.885193,2023-08-23 23:20:57.690273,0 days 00:00:00.805080,0.4,3,0.5,4.1216386849522623e-05,0.7154682238216412,90,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5170736300295022,2023-08-23 23:20:57.219737,2023-08-23 23:20:58.910871,0 days 00:00:01.691134,1.0,1,0.7000000000000001,0.0003896886811464628,6.964679938872548e-06,100,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.534918313082259,2023-08-23 23:20:57.633840,2023-08-23 23:20:59.450536,0 days 00:00:01.816696,0.9,1,1.0,0.0028088970275756495,6.797891949974065e-06,100,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5213383838383838,2023-08-23 23:20:57.737374,2023-08-23 23:20:59.536602,0 days 00:00:01.799228,1.0,1,0.7000000000000001,0.0002870368974444884,1.4808300229176817e-05,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5049891931792233,2023-08-23 23:20:57.838525,2023-08-23 23:20:58.721297,0 days 00:00:00.882772,0.4,1,0.6000000000000001,0.0003851102797617907,4.37716946520228e-05,100,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5213383838383838,2023-08-23 23:20:58.154130,2023-08-23 23:21:00.083796,0 days 00:00:01.929666,1.0,1,0.7000000000000001,0.000243160684223429,2.39723295046848e-06,90,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.515105533415982,2023-08-23 23:20:58.563330,2023-08-23 23:21:00.385386,0 days 00:00:01.822056,1.0,1,0.6000000000000001,0.0002059685567244684,1.1095619341553974e-05,100,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.49032807662739725,2023-08-23 23:20:58.670433,2023-08-23 23:21:01.884552,0 days 00:00:03.214119,1.0,1,0.6000000000000001,0.00020957079675105938,2.9277999067417392e-05,10,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5170736300295022,2023-08-23 23:20:58.763898,2023-08-23 23:21:00.441670,0 days 00:00:01.677772,1.0,3,0.7000000000000001,3.667227213804055e-05,3.1797394892194055e-06,100,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.49922484612809354,2023-08-23 23:20:58.959252,2023-08-23 23:21:02.364464,0 days 00:00:03.405212,0.8,3,0.6000000000000001,2.9760285638879658e-05,2.0262730287825902e-06,10,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.4968573730862208,2023-08-23 23:20:59.499500,2023-08-23 23:21:03.117544,0 days 00:00:03.618044,1.0,1,0.9,4.644360921092769e-05,5.501269379951607e-07,10,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.504791052408536,2023-08-23 23:20:59.601337,2023-08-23 23:21:03.254593,0 days 00:00:03.653256,0.8,1,0.9,0.004910766219991299,1.6344229675456687e-06,10,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5236736969856004,2023-08-23 23:20:59.827700,2023-08-23 23:21:01.042069,0 days 00:00:01.214369,0.8,3,0.6000000000000001,3.672191438137901e-05,8.998122795996505e-07,100,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5236736969856004,2023-08-23 23:21:00.134004,2023-08-23 23:21:01.386741,0 days 00:00:01.252737,0.8,3,0.6000000000000001,5.438433575326646e-05,1.3781015704963164e-06,100,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5198796391769291,2023-08-23 23:21:00.428768,2023-08-23 23:21:02.924128,0 days 00:00:02.495360,0.8,3,1.0,2.6091604456994015e-05,9.544225026200711e-07,70,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5148542997444128,2023-08-23 23:21:00.507281,2023-08-23 23:21:02.274065,0 days 00:00:01.766784,0.8,3,0.9,0.0037631196233346782,0.00019536165654611109,70,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.4913527785155213,2023-08-23 23:21:01.088080,2023-08-23 23:21:02.736273,0 days 00:00:01.648193,0.8,3,0.9,0.0027898730399851354,5.194216136358622e-07,70,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5291349714337594,2023-08-23 23:21:01.430055,2023-08-23 23:21:02.980336,0 days 00:00:01.550281,0.8,2,0.9,0.0028249239427849725,0.00022710943664739687,70,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5171557576657989,2023-08-23 23:21:01.930065,2023-08-23 23:21:03.906953,0 days 00:00:01.976888,0.8,2,0.9,0.0030843502951664117,0.00015713722932374078,60,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5069521214480343,2023-08-23 23:21:02.322976,2023-08-23 23:21:04.909548,0 days 00:00:02.586572,0.9,2,0.4,0.005144698303678661,0.00011991395981964836,60,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5235438101559907,2023-08-23 23:21:02.424636,2023-08-23 23:21:04.991750,0 days 00:00:02.567114,0.9,2,1.0,0.0047825551633608795,3.1299686773950617e-07,60,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5217964575076102,2023-08-23 23:21:02.781141,2023-08-23 23:21:04.255887,0 days 00:00:01.474746,0.9,2,1.0,5.417640535245184e-06,9.403761332923283e-05,60,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.4134318543468548,2023-08-23 23:21:02.969016,2023-08-23 23:21:03.450052,0 days 00:00:00.481036,0.9,2,1.0,0.012915057057755598,0.0014095594768619006,60,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.4950746965452848,2023-08-23 23:21:03.024708,2023-08-23 23:21:03.648021,0 days 00:00:00.623313,0.9,2,1.0,0.0014489107801297176,0.00018457730851308905,60,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5211642841521363,2023-08-23 23:21:03.162600,2023-08-23 23:21:04.667335,0 days 00:00:01.504735,0.9,2,1.0,0.00808709430838078,8.862856253765999e-05,60,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
