,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5095069321380173,2023-08-23 23:21:53.163340,2023-08-23 23:21:55.468731,0 days 00:00:02.305391,0.6000000000000001,3,0.7000000000000001,0.6233075375468933,1.6581972881889743e-08,40,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4960537457774623,2023-08-23 23:21:53.165598,2023-08-23 23:21:54.627404,0 days 00:00:01.461806,0.8,2,0.6000000000000001,6.07711643875425e-07,3.2695954846158004e-08,80,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5230344669285464,2023-08-23 23:21:53.168067,2023-08-23 23:21:54.577785,0 days 00:00:01.409718,0.4,3,0.6000000000000001,0.008998516435911506,5.396872461643539e-06,40,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4879799463902976,2023-08-23 23:21:53.168933,2023-08-23 23:21:53.987034,0 days 00:00:00.818101,0.4,2,0.5,0.0025848012064069916,7.516083197163396e-06,70,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5042282199921045,2023-08-23 23:21:53.171721,2023-08-23 23:21:54.685870,0 days 00:00:01.514149,0.7000000000000001,3,0.5,0.49293970221755384,2.9525540972642277e-08,80,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5147467738345036,2023-08-23 23:21:53.175428,2023-08-23 23:21:53.793613,0 days 00:00:00.618185,0.4,2,0.7000000000000001,0.002652782239733975,1.1808568358823976e-06,90,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4866390470585637,2023-08-23 23:21:53.179415,2023-08-23 23:21:54.980432,0 days 00:00:01.801017,0.9,1,0.7000000000000001,1.0487475245520765e-07,0.07842628895359127,80,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5162112365382121,2023-08-23 23:21:53.182875,2023-08-23 23:21:55.318155,0 days 00:00:02.135280,0.9,2,0.8,1.1714581653583228e-06,1.764806747512007e-06,60,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.483950051552297,2023-08-23 23:21:53.833906,2023-08-23 23:21:54.169914,0 days 00:00:00.336008,0.8,3,0.7000000000000001,0.02573909750854046,7.212092780256679e-08,40,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5063303952306772,2023-08-23 23:21:54.029178,2023-08-23 23:21:55.955607,0 days 00:00:01.926429,0.9,3,0.4,5.566944124215746e-05,0.01291402889708378,80,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.4900062656641604,2023-08-23 23:21:54.215908,2023-08-23 23:21:55.592199,0 days 00:00:01.376291,1.0,1,0.8,9.770838585066526e-07,0.13611828404415924,100,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5062160162656305,2023-08-23 23:21:54.623187,2023-08-23 23:21:57.123240,0 days 00:00:02.500053,0.7000000000000001,2,0.7000000000000001,0.15738164470961577,0.0017269112583340794,50,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5017083776184619,2023-08-23 23:21:54.674622,2023-08-23 23:21:55.787449,0 days 00:00:01.112827,1.0,3,1.0,0.00046585399920040884,5.34144309455217e-05,90,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5035302356451892,2023-08-23 23:21:54.728561,2023-08-23 23:21:56.306859,0 days 00:00:01.578298,0.9,2,0.6000000000000001,0.0006307478995597584,9.931421242746705e-06,100,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5244933171950246,2023-08-23 23:21:55.024237,2023-08-23 23:21:57.988281,0 days 00:00:02.964044,0.8,2,0.8,4.907132456538755e-08,3.195264255404474e-05,40,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
