,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5040132926007576,2023-08-23 23:25:13.479433,2023-08-23 23:25:15.869918,0 days 00:00:02.390485,0.8,3,0.7000000000000001,0.010861496074108726,6.163467018089362e-08,40,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.48654803914207767,2023-08-23 23:25:13.481594,2023-08-23 23:25:15.680901,0 days 00:00:02.199307,0.9,2,0.8,9.028774124809368e-07,6.796049667070167e-06,70,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4758609753024015,2023-08-23 23:25:13.483822,2023-08-23 23:25:14.023064,0 days 00:00:00.539242,1.0,2,0.9,0.002553828912652018,0.00014349644144147093,60,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.49978396168307637,2023-08-23 23:25:13.486236,2023-08-23 23:25:15.203465,0 days 00:00:01.717229,0.9,1,1.0,0.011455267652385996,0.0010337518425515431,100,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.47955207262761224,2023-08-23 23:25:13.489346,2023-08-23 23:25:14.851784,0 days 00:00:01.362438,1.0,2,0.7000000000000001,0.00020837471929218833,0.0620449967491406,20,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4966059931642954,2023-08-23 23:25:13.492631,2023-08-23 23:25:15.037241,0 days 00:00:01.544610,0.9,3,0.4,0.01527917902149513,0.00023670818576466428,80,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.49178946053946054,2023-08-23 23:25:13.496164,2023-08-23 23:25:15.684327,0 days 00:00:02.188163,1.0,2,0.7000000000000001,0.00016977688136301684,3.660861276061607e-07,40,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.47240493973858433,2023-08-23 23:25:13.498826,2023-08-23 23:25:14.204475,0 days 00:00:00.705649,0.5,2,0.8,2.856704447313756e-08,2.706435986949772e-06,90,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5130271084337349,2023-08-23 23:25:14.079213,2023-08-23 23:25:15.144274,0 days 00:00:01.065061,0.5,2,0.9,1.3389768745772446e-08,0.0007086294641793096,100,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5100976139823804,2023-08-23 23:25:14.248649,2023-08-23 23:25:15.618972,0 days 00:00:01.370323,0.4,2,0.6000000000000001,1.1946878907506108e-06,0.058698745185821834,50,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5055274995756238,2023-08-23 23:25:14.895543,2023-08-23 23:25:16.287632,0 days 00:00:01.392089,0.7000000000000001,2,0.8,8.592645137834296e-08,0.0011290300538621552,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5109752240379546,2023-08-23 23:25:15.088653,2023-08-23 23:25:16.788486,0 days 00:00:01.699833,0.8,3,0.6000000000000001,0.5701926017807042,2.0418356330064952e-08,80,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5151039000718194,2023-08-23 23:25:15.196775,2023-08-23 23:25:16.547058,0 days 00:00:01.350283,0.7000000000000001,2,0.9,0.00022013039716702395,4.2562470249316744e-05,90,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.503392440892441,2023-08-23 23:25:15.247492,2023-08-23 23:25:18.090165,0 days 00:00:02.842673,1.0,3,0.8,7.3269963787696765e-06,6.787365759049446e-06,50,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5065449105528891,2023-08-23 23:25:15.664085,2023-08-23 23:25:21.191904,0 days 00:00:05.527819,0.5,2,1.0,1.4981147951749662e-06,6.480010906311919e-07,10,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.4717633741405333,2023-08-23 23:25:15.772808,2023-08-23 23:25:18.461349,0 days 00:00:02.688541,1.0,3,0.4,0.3546050005098375,1.0934998342700547e-07,50,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5226388168137001,2023-08-23 23:25:15.776172,2023-08-23 23:25:16.604780,0 days 00:00:00.828608,0.7000000000000001,3,0.7000000000000001,0.006224680723141809,1.1949840054000531e-06,70,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5354816645680797,2023-08-23 23:25:15.913945,2023-08-23 23:25:20.635105,0 days 00:00:04.721160,0.6000000000000001,1,1.0,1.3728764277418263e-08,0.8982478128233051,10,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.49885535463003794,2023-08-23 23:25:16.330217,2023-08-23 23:25:18.002570,0 days 00:00:01.672353,0.4,1,0.5,1.484943940037994e-06,0.9129420323837617,40,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5043269958209642,2023-08-23 23:25:16.601265,2023-08-23 23:25:17.788358,0 days 00:00:01.187093,0.6000000000000001,1,1.0,0.6542216515273509,1.69491345429525e-05,100,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.4771367340010185,2023-08-23 23:25:16.663197,2023-08-23 23:25:18.203714,0 days 00:00:01.540517,0.7000000000000001,1,0.5,0.6409418534958915,1.4926770483002285e-08,80,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.49606391105075537,2023-08-23 23:25:16.835270,2023-08-23 23:25:17.838132,0 days 00:00:01.002862,0.6000000000000001,1,0.4,1.8232676534765137e-05,5.68185845649811e-06,80,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.4255310716550413,2023-08-23 23:25:17.839213,2023-08-23 23:25:18.345636,0 days 00:00:00.506423,0.7000000000000001,3,0.5,0.0006481395968112886,7.782781153606939e-07,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5086814027880445,2023-08-23 23:25:17.898517,2023-08-23 23:25:20.218229,0 days 00:00:02.319712,0.7000000000000001,3,0.5,0.0012736947911052997,4.560387101510922e-07,60,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5185099781988931,2023-08-23 23:25:18.048078,2023-08-23 23:25:19.903192,0 days 00:00:01.855114,0.7000000000000001,3,0.9,0.00046628849215917266,5.361112824078656e-07,60,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5180284659989458,2023-08-23 23:25:18.139451,2023-08-23 23:25:19.837983,0 days 00:00:01.698532,0.7000000000000001,3,0.9,0.0007083086644943062,2.5291102296923736e-07,10,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5213383838383838,2023-08-23 23:25:18.247934,2023-08-23 23:25:19.761472,0 days 00:00:01.513538,0.8,3,0.9,0.0010239051342600463,6.375770860646658e-07,20,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5063473476944009,2023-08-23 23:25:18.389494,2023-08-23 23:25:19.273458,0 days 00:00:00.883964,0.6000000000000001,3,0.9,4.195132808901099e-05,3.2034998266925535e-05,60,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5184672383549421,2023-08-23 23:25:18.508404,2023-08-23 23:25:19.502874,0 days 00:00:00.994470,0.6000000000000001,2,0.9,1.52331451478491e-08,3.1683506659525933e-05,90,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.49962977090672467,2023-08-23 23:25:19.315996,2023-08-23 23:25:20.523061,0 days 00:00:01.207065,0.5,2,0.9,1.3701191330877358e-08,4.8121872385484126e-05,90,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5063303952306772,2023-08-23 23:25:19.548330,2023-08-23 23:25:21.269321,0 days 00:00:01.720991,0.8,2,1.0,0.0008588378912450889,1.0574348150634781e-06,90,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5105643416713923,2023-08-23 23:25:19.806131,2023-08-23 23:25:21.756452,0 days 00:00:01.950321,0.8,3,1.0,0.0016399541189990566,8.132879409478871e-07,20,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.49534425877025,2023-08-23 23:25:19.889667,2023-08-23 23:25:21.066933,0 days 00:00:01.177266,0.8,3,1.0,1.1864952513596298e-07,1.028394332866918e-06,30,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.50537363252678,2023-08-23 23:25:19.960183,2023-08-23 23:25:20.961605,0 days 00:00:01.001422,0.8,3,1.0,0.04212772202636456,1.0438630049127698e-06,30,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5201374614594039,2023-08-23 23:25:20.263273,2023-08-23 23:25:21.381634,0 days 00:00:01.118361,0.8,3,1.0,0.004725145697360484,1.310960019945564e-06,30,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.489394066761938,2023-08-23 23:25:20.571828,2023-08-23 23:25:21.856917,0 days 00:00:01.285089,0.8,3,1.0,0.003269504991885338,1.429475680544389e-06,30,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.49823865699091596,2023-08-23 23:25:20.679106,2023-08-23 23:25:22.066936,0 days 00:00:01.387830,0.8,1,1.0,0.003402544959194514,4.235581522387111e-08,20,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.48393413440142413,2023-08-23 23:25:21.011995,2023-08-23 23:25:23.003603,0 days 00:00:01.991608,0.8,1,1.0,0.004273830887582443,1.8984126833787964e-06,20,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.515105533415982,2023-08-23 23:25:21.116843,2023-08-23 23:25:23.051050,0 days 00:00:01.934207,0.8,3,1.0,0.004534715094040387,6.288862147159358e-08,20,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.4889917852281268,2023-08-23 23:25:21.234848,2023-08-23 23:25:23.253200,0 days 00:00:02.018352,0.8,3,0.8,0.0036507347113336796,6.198505475961948e-08,20,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.49560095855615843,2023-08-23 23:25:21.314244,2023-08-23 23:25:23.409454,0 days 00:00:02.095210,0.6000000000000001,3,0.8,0.003404570357511088,7.226879372471606e-08,20,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
