,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4898154981549816,2023-08-23 23:27:03.198606,2023-08-23 23:27:04.354570,0 days 00:00:01.155964,1.0,2,1.0,6.396381719589405e-05,3.117682975119181e-08,50,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5169052224371373,2023-08-23 23:27:03.199429,2023-08-23 23:27:07.593352,0 days 00:00:04.393923,0.5,2,1.0,5.0491629367514256e-05,0.06640896294268461,10,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5020190281857115,2023-08-23 23:27:03.201358,2023-08-23 23:27:07.517238,0 days 00:00:04.315880,1.0,2,0.5,0.007212744016421769,0.5793435759472746,10,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4930849205250424,2023-08-23 23:27:03.203290,2023-08-23 23:27:04.465292,0 days 00:00:01.262002,1.0,3,0.4,0.022380532918491146,0.0017705560240867451,70,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5070830001495263,2023-08-23 23:27:03.208003,2023-08-23 23:27:05.077564,0 days 00:00:01.869561,0.8,1,0.5,0.10548205262488172,5.8427711763608824e-06,60,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5010225371582122,2023-08-23 23:27:03.210690,2023-08-23 23:27:05.746213,0 days 00:00:02.535523,1.0,3,0.6000000000000001,0.0007499112154907746,0.06281031937228553,50,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5123476200479369,2023-08-23 23:27:03.213750,2023-08-23 23:27:04.294675,0 days 00:00:01.080925,0.7000000000000001,3,0.7000000000000001,3.844136770734613e-08,1.8799968113182613e-08,100,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5236736969856004,2023-08-23 23:27:03.218238,2023-08-23 23:27:04.718126,0 days 00:00:01.499888,0.5,2,0.7000000000000001,0.837694137798238,2.808495333373441e-08,70,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5086361737677527,2023-08-23 23:27:04.340591,2023-08-23 23:27:06.044334,0 days 00:00:01.703743,0.9,3,0.5,1.1143567465746805e-08,8.119718574276193e-05,90,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5004148689014272,2023-08-23 23:27:04.399046,2023-08-23 23:27:06.240732,0 days 00:00:01.841686,0.9,3,0.9,4.632075537897616e-08,0.012715887574995949,80,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.4654708520179372,2023-08-23 23:27:04.511614,2023-08-23 23:27:05.298562,0 days 00:00:00.786948,0.4,3,0.6000000000000001,0.049958992090788655,0.04520789529810662,10,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
