,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4801209753638712,2023-08-23 23:27:57.963871,2023-08-23 23:27:59.430975,0 days 00:00:01.467104,0.7000000000000001,1,0.5,0.002225996397876227,0.021180509328452262,90,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4992947239037985,2023-08-23 23:27:57.966296,2023-08-23 23:27:58.954968,0 days 00:00:00.988672,0.7000000000000001,3,0.7000000000000001,3.2858377430014583e-07,0.002593262889694037,50,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.48552752440561386,2023-08-23 23:27:57.969669,2023-08-23 23:27:58.410544,0 days 00:00:00.440875,0.5,1,1.0,0.22501149795854547,7.554135179247215e-05,40,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4874848163501398,2023-08-23 23:27:57.970767,2023-08-23 23:28:01.887753,0 days 00:00:03.916986,0.9,1,0.5,0.17693347892093392,0.2606768849308058,20,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.4845745634717693,2023-08-23 23:27:57.973361,2023-08-23 23:27:58.880587,0 days 00:00:00.907226,0.5,1,0.8,1.260946316775764e-07,3.2485032142157044e-05,100,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.4903286622325439,2023-08-23 23:27:57.975919,2023-08-23 23:27:59.019543,0 days 00:00:01.043624,0.8,3,0.6000000000000001,5.396936143270151e-08,0.00023434228570750723,40,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4796979432509768,2023-08-23 23:27:57.976772,2023-08-23 23:27:58.630306,0 days 00:00:00.653534,0.4,3,1.0,0.0008363713502229071,4.616414287982334e-08,80,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.4926705728328289,2023-08-23 23:27:57.977689,2023-08-23 23:27:58.569233,0 days 00:00:00.591544,0.6000000000000001,2,0.8,2.4619915672472904e-07,9.383430362979147e-08,20,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5050406571523399,2023-08-23 23:27:58.453412,2023-08-23 23:28:00.717443,0 days 00:00:02.264031,1.0,3,1.0,2.572535853708515e-08,1.2106196856154464e-05,80,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.48076389037233247,2023-08-23 23:27:58.609293,2023-08-23 23:27:59.518907,0 days 00:00:00.909614,0.5,1,0.5,3.434185858244128e-06,0.00516316233275472,10,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.47944534035255904,2023-08-23 23:27:58.675062,2023-08-23 23:27:59.729550,0 days 00:00:01.054488,1.0,3,0.4,0.031089261562420388,0.003104781780342764,20,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
