,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5095508395799133,2023-08-23 23:28:55.612231,2023-08-23 23:28:56.854828,0 days 00:00:01.242597,1.0,1,0.4,0.0025032229456608502,3.3909262354728184e-07,100,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5026076688424574,2023-08-23 23:28:55.614359,2023-08-23 23:28:56.695352,0 days 00:00:01.080993,0.4,2,0.9,0.12665483638945174,2.0650854496384345e-07,50,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.522608604845447,2023-08-23 23:28:55.616584,2023-08-23 23:28:59.552350,0 days 00:00:03.935766,0.6000000000000001,3,0.6000000000000001,3.0083356196716646e-05,5.424588029703728e-05,20,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5032756434137307,2023-08-23 23:28:55.620447,2023-08-23 23:29:00.135214,0 days 00:00:04.514767,0.5,1,1.0,5.937660490263677e-05,9.431403903750664e-07,10,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5166516876045527,2023-08-23 23:28:55.623175,2023-08-23 23:28:58.501174,0 days 00:00:02.877999,0.8,3,0.7000000000000001,0.000766053641048113,0.5777651261637594,20,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5140418283827095,2023-08-23 23:28:55.625590,2023-08-23 23:29:00.561336,0 days 00:00:04.935746,0.8,3,1.0,0.0006091543802898154,9.411284204868928e-08,20,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5138415552657534,2023-08-23 23:28:55.628070,2023-08-23 23:28:57.559409,0 days 00:00:01.931339,0.4,1,0.9,3.9309104828263754e-08,0.005536472927021073,10,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5151841356783655,2023-08-23 23:28:55.630540,2023-08-23 23:28:56.597521,0 days 00:00:00.966981,0.5,2,0.7000000000000001,0.011625291369879748,1.1184713759422993e-07,80,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5048577087459606,2023-08-23 23:28:56.640413,2023-08-23 23:29:01.539297,0 days 00:00:04.898884,0.7000000000000001,2,1.0,5.211947367489905e-05,0.31371939805135773,20,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5142909500248698,2023-08-23 23:28:56.738911,2023-08-23 23:28:59.503380,0 days 00:00:02.764469,0.6000000000000001,3,0.7000000000000001,0.05562405178930506,5.69062092919266e-05,30,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5185099781988931,2023-08-23 23:28:56.903371,2023-08-23 23:28:58.985800,0 days 00:00:02.082429,0.9,3,0.5,3.5319602337747195e-06,2.3663120630912018e-07,60,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5213383838383838,2023-08-23 23:28:57.603710,2023-08-23 23:28:58.826811,0 days 00:00:01.223101,0.9,1,0.5,1.339676991973775e-06,4.949669180284613e-06,100,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5034773687496985,2023-08-23 23:28:58.541929,2023-08-23 23:29:04.318349,0 days 00:00:05.776420,0.8,3,0.9,5.080017580928231e-07,0.3602575719811509,10,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5171129226127045,2023-08-23 23:28:58.873551,2023-08-23 23:29:01.043780,0 days 00:00:02.170229,0.7000000000000001,1,0.4,2.9949316951423946e-05,9.385204102331704e-07,40,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5160544835177446,2023-08-23 23:28:59.041495,2023-08-23 23:29:00.851300,0 days 00:00:01.809805,0.4,2,1.0,3.9461652061278725e-07,2.152635065994121e-08,10,69,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5231846386047291,2023-08-23 23:28:59.548805,2023-08-23 23:29:01.157899,0 days 00:00:01.609094,0.5,1,1.0,0.00012692395955099474,0.0174764359582763,60,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5301933134303076,2023-08-23 23:28:59.605402,2023-08-23 23:29:00.925892,0 days 00:00:01.320490,0.6000000000000001,1,0.8,1.3950302667148226e-06,0.013024552064137409,70,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5375371375214664,2023-08-23 23:29:00.183305,2023-08-23 23:29:02.819889,0 days 00:00:02.636584,0.7000000000000001,3,0.6000000000000001,9.631993644188561e-05,0.00023789780770185537,40,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5339823157541008,2023-08-23 23:29:00.604981,2023-08-23 23:29:03.045660,0 days 00:00:02.440679,0.7000000000000001,2,0.5,2.7252207758280453e-06,2.09445209558722e-05,50,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.4610423762772991,2023-08-23 23:29:00.897191,2023-08-23 23:29:01.316191,0 days 00:00:00.419000,0.7000000000000001,1,0.5,9.48635239664079e-06,9.388193849918469e-06,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5091866028708134,2023-08-23 23:29:00.990955,2023-08-23 23:29:02.227756,0 days 00:00:01.236801,0.6000000000000001,2,0.6000000000000001,2.290162624796141e-05,0.0005283823421335536,50,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5141792031303705,2023-08-23 23:29:01.093443,2023-08-23 23:29:02.038926,0 days 00:00:00.945483,0.6000000000000001,2,0.6000000000000001,1.7969455148669903e-05,0.0014774057815694834,70,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5236644844840885,2023-08-23 23:29:01.205752,2023-08-23 23:29:02.316852,0 days 00:00:01.111100,0.6000000000000001,1,0.8,0.8394089211455964,0.0059974229567494085,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5090485046308334,2023-08-23 23:29:01.356878,2023-08-23 23:29:02.427406,0 days 00:00:01.070528,0.6000000000000001,2,0.8,8.287057758119838e-08,0.00646673870733947,70,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5139287612971823,2023-08-23 23:29:01.584651,2023-08-23 23:29:02.671666,0 days 00:00:01.087015,0.5,1,0.8,2.574164032591269e-07,0.002827641896112617,70,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5249662189015182,2023-08-23 23:29:02.083650,2023-08-23 23:29:03.478625,0 days 00:00:01.394975,0.5,1,0.8,0.6973169933977595,0.015320659616009388,80,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.503825699770762,2023-08-23 23:29:02.276507,2023-08-23 23:29:03.696031,0 days 00:00:01.419524,0.5,1,0.8,0.7461937239539902,0.03161791933949039,80,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5171206777843766,2023-08-23 23:29:02.369634,2023-08-23 23:29:04.095765,0 days 00:00:01.726131,0.8,1,0.8,0.15617406816052012,0.04590898647343917,80,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5277473697619153,2023-08-23 23:29:02.470181,2023-08-23 23:29:03.563560,0 days 00:00:01.093379,0.5,1,0.8,0.5383641476818533,0.03822366808408295,80,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
