,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.49339346863776834,2023-08-24 14:12:29.366136,2023-08-24 14:12:30.555149,0 days 00:00:01.189013,0.9,1,0.9,0.8456589407152872,0.00012703734022664778,70,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.4907659904666888,2023-08-24 14:12:29.368350,2023-08-24 14:12:31.737583,0 days 00:00:02.369233,0.7000000000000001,3,0.6000000000000001,4.675362613053347e-05,0.016671327145838844,20,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4980748040586034,2023-08-24 14:12:29.370437,2023-08-24 14:12:31.085191,0 days 00:00:01.714754,0.9,2,0.8,0.5558914956171682,5.869996745447084e-06,70,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.48025555839509326,2023-08-24 14:12:29.372967,2023-08-24 14:12:29.913752,0 days 00:00:00.540785,0.4,2,0.7000000000000001,0.00024785571670538434,6.273923245432029e-05,100,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.4951472591971492,2023-08-24 14:12:29.375402,2023-08-24 14:12:30.834034,0 days 00:00:01.458632,0.7000000000000001,3,0.9,4.772540281453923e-06,0.19180609022903553,70,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5026867712238117,2023-08-24 14:12:29.377712,2023-08-24 14:12:30.424168,0 days 00:00:01.046456,0.6000000000000001,2,0.8,0.010552592047149152,5.499934658755938e-06,100,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.498998778998779,2023-08-24 14:12:29.380677,2023-08-24 14:12:31.024173,0 days 00:00:01.643496,0.7000000000000001,1,0.4,0.033507427304581824,2.483972606234129e-05,20,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.47219553347549975,2023-08-24 14:12:29.385742,2023-08-24 14:12:29.963375,0 days 00:00:00.577633,0.4,3,0.7000000000000001,0.03427111076826414,7.756232543489367e-08,90,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5071455237810797,2023-08-24 14:12:29.959077,2023-08-24 14:12:33.753593,0 days 00:00:03.794516,0.7000000000000001,2,0.9,0.0005576415001433362,0.00017096638924239538,20,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5120003063675207,2023-08-24 14:12:30.007831,2023-08-24 14:12:35.226471,0 days 00:00:05.218640,0.5,2,0.7000000000000001,1.477958119808131e-06,0.07404885980084283,10,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.4989277733357935,2023-08-24 14:12:30.468808,2023-08-24 14:12:31.856608,0 days 00:00:01.387800,0.6000000000000001,2,0.6000000000000001,2.3262432454686574e-07,0.004734022457318432,80,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
