,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5403093157883494,2023-08-24 14:18:12.869416,2023-08-24 14:18:14.111493,0 days 00:00:01.242077,0.7000000000000001,3,0.7000000000000001,3.2153188544053806e-06,0.0005153031914985398,10,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5445451386104205,2023-08-24 14:18:12.871876,2023-08-24 14:18:14.801174,0 days 00:00:01.929298,0.8,1,1.0,2.20636278792353e-05,0.005263570042849331,60,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5432156059466466,2023-08-24 14:18:12.874988,2023-08-24 14:18:14.746821,0 days 00:00:01.871833,1.0,3,1.0,2.9781833590475543e-08,2.3770929464713885e-07,70,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5429249028824072,2023-08-24 14:18:12.875783,2023-08-24 14:18:13.689054,0 days 00:00:00.813271,0.5,3,0.9,3.10018681310895e-05,2.6222959040475266e-07,90,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5361969618994046,2023-08-24 14:18:12.876739,2023-08-24 14:18:15.635711,0 days 00:00:02.758972,0.4,3,0.5,0.006125255645961638,6.396978287871975e-07,20,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5454719320371859,2023-08-24 14:18:12.877520,2023-08-24 14:18:13.548409,0 days 00:00:00.670889,0.8,2,0.6000000000000001,1.2084033805763423e-06,5.4344395022857466e-08,20,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5436504730977807,2023-08-24 14:18:12.878137,2023-08-24 14:18:14.486273,0 days 00:00:01.608136,0.4,3,0.5,5.112346872329157e-06,0.08694945956831909,40,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5381478118179356,2023-08-24 14:18:12.878905,2023-08-24 14:18:13.632194,0 days 00:00:00.753289,0.6000000000000001,1,0.7000000000000001,0.00046735545721710703,0.0005089571438273389,70,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5317022342450656,2023-08-24 14:18:13.592558,2023-08-24 14:18:16.429295,0 days 00:00:02.836737,0.8,3,0.9,0.005232517009020444,0.0005510615751911127,50,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.542547564817902,2023-08-24 14:18:13.677858,2023-08-24 14:18:15.046304,0 days 00:00:01.368446,0.4,2,0.6000000000000001,7.466084749948225e-07,3.6955380892571047e-07,50,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5429455085269296,2023-08-24 14:18:13.733585,2023-08-24 14:18:15.181940,0 days 00:00:01.448355,0.6000000000000001,3,0.9,0.003368355330869488,0.013255720890350084,70,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5358491015712408,2023-08-24 14:18:14.153222,2023-08-24 14:18:15.537556,0 days 00:00:01.384334,0.6000000000000001,1,0.4,6.935454558316588e-07,0.00011997777927943951,80,237,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5361003043802536,2023-08-24 14:18:14.530646,2023-08-24 14:18:15.866583,0 days 00:00:01.335937,0.9,2,0.7000000000000001,2.6704429901703034e-08,0.0009922434358084359,70,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5501040928894899,2023-08-24 14:18:14.796300,2023-08-24 14:18:16.080905,0 days 00:00:01.284605,0.5,3,0.8,3.7532880920933916e-08,2.711889782088529e-07,80,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5514191808014182,2023-08-24 14:18:14.844970,2023-08-24 14:18:15.964118,0 days 00:00:01.119148,0.5,2,0.6000000000000001,4.44158628328028e-06,0.022889439661628246,100,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5350068169059268,2023-08-24 14:18:15.089287,2023-08-24 14:18:18.549466,0 days 00:00:03.460179,0.4,3,0.5,9.19197197729113e-06,5.187003758606791e-06,20,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5442463981776668,2023-08-24 14:18:15.226570,2023-08-24 14:18:18.296536,0 days 00:00:03.069966,0.8,2,0.4,0.017742644733084418,5.829408644778103e-06,30,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5368490921548476,2023-08-24 14:18:15.586564,2023-08-24 14:18:18.641097,0 days 00:00:03.054533,0.9,2,0.6000000000000001,0.5063992122799607,1.3710156796072507e-08,10,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5306036370063589,2023-08-24 14:18:15.680560,2023-08-24 14:18:18.497385,0 days 00:00:02.816825,0.9,2,0.8,0.4545656869422026,2.6488607918199e-08,30,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5445451386104205,2023-08-24 14:18:15.908516,2023-08-24 14:18:18.841674,0 days 00:00:02.933158,0.8,1,0.8,0.00010299123127940405,7.021570723915576e-06,30,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5673731879203623,2023-08-24 14:18:16.010445,2023-08-24 14:18:16.529823,0 days 00:00:00.519378,0.8,2,0.6000000000000001,0.5429735163241388,1.1360843203193964e-05,100,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5528037202968684,2023-08-24 14:18:16.126021,2023-08-24 14:18:16.968044,0 days 00:00:00.842023,0.5,2,0.8,0.2558547267227128,8.504849683811383e-06,100,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5574901182608138,2023-08-24 14:18:16.474519,2023-08-24 14:18:17.382745,0 days 00:00:00.908226,0.5,2,0.8,0.9722146846844688,0.5140045152704725,100,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5537863619053685,2023-08-24 14:18:16.576581,2023-08-24 14:18:17.868454,0 days 00:00:01.291873,0.7000000000000001,2,0.6000000000000001,0.10986162720889223,0.912047136537581,100,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.556608187134503,2023-08-24 14:18:17.016899,2023-08-24 14:18:18.155844,0 days 00:00:01.138945,0.7000000000000001,2,0.8,0.20404820943479463,6.877855510390509e-06,100,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5591441172836521,2023-08-24 14:18:17.427102,2023-08-24 14:18:17.768606,0 days 00:00:00.341504,0.7000000000000001,2,0.8,0.9388776992792336,0.25735717711101824,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5627770434967423,2023-08-24 14:18:17.817491,2023-08-24 14:18:18.412397,0 days 00:00:00.594906,0.7000000000000001,1,0.4,0.1101639670949845,1.5372571791960352e-05,90,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5816629706278589,2023-08-24 14:18:17.918661,2023-08-24 14:18:18.083401,0 days 00:00:00.164740,0.9,1,0.4,0.053935320946164704,5.379339099722277e-06,90,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5679835649392467,2023-08-24 14:18:18.126689,2023-08-24 14:18:18.913879,0 days 00:00:00.787190,0.9,1,0.4,0.9539215388269311,1.6598416916988098e-05,90,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5641780086056569,2023-08-24 14:18:18.211497,2023-08-24 14:18:19.135513,0 days 00:00:00.924016,0.9,1,0.4,0.040846598881160566,1.5884895558670288e-05,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5696514371725856,2023-08-24 14:18:18.341986,2023-08-24 14:18:19.018594,0 days 00:00:00.676608,0.9,1,0.5,0.9504761074365727,3.6221440242509234e-05,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5660629775533406,2023-08-24 14:18:18.460782,2023-08-24 14:18:19.242613,0 days 00:00:00.781831,0.9,1,0.5,0.05224353582420673,2.0407810035100014e-05,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5636862833951979,2023-08-24 14:18:18.542177,2023-08-24 14:18:19.376152,0 days 00:00:00.833975,0.9,1,0.5,0.05740505393115596,3.804399411094885e-05,90,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5656222674251201,2023-08-24 14:18:18.612675,2023-08-24 14:18:19.458645,0 days 00:00:00.845970,0.9,1,0.4,0.06650902285421217,7.85563056977508e-05,90,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.560202577775396,2023-08-24 14:18:18.690578,2023-08-24 14:18:19.576039,0 days 00:00:00.885461,1.0,1,0.4,0.07544576822758167,3.7975560098176756e-05,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5660629775533406,2023-08-24 14:18:18.883991,2023-08-24 14:18:19.511051,0 days 00:00:00.627060,1.0,1,0.4,0.05170880856342048,3.6802226340754466e-05,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.542160558184297,2023-08-24 14:18:18.960574,2023-08-24 14:18:21.069681,0 days 00:00:02.109107,1.0,1,0.5,0.04920050043656135,3.0546884038322434e-05,80,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5406999838171038,2023-08-24 14:18:19.066067,2023-08-24 14:18:20.859329,0 days 00:00:01.793262,1.0,1,0.4,0.03398926315703032,5.148508796687972e-05,80,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.542160558184297,2023-08-24 14:18:19.178923,2023-08-24 14:18:20.699278,0 days 00:00:01.520355,1.0,1,0.5,0.06302653719790062,5.44118359289417e-05,80,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5406999838171038,2023-08-24 14:18:19.289042,2023-08-24 14:18:20.999918,0 days 00:00:01.710876,1.0,1,0.5,0.24572160144013264,9.041923161303622e-05,80,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5406999838171038,2023-08-24 14:18:19.419845,2023-08-24 14:18:20.579702,0 days 00:00:01.159857,1.0,1,0.4,0.2327714689896812,1.8294365958862632e-06,80,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5406999838171038,2023-08-24 14:18:19.505371,2023-08-24 14:18:21.924879,0 days 00:00:02.419508,1.0,1,0.5,0.27574150521996216,1.7841827717646468e-06,80,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5406999838171038,2023-08-24 14:18:19.563795,2023-08-24 14:18:21.496285,0 days 00:00:01.932490,1.0,1,0.5,0.2484016154827172,2.319057217302503e-06,80,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5406999838171038,2023-08-24 14:18:19.635057,2023-08-24 14:18:21.451850,0 days 00:00:01.816793,1.0,1,0.5,0.2868564469293269,1.398029301517736e-06,80,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5405318395467131,2023-08-24 14:18:20.626892,2023-08-24 14:18:22.311136,0 days 00:00:01.684244,0.8,1,0.5,0.9932497487097603,1.619484313561267e-06,80,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5508559919436053,2023-08-24 14:18:20.744150,2023-08-24 14:18:21.825944,0 days 00:00:01.081794,0.8,1,0.5,0.7978347518610233,1.9044683557844817e-06,60,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5517787210882887,2023-08-24 14:18:20.904273,2023-08-24 14:18:22.095977,0 days 00:00:01.191704,0.8,1,0.5,0.9950229245912718,8.571058987233891e-07,70,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5491778774289985,2023-08-24 14:18:21.058131,2023-08-24 14:18:22.161126,0 days 00:00:01.102995,0.8,1,0.6000000000000001,0.9853848195226773,1.526482976217718e-06,60,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5517787210882887,2023-08-24 14:18:21.121435,2023-08-24 14:18:21.764732,0 days 00:00:00.643297,0.8,1,0.5,0.5222306236297428,2.024406491706398e-06,60,20,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5508559919436053,2023-08-24 14:18:21.538736,2023-08-24 14:18:22.716378,0 days 00:00:01.177642,0.8,1,0.6000000000000001,0.015261403725770289,0.00019217007814685845,60,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5508559919436053,2023-08-24 14:18:21.547224,2023-08-24 14:18:22.566280,0 days 00:00:01.019056,0.8,1,0.6000000000000001,0.9645358634972722,0.00019756533205033005,60,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5535607228502911,2023-08-24 14:18:21.810030,2023-08-24 14:18:23.193645,0 days 00:00:01.383615,0.9,1,0.6000000000000001,0.016225479864570035,0.00016460603086890325,100,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5539611360239163,2023-08-24 14:18:21.898564,2023-08-24 14:18:22.971205,0 days 00:00:01.072641,0.9,1,0.6000000000000001,0.021414196677362454,0.0002826632737422635,100,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5527013911355548,2023-08-24 14:18:21.969591,2023-08-24 14:18:23.079291,0 days 00:00:01.109700,0.9,1,0.6000000000000001,0.012334718530798996,0.0002000531336040108,100,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
