,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6355114767918348,2023-08-24 13:45:09.383649,2023-08-24 13:45:17.028864,0 days 00:00:07.645215,0.7000000000000001,3,0.5,2.373169085412494e-07,0.0004755542139284554,10,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6566060979365569,2023-08-24 13:45:09.386223,2023-08-24 13:45:15.425736,0 days 00:00:06.039513,1.0,1,0.8,0.010844305270184762,9.515797773823972e-05,20,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6454667182891519,2023-08-24 13:45:09.389193,2023-08-24 13:45:10.476179,0 days 00:00:01.086986,0.7000000000000001,1,0.5,3.981726205326232e-05,7.273635624755331e-05,20,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6538897310273112,2023-08-24 13:45:09.392936,2023-08-24 13:45:10.321977,0 days 00:00:00.929041,0.6000000000000001,3,0.4,0.00017493929527849145,0.2049700214026888,100,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6252989444169554,2023-08-24 13:45:09.406886,2023-08-24 13:45:11.185683,0 days 00:00:01.778797,0.5,3,0.5,1.275969822661788e-07,0.00010131868370445809,50,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6503313990973565,2023-08-24 13:45:09.409492,2023-08-24 13:45:15.338595,0 days 00:00:05.929103,0.9,3,1.0,1.3587050089845212e-08,4.0436586005061705e-06,30,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6382917564931732,2023-08-24 13:45:09.420575,2023-08-24 13:45:12.052165,0 days 00:00:02.631590,0.8,2,1.0,0.008412463188797263,1.6658294071488853e-08,70,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6309122525242239,2023-08-24 13:45:09.424788,2023-08-24 13:45:11.884353,0 days 00:00:02.459565,0.7000000000000001,1,0.7000000000000001,0.004141115738540313,0.13739858532632046,60,154,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6350132789821505,2023-08-24 13:45:10.368162,2023-08-24 13:45:12.657319,0 days 00:00:02.289157,0.4,1,0.8,0.0017288516514594857,0.710642939977808,30,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6518600670064649,2023-08-24 13:45:10.522741,2023-08-24 13:45:14.002000,0 days 00:00:03.479259,0.6000000000000001,3,0.6000000000000001,0.07772431390810282,0.004986413501451595,30,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
