,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5250817079599367,2023-08-24 13:42:02.171916,2023-08-24 13:42:03.477223,0 days 00:00:01.305307,0.9,2,0.5,0.059843442072511494,1.9074116521561057e-05,40,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.531958229942101,2023-08-24 13:42:02.174226,2023-08-24 13:42:04.376293,0 days 00:00:02.202067,0.9,1,0.9,0.0002763195587009387,0.0019306384583764654,60,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.49650210224126806,2023-08-24 13:42:02.176055,2023-08-24 13:42:03.089540,0 days 00:00:00.913485,0.6000000000000001,3,1.0,7.80054910427298e-08,5.383060048491462e-05,10,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5166051277796215,2023-08-24 13:42:02.177980,2023-08-24 13:42:06.434466,0 days 00:00:04.256486,1.0,1,1.0,4.776432293534511e-08,1.5608327797079052e-08,30,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5224213286713286,2023-08-24 13:42:02.181658,2023-08-24 13:42:02.671015,0 days 00:00:00.489357,0.4,1,0.7000000000000001,2.711751739663939e-07,2.3742224450565962e-07,100,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.49833750793173703,2023-08-24 13:42:02.183933,2023-08-24 13:42:02.928307,0 days 00:00:00.744374,0.4,1,0.5,5.537319279915178e-06,0.0012314855166484437,100,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5335601898101898,2023-08-24 13:42:02.188340,2023-08-24 13:42:03.637858,0 days 00:00:01.449518,1.0,3,0.6000000000000001,0.00019420910624773818,0.0006171464147950936,90,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.506371780731797,2023-08-24 13:42:02.189570,2023-08-24 13:42:07.218489,0 days 00:00:05.028919,0.9,1,0.6000000000000001,2.576208940863972e-06,0.0009030330365870461,10,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5217652492393952,2023-08-24 13:42:02.718356,2023-08-24 13:42:05.357693,0 days 00:00:02.639337,0.5,3,0.6000000000000001,2.9141335878803348e-05,2.602973434156203e-08,30,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5142992424242425,2023-08-24 13:42:02.974741,2023-08-24 13:42:04.619069,0 days 00:00:01.644328,0.4,1,1.0,2.4459735950776018e-06,2.624981232912355e-08,40,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5123968792768014,2023-08-24 13:42:03.136468,2023-08-24 13:42:04.860014,0 days 00:00:01.723546,0.7000000000000001,1,0.7000000000000001,0.32469150457677864,2.0038916647128488e-08,70,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5142992424242425,2023-08-24 13:42:03.519648,2023-08-24 13:42:04.953977,0 days 00:00:01.434329,0.7000000000000001,1,1.0,0.00011075234985608003,8.924574756784013e-07,80,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.518895909896095,2023-08-24 13:42:03.681210,2023-08-24 13:42:04.999649,0 days 00:00:01.318439,0.5,1,0.6000000000000001,9.086137532808068e-07,1.5498803932688686e-08,80,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5218538677222497,2023-08-24 13:42:04.420996,2023-08-24 13:42:08.239573,0 days 00:00:03.818577,1.0,2,0.4,2.602114104778913e-05,7.841933834670027e-07,40,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5503234025237189,2023-08-24 13:42:04.660912,2023-08-24 13:42:06.870865,0 days 00:00:02.209953,1.0,2,0.7000000000000001,0.015217194246074166,0.00042454225582562753,60,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5169012690923672,2023-08-24 13:42:04.901986,2023-08-24 13:42:07.328266,0 days 00:00:02.426280,0.8,1,0.9,0.39498340143134925,1.6354261249200627e-05,10,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5227319222598159,2023-08-24 13:42:05.000447,2023-08-24 13:42:07.005440,0 days 00:00:02.004993,1.0,3,0.4,0.004652526352121066,0.23586451211274498,40,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5114654285598512,2023-08-24 13:42:05.075708,2023-08-24 13:42:06.931213,0 days 00:00:01.855505,1.0,3,0.4,1.6518399026024304e-08,0.19822205933839923,10,80,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5495902687364597,2023-08-24 13:42:05.400061,2023-08-24 13:42:07.524077,0 days 00:00:02.124016,1.0,2,0.8,0.0014407180656764162,0.11071818077947138,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5268211383695518,2023-08-24 13:42:06.483479,2023-08-24 13:42:08.718969,0 days 00:00:02.235490,0.9,2,0.8,0.0006329413201896376,0.07186879326156201,60,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
