,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5343451972823038,2023-08-24 13:43:22.712872,2023-08-24 13:43:25.295175,0 days 00:00:02.582303,0.9,1,0.7000000000000001,4.6099709174774517e-07,0.0016493221815897536,20,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5590672274182412,2023-08-24 13:43:22.715044,2023-08-24 13:43:23.908481,0 days 00:00:01.193437,0.6000000000000001,3,0.5,1.423924750236642e-08,9.059968841669935e-07,50,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.4946790072998743,2023-08-24 13:43:22.717450,2023-08-24 13:43:28.333840,0 days 00:00:05.616390,0.7000000000000001,3,0.5,0.001168725966776756,4.53751591563151e-08,10,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5084566148107329,2023-08-24 13:43:22.718153,2023-08-24 13:43:28.937274,0 days 00:00:06.219121,0.7000000000000001,3,1.0,0.16696226274040654,6.333713108385824e-05,10,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5542440484431347,2023-08-24 13:43:22.722117,2023-08-24 13:43:24.222480,0 days 00:00:01.500363,0.8,2,0.5,3.704686106614818e-06,0.21930454926859733,70,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5679488257216397,2023-08-24 13:43:22.724705,2023-08-24 13:43:23.654727,0 days 00:00:00.930022,0.5,2,0.5,4.563199704854065e-07,0.03133891333617876,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5442378691983122,2023-08-24 13:43:22.727989,2023-08-24 13:43:22.855897,0 days 00:00:00.127908,0.5,2,1.0,9.439137080057079e-05,9.283810592685079e-06,20,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5079071059460035,2023-08-24 13:43:22.731519,2023-08-24 13:43:26.077782,0 days 00:00:03.346263,0.8,2,0.8,0.03407479356230523,0.0003460486513724673,10,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5380116124057774,2023-08-24 13:43:22.912900,2023-08-24 13:43:26.152550,0 days 00:00:03.239650,0.9,3,0.8,9.068502734892212e-06,0.017147632806775535,10,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5456865381265268,2023-08-24 13:43:23.698994,2023-08-24 13:43:24.342038,0 days 00:00:00.643044,0.4,1,0.4,0.00015762171719988302,0.09185104892638274,100,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5454418467492019,2023-08-24 13:43:23.948882,2023-08-24 13:43:26.205801,0 days 00:00:02.256919,0.9,3,0.9,9.717843757654201e-08,1.1790728826405113e-08,60,104,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.540226871043414,2023-08-24 13:43:24.268722,2023-08-24 13:43:29.644318,0 days 00:00:05.375596,1.0,3,0.8,1.3646089776029048e-05,0.48703207286729355,20,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5242778055278055,2023-08-24 13:43:24.386457,2023-08-24 13:43:26.574626,0 days 00:00:02.188169,0.9,3,0.5,0.9908678398885575,1.353867604394437e-06,50,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5542689756181615,2023-08-24 13:43:25.340006,2023-08-24 13:43:25.954862,0 days 00:00:00.614856,0.5,1,0.8,0.4593345183081873,0.030778150926641427,50,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.505591374679867,2023-08-24 13:43:26.002930,2023-08-24 13:43:29.507375,0 days 00:00:03.504445,0.6000000000000001,1,0.4,0.04012479472280847,0.11757767540674756,30,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5315546105468101,2023-08-24 13:43:26.133867,2023-08-24 13:43:26.412770,0 days 00:00:00.278903,0.9,2,0.4,1.4185829737836948e-05,0.14381875947477699,30,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5274812226211874,2023-08-24 13:43:26.200849,2023-08-24 13:43:27.137244,0 days 00:00:00.936395,0.7000000000000001,3,0.7000000000000001,0.00038070388578857284,3.016396395072517e-08,30,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5674501552950606,2023-08-24 13:43:26.257244,2023-08-24 13:43:27.303574,0 days 00:00:01.046330,0.6000000000000001,2,0.6000000000000001,1.4371422832627227e-08,0.3806259371624888,100,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.548033100203726,2023-08-24 13:43:26.464380,2023-08-24 13:43:27.615162,0 days 00:00:01.150782,0.6000000000000001,3,0.6000000000000001,1.3860210727866761e-08,1.3165949955761279e-05,90,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.548033100203726,2023-08-24 13:43:26.620566,2023-08-24 13:43:27.897858,0 days 00:00:01.277292,0.6000000000000001,3,0.6000000000000001,1.1239264525042626e-08,3.547939998383006e-05,90,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5708213213511739,2023-08-24 13:43:27.189761,2023-08-24 13:43:28.504143,0 days 00:00:01.314382,0.6000000000000001,2,0.6000000000000001,3.151173052669632e-08,2.560922348296694e-05,90,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5717828727511127,2023-08-24 13:43:27.351663,2023-08-24 13:43:29.017381,0 days 00:00:01.665718,0.6000000000000001,2,0.6000000000000001,2.4999752950608956e-08,0.38589533953868355,90,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5517976262670017,2023-08-24 13:43:27.662074,2023-08-24 13:43:28.760100,0 days 00:00:01.098026,0.4,2,0.6000000000000001,2.4822780795926765e-07,0.918750970968879,80,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5584270367568274,2023-08-24 13:43:27.941317,2023-08-24 13:43:29.206593,0 days 00:00:01.265276,0.4,2,0.6000000000000001,3.17894437424713e-07,0.678872535443332,80,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5517976262670017,2023-08-24 13:43:28.389482,2023-08-24 13:43:29.446461,0 days 00:00:01.056979,0.4,2,0.6000000000000001,2.3472558695336646e-07,0.9150752073242293,80,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.552845442199966,2023-08-24 13:43:28.557787,2023-08-24 13:43:29.861280,0 days 00:00:01.303493,0.4,2,0.6000000000000001,3.1327208521213653e-07,0.0025803824644458407,80,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.547659557001998,2023-08-24 13:43:28.803417,2023-08-24 13:43:30.294896,0 days 00:00:01.491479,0.5,2,0.4,1.1713095921261075e-06,0.003253056629555285,70,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.547659557001998,2023-08-24 13:43:28.980153,2023-08-24 13:43:30.563371,0 days 00:00:01.583218,0.5,2,0.4,8.76226816593296e-07,0.0021441664424266546,70,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
