,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5139986590414068,2023-08-24 13:50:19.661519,2023-08-24 13:50:23.093604,0 days 00:00:03.432085,1.0,1,0.4,2.8635762349867246e-08,1.7613800176853083e-06,40,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5546786697073659,2023-08-24 13:50:19.663851,2023-08-24 13:50:20.614656,0 days 00:00:00.950805,0.4,2,0.7000000000000001,5.151835075238047e-07,0.001630994179564515,90,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5432299654285045,2023-08-24 13:50:19.665800,2023-08-24 13:50:21.465528,0 days 00:00:01.799728,1.0,3,0.7000000000000001,0.9904120254183707,9.960296295274955e-05,80,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5363599638393932,2023-08-24 13:50:19.668366,2023-08-24 13:50:21.518076,0 days 00:00:01.849710,0.7000000000000001,1,1.0,1.1250730703818007e-08,0.0023814113104715755,50,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5329720673316054,2023-08-24 13:50:19.671684,2023-08-24 13:50:21.113932,0 days 00:00:01.442248,1.0,2,0.8,8.273741780397745e-07,7.980932421082756e-07,90,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5424558080808081,2023-08-24 13:50:19.674856,2023-08-24 13:50:20.529250,0 days 00:00:00.854394,0.4,3,1.0,4.916246260085079e-07,2.4002657143695825e-05,60,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5354166666666667,2023-08-24 13:50:19.679984,2023-08-24 13:50:21.882519,0 days 00:00:02.202535,0.9,3,0.6000000000000001,1.092337879350647e-08,0.006869055205383491,80,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5495907612375933,2023-08-24 13:50:19.681244,2023-08-24 13:50:21.408191,0 days 00:00:01.726947,0.6000000000000001,2,0.9,0.0002370761222730947,9.491718224199231e-08,60,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5237057234799855,2023-08-24 13:50:20.572360,2023-08-24 13:50:23.391198,0 days 00:00:02.818838,0.7000000000000001,2,0.4,0.0019915957964441555,8.518486660412965e-05,40,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5419567424311074,2023-08-24 13:50:20.659890,2023-08-24 13:50:22.162895,0 days 00:00:01.503005,0.8,1,0.9,1.5249675755731733e-07,2.1218325319628652e-06,90,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
