,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.635430516682101,2023-08-24 13:51:04.453803,2023-08-24 13:51:05.528827,0 days 00:00:01.075024,0.6000000000000001,2,0.9,1.0173998135541563e-07,0.9486821706439132,100,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6248142941118209,2023-08-24 13:51:04.455966,2023-08-24 13:51:07.485874,0 days 00:00:03.029908,1.0,1,0.9,1.1989714905497619e-06,2.5704062793747408e-08,50,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6202845782499615,2023-08-24 13:51:04.458200,2023-08-24 13:51:05.976328,0 days 00:00:01.518128,0.7000000000000001,2,0.5,0.3351685259583194,0.08044589754400451,70,232,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6294037217067835,2023-08-24 13:51:04.460719,2023-08-24 13:51:06.030649,0 days 00:00:01.569930,0.7000000000000001,3,0.8,1.3661490923054654e-06,0.02858649601984728,70,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6502924839201774,2023-08-24 13:51:04.463907,2023-08-24 13:51:04.689354,0 days 00:00:00.225447,0.6000000000000001,3,0.4,6.544319908844198e-06,0.05276512784160928,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6252989444169554,2023-08-24 13:51:04.467987,2023-08-24 13:51:06.565696,0 days 00:00:02.097709,0.9,2,0.5,2.022172777717756e-07,0.011093088860983192,70,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6246058620533372,2023-08-24 13:51:04.472935,2023-08-24 13:51:05.221349,0 days 00:00:00.748414,0.5,2,0.9,4.361984223869893e-07,0.001971195449634056,100,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.609640103325549,2023-08-24 13:51:04.475607,2023-08-24 13:51:08.081687,0 days 00:00:03.606080,0.7000000000000001,1,0.8,0.001205807269724903,1.1589600083492578e-08,30,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6207013854527461,2023-08-24 13:51:04.747149,2023-08-24 13:51:07.218052,0 days 00:00:02.470903,0.6000000000000001,2,0.8,7.031425929076395e-05,0.01857592302081132,40,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6138050470064325,2023-08-24 13:51:05.264729,2023-08-24 13:51:08.312455,0 days 00:00:03.047726,1.0,2,0.7000000000000001,0.026040970279474062,0.7041601254112461,30,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6283405248866444,2023-08-24 13:51:05.573378,2023-08-24 13:51:07.165556,0 days 00:00:01.592178,0.9,3,1.0,0.33219722974887966,1.1420068069934129e-07,90,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6231740638585113,2023-08-24 13:51:06.020390,2023-08-24 13:51:09.620739,0 days 00:00:03.600349,0.8,2,0.8,0.007385378434330928,2.136196816638643e-05,20,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6074671113581619,2023-08-24 13:51:06.076810,2023-08-24 13:51:10.129086,0 days 00:00:04.052276,0.7000000000000001,2,0.5,0.0008268622958857637,1.972764359932624e-07,20,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6112237266279819,2023-08-24 13:51:06.617246,2023-08-24 13:51:08.585245,0 days 00:00:01.967999,0.6000000000000001,2,1.0,0.008964873624668083,0.08351057309866457,50,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.610645342920754,2023-08-24 13:51:07.212407,2023-08-24 13:51:09.529849,0 days 00:00:02.317442,0.7000000000000001,1,0.6000000000000001,5.022894061307474e-06,0.2433599015411545,40,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6307286463332615,2023-08-24 13:51:07.270979,2023-08-24 13:51:07.567082,0 days 00:00:00.296103,0.7000000000000001,2,1.0,0.00015937892774791124,1.3407648083995197e-07,100,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
