,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5386998173432637,2023-08-24 14:20:39.769518,2023-08-24 14:20:41.922844,0 days 00:00:02.153326,0.8,3,0.6000000000000001,0.41775807356758526,0.050819790319868705,40,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5419567424311074,2023-08-24 14:20:39.771663,2023-08-24 14:20:41.279292,0 days 00:00:01.507629,0.8,2,0.4,2.5323096834589714e-08,0.0007924967892142618,70,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5287628283127864,2023-08-24 14:20:39.773882,2023-08-24 14:20:43.599687,0 days 00:00:03.825805,0.7000000000000001,3,0.7000000000000001,0.05204292488277232,9.35332373879911e-08,20,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5333032458533196,2023-08-24 14:20:39.776753,2023-08-24 14:20:40.545651,0 days 00:00:00.768898,0.6000000000000001,3,0.8,0.02019127318885983,0.00028866841803642775,100,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5305263157894737,2023-08-24 14:20:39.779250,2023-08-24 14:20:40.602008,0 days 00:00:00.822758,0.6000000000000001,3,0.4,0.08118546270766339,9.157233072614796e-06,100,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5302568315507318,2023-08-24 14:20:39.783564,2023-08-24 14:20:40.736521,0 days 00:00:00.952957,0.6000000000000001,3,1.0,0.00219660875115345,0.10931585104335827,20,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5441121302312693,2023-08-24 14:20:39.787182,2023-08-24 14:20:41.742248,0 days 00:00:01.955066,0.8,1,0.5,1.1308933533075045e-06,0.00045678799521689094,50,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5441967507265032,2023-08-24 14:20:39.790516,2023-08-24 14:20:40.494998,0 days 00:00:00.704482,1.0,1,0.8,0.08451145290462489,0.24556671055006046,100,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5377627369589932,2023-08-24 14:20:40.539358,2023-08-24 14:20:43.951897,0 days 00:00:03.412539,0.9,3,0.4,5.424787328671629e-07,0.07310391201070371,30,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.534473080538192,2023-08-24 14:20:40.589839,2023-08-24 14:20:41.803272,0 days 00:00:01.213433,0.9,1,0.9,1.4826012481939156e-05,0.004757517318374986,100,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5358878465179174,2023-08-24 14:20:40.644289,2023-08-24 14:20:42.505036,0 days 00:00:01.860747,1.0,3,0.6000000000000001,5.603343906212754e-07,2.249151711841761e-08,70,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5396138101673279,2023-08-24 14:20:40.779700,2023-08-24 14:20:42.146936,0 days 00:00:01.367236,0.8,1,0.9,0.000252827532095514,0.5929126291910038,90,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5328973950026581,2023-08-24 14:20:41.323642,2023-08-24 14:20:43.680230,0 days 00:00:02.356588,0.6000000000000001,3,0.8,0.00910875217441108,3.250355230934525e-05,30,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5428034342328957,2023-08-24 14:20:41.792329,2023-08-24 14:20:45.005948,0 days 00:00:03.213619,0.4,3,0.5,0.0014430171885721366,0.00029976105975745105,20,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5310423935382116,2023-08-24 14:20:41.848988,2023-08-24 14:20:47.388853,0 days 00:00:05.539865,0.7000000000000001,3,0.4,0.12736249778304493,6.736508481913634e-05,10,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.539108768064626,2023-08-24 14:20:41.967110,2023-08-24 14:20:44.263346,0 days 00:00:02.296236,0.6000000000000001,2,0.4,0.40931541431271135,0.0006785286146488896,30,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5400106326422116,2023-08-24 14:20:42.192043,2023-08-24 14:20:43.769633,0 days 00:00:01.577590,0.6000000000000001,2,0.5,0.03786942453847077,5.513815446692245e-07,50,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
