,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6978933821039084,2023-08-24 12:56:42.423718,2023-08-24 12:56:44.581529,0 days 00:00:02.157811,0.4,2,0.4,2.293966336839766e-05,8.072937881544131e-08,70,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.697345660755189,2023-08-24 12:56:42.425554,2023-08-24 12:56:46.309958,0 days 00:00:03.884404,0.9,3,0.6000000000000001,5.110548956329627e-07,2.3963207454988447e-05,60,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7066626743595353,2023-08-24 12:56:42.427730,2023-08-24 12:56:45.636432,0 days 00:00:03.208702,0.9,3,0.9,5.173240925963215e-07,0.025099890506859943,80,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6996298444476027,2023-08-24 12:56:42.429829,2023-08-24 12:56:47.378224,0 days 00:00:04.948395,1.0,3,0.9,0.005909278936366821,7.62151337850829e-07,60,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6911468245215366,2023-08-24 12:56:42.432567,2023-08-24 12:56:46.884926,0 days 00:00:04.452359,0.6000000000000001,1,1.0,5.272205894928827e-07,0.0006151639958851581,70,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7084073960567985,2023-08-24 12:56:42.434109,2023-08-24 12:56:46.561626,0 days 00:00:04.127517,0.9,2,0.8,0.003337624972922383,0.7237513546339264,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7094492349202604,2023-08-24 12:56:42.436178,2023-08-24 12:56:44.984703,0 days 00:00:02.548525,0.9,3,0.8,8.631011573627443e-06,3.417342175676923e-08,80,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6892098362686598,2023-08-24 12:56:42.437935,2023-08-24 12:56:44.082974,0 days 00:00:01.645039,0.4,3,0.7000000000000001,0.004789865814283776,2.330746497293574e-07,100,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6933519437551695,2023-08-24 12:56:44.129082,2023-08-24 12:56:46.364156,0 days 00:00:02.235074,0.7000000000000001,3,0.7000000000000001,4.559481275744955e-05,0.003147481261399619,20,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7108494009423607,2023-08-24 12:56:44.648601,2023-08-24 12:56:49.916109,0 days 00:00:05.267508,0.7000000000000001,3,0.5,1.0471571137866567e-06,0.0022650955532920888,40,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
