,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5602894720541779,2023-08-24 12:53:56.649418,2023-08-24 12:54:02.578828,0 days 00:00:05.929410,0.5,3,0.9,1.3458022792149522e-06,1.5509664523323276e-08,10,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.570435991862172,2023-08-24 12:53:56.651784,2023-08-24 12:54:03.069387,0 days 00:00:06.417603,0.5,1,0.7000000000000001,0.0014439187881165056,2.835574991792099e-07,10,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5419143356643357,2023-08-24 12:53:56.654079,2023-08-24 12:53:56.917863,0 days 00:00:00.263784,0.7000000000000001,1,0.6000000000000001,2.4335478207139082e-05,9.079866681968872e-05,80,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5504452307607282,2023-08-24 12:53:56.655983,2023-08-24 12:53:57.228767,0 days 00:00:00.572784,0.4,2,0.6000000000000001,3.93278242933892e-05,0.0003431680135287246,80,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5701689632545932,2023-08-24 12:53:56.661083,2023-08-24 12:53:57.949656,0 days 00:00:01.288573,0.4,2,0.9,0.3442216728283604,6.121391016622619e-07,70,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.556537462534869,2023-08-24 12:53:56.668673,2023-08-24 12:53:57.612965,0 days 00:00:00.944292,0.6000000000000001,1,0.6000000000000001,4.2441611892414176e-08,6.723766875271557e-05,100,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5324146879460231,2023-08-24 12:53:56.673299,2023-08-24 12:54:01.534514,0 days 00:00:04.861215,1.0,3,0.5,6.409486654999929e-05,0.030770628154306385,20,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5393168038126728,2023-08-24 12:53:56.679399,2023-08-24 12:53:56.989756,0 days 00:00:00.310357,0.6000000000000001,3,0.4,0.0029123557377160806,1.0737685524205195e-06,50,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5457919768403638,2023-08-24 12:53:56.961115,2023-08-24 12:53:59.055751,0 days 00:00:02.094636,0.5,3,0.4,9.760101300037621e-06,0.0060594923046017705,40,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5472745374703232,2023-08-24 12:53:57.039285,2023-08-24 12:53:58.908499,0 days 00:00:01.869214,1.0,1,1.0,2.6188451496525524e-05,0.16387698190667357,100,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5422045974024972,2023-08-24 12:53:57.274313,2023-08-24 12:53:59.408903,0 days 00:00:02.134590,0.5,1,0.9,3.7226988090229856e-08,6.089403870006408e-07,40,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
