,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5889130291658436,2023-08-24 12:55:01.657945,2023-08-24 12:55:02.893746,0 days 00:00:01.235801,0.6000000000000001,1,0.6000000000000001,6.631571503145143e-06,2.6524309630155286e-06,80,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5605501161632924,2023-08-24 12:55:01.660294,2023-08-24 12:55:05.631882,0 days 00:00:03.971588,0.9,1,0.5,0.0117585421550869,5.210527745047919e-06,20,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5760276063544078,2023-08-24 12:55:01.662575,2023-08-24 12:55:03.563833,0 days 00:00:01.901258,0.8,2,0.9,0.00012115742580618399,0.049652738115271634,70,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5927713686283965,2023-08-24 12:55:01.666910,2023-08-24 12:55:03.434908,0 days 00:00:01.767998,0.8,3,0.7000000000000001,5.7161953099347966e-08,1.8666903189923897e-05,100,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5853617308992562,2023-08-24 12:55:01.671191,2023-08-24 12:55:02.309742,0 days 00:00:00.638551,0.4,3,0.6000000000000001,0.27021515756829423,3.076798875525773e-08,100,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5760276063544078,2023-08-24 12:55:01.672421,2023-08-24 12:55:06.691383,0 days 00:00:05.018962,1.0,2,0.8,5.863545489244704e-07,0.003974606710020745,20,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5831558061821219,2023-08-24 12:55:01.674747,2023-08-24 12:55:02.777137,0 days 00:00:01.102390,0.7000000000000001,3,0.6000000000000001,1.523883122487953e-07,4.451018943806747e-07,30,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5678361754936861,2023-08-24 12:55:01.675747,2023-08-24 12:55:03.301783,0 days 00:00:01.626036,0.4,2,0.5,0.0002493182874520779,6.432346653543072e-08,60,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5689653140358528,2023-08-24 12:55:02.361228,2023-08-24 12:55:04.404655,0 days 00:00:02.043427,0.8,3,0.5,0.001668297354261184,0.15871617960526946,60,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.593579786683235,2023-08-24 12:55:02.817893,2023-08-24 12:55:04.130759,0 days 00:00:01.312866,0.7000000000000001,3,0.5,8.94819437031121e-06,1.3365056070500235e-08,70,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5839806273002808,2023-08-24 12:55:02.939522,2023-08-24 12:55:05.213325,0 days 00:00:02.273803,0.7000000000000001,3,0.7000000000000001,0.00010539041696200475,1.5465759467145414e-05,10,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5608650663581735,2023-08-24 12:55:03.345556,2023-08-24 12:55:06.123824,0 days 00:00:02.778268,0.7000000000000001,1,0.7000000000000001,3.80078464084211e-05,0.07263895502330685,40,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5538510905587968,2023-08-24 12:55:03.480786,2023-08-24 12:55:09.331531,0 days 00:00:05.850745,0.9,3,0.7000000000000001,1.8464227446953681e-07,0.003733533328631367,10,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5697124542481748,2023-08-24 12:55:03.607328,2023-08-24 12:55:09.763277,0 days 00:00:06.155949,1.0,3,1.0,1.4137755822871559e-06,0.0014743404160751069,20,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.587094385039115,2023-08-24 12:55:04.177155,2023-08-24 12:55:06.031964,0 days 00:00:01.854809,0.7000000000000001,3,0.5,1.3395299695791512e-08,0.00038060484027405736,70,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5888130617290309,2023-08-24 12:55:04.450776,2023-08-24 12:55:09.063326,0 days 00:00:04.612550,0.8,3,0.9,7.852185169326001e-08,1.216167778941741e-07,30,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5648472444796271,2023-08-24 12:55:05.260349,2023-08-24 12:55:10.778575,0 days 00:00:05.518226,0.5,1,0.8,0.7157932958737019,0.013104600971894526,10,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5664491042910706,2023-08-24 12:55:05.685285,2023-08-24 12:55:10.086764,0 days 00:00:04.401479,1.0,2,1.0,2.4056174626243818e-06,0.00237210134402313,40,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5849875930521091,2023-08-24 12:55:06.082110,2023-08-24 12:55:08.079568,0 days 00:00:01.997458,1.0,2,0.8,2.0525544392444516e-06,1.055840435332111e-08,100,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.575914884868421,2023-08-24 12:55:06.182561,2023-08-24 12:55:07.849600,0 days 00:00:01.667039,1.0,2,0.9,9.150808566469475e-07,3.4018025342096396e-08,100,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6063450157996813,2023-08-24 12:55:06.745746,2023-08-24 12:55:07.168237,0 days 00:00:00.422491,0.5,3,1.0,1.918076799081779e-06,1.4039023054597578e-08,100,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6114475901320353,2023-08-24 12:55:07.214577,2023-08-24 12:55:07.673782,0 days 00:00:00.459205,0.5,2,1.0,2.366967607794327e-06,2.519093491888593e-08,90,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6171016483516483,2023-08-24 12:55:07.721444,2023-08-24 12:55:08.339574,0 days 00:00:00.618130,0.5,2,1.0,1.029837957439167e-06,2.4983489657345907e-07,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6013082391229874,2023-08-24 12:55:07.893733,2023-08-24 12:55:08.243230,0 days 00:00:00.349497,0.5,2,1.0,1.937171970097887e-06,3.5492120675340053e-07,90,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5971412271805274,2023-08-24 12:55:08.124205,2023-08-24 12:55:08.547390,0 days 00:00:00.423185,0.5,2,1.0,2.854462263468598e-07,4.244102096630316e-07,90,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5628574598079318,2023-08-24 12:55:08.290282,2023-08-24 12:55:08.647480,0 days 00:00:00.357198,0.5,2,1.0,2.0816867260824612e-07,3.2769483435149787e-07,80,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5704877291084187,2023-08-24 12:55:08.381911,2023-08-24 12:55:09.982732,0 days 00:00:01.600821,0.5,2,0.9,2.630496115556501e-07,3.1275050511091555e-07,80,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.579323354774864,2023-08-24 12:55:08.590334,2023-08-24 12:55:10.195952,0 days 00:00:01.605618,0.6000000000000001,1,0.9,1.0466779242467348e-08,1.4931407672063662e-07,50,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5820040044459419,2023-08-24 12:55:08.702129,2023-08-24 12:55:09.828304,0 days 00:00:01.126175,0.6000000000000001,2,0.9,1.2164057860196615e-05,7.686158137482605e-08,90,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5681785233509371,2023-08-24 12:55:09.109948,2023-08-24 12:55:10.936470,0 days 00:00:01.826522,0.6000000000000001,2,1.0,1.1570871609320068e-05,6.498183567695233e-08,90,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5829956990587796,2023-08-24 12:55:09.375828,2023-08-24 12:55:10.699379,0 days 00:00:01.323551,0.6000000000000001,2,1.0,6.398897919743133e-06,7.555040682472157e-08,90,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5820040044459419,2023-08-24 12:55:09.816524,2023-08-24 12:55:11.348618,0 days 00:00:01.532094,0.6000000000000001,2,0.9,1.1634770499759865e-05,6.984206227393792e-08,90,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5931160316674913,2023-08-24 12:55:09.885019,2023-08-24 12:55:11.172341,0 days 00:00:01.287322,0.6000000000000001,1,0.8,3.1704517900831687e-06,1.1849857943295404e-08,80,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
