,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5553023288939534,2023-08-24 12:55:47.198829,2023-08-24 12:55:48.944977,0 days 00:00:01.746148,0.5,1,0.7000000000000001,0.05312815097941002,0.0002893243875115288,50,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5197567992824953,2023-08-24 12:55:47.201187,2023-08-24 12:55:51.122989,0 days 00:00:03.921802,0.7000000000000001,2,0.4,1.0525140835058537e-08,0.006131173690912321,30,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5571396468196522,2023-08-24 12:55:47.203581,2023-08-24 12:55:48.134196,0 days 00:00:00.930615,0.6000000000000001,1,0.7000000000000001,1.83304235848246e-05,4.862113808878757e-05,60,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5368371112282552,2023-08-24 12:55:47.204434,2023-08-24 12:55:48.225060,0 days 00:00:01.020626,0.5,3,1.0,0.014021922236563318,0.07315211556631043,80,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5264251309330228,2023-08-24 12:55:47.206699,2023-08-24 12:55:50.322774,0 days 00:00:03.116075,0.4,3,1.0,2.511279909773402e-08,5.991039914079104e-08,20,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5494175298265348,2023-08-24 12:55:47.207906,2023-08-24 12:55:48.806386,0 days 00:00:01.598480,0.5,3,0.9,0.008083544220761902,1.394936669665904e-07,60,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5538456515635305,2023-08-24 12:55:47.210473,2023-08-24 12:55:48.691264,0 days 00:00:01.480791,0.9,1,0.5,0.0009221113157212798,0.04057668956538049,80,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5327530490983009,2023-08-24 12:55:47.212619,2023-08-24 12:55:48.439338,0 days 00:00:01.226719,0.6000000000000001,3,0.6000000000000001,0.00014092947074742946,4.012454658823654e-08,30,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5072855310348439,2023-08-24 12:55:48.179625,2023-08-24 12:55:51.790817,0 days 00:00:03.611192,1.0,2,0.8,0.001250516009617806,0.22142674419235664,10,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5297505704618775,2023-08-24 12:55:48.269816,2023-08-24 12:55:49.977512,0 days 00:00:01.707696,0.6000000000000001,2,0.4,0.009183667883172276,0.19941600558082662,60,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5483719755780151,2023-08-24 12:55:48.488703,2023-08-24 12:55:53.674394,0 days 00:00:05.185691,0.4,2,0.9,4.2787070494782637e-08,7.96980658469297e-05,10,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.531448804497967,2023-08-24 12:55:48.742069,2023-08-24 12:55:54.114444,0 days 00:00:05.372375,1.0,2,1.0,6.193969236328381e-08,6.038516300852425e-08,30,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
