,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6651612778390511,2023-08-24 13:00:40.159932,2023-08-24 13:00:41.772210,0 days 00:00:01.612278,0.7000000000000001,1,0.6000000000000001,2.026161326534191e-05,0.00412959805871679,80,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6712745340590467,2023-08-24 13:00:40.162139,2023-08-24 13:00:40.356633,0 days 00:00:00.194494,0.7000000000000001,3,0.7000000000000001,0.0007479383313851523,2.9506513127138684e-08,80,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6582573866604748,2023-08-24 13:00:40.164118,2023-08-24 13:00:46.466111,0 days 00:00:06.301993,0.7000000000000001,1,0.8,0.024697800584165194,0.0030853053851248855,10,228,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6559560896009495,2023-08-24 13:00:40.168625,2023-08-24 13:00:42.190145,0 days 00:00:02.021520,0.9,3,0.4,1.8129484348349888e-08,2.5478942457225843e-06,40,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6508356725296799,2023-08-24 13:00:40.172699,2023-08-24 13:00:42.899722,0 days 00:00:02.727023,1.0,2,0.8,2.370645772313139e-05,0.001134943675339204,60,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6600242074631094,2023-08-24 13:00:40.175125,2023-08-24 13:00:43.596328,0 days 00:00:03.421203,1.0,3,0.6000000000000001,0.5191282681157486,4.0731726088665396e-05,40,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6857329486131041,2023-08-24 13:00:40.181709,2023-08-24 13:00:40.510594,0 days 00:00:00.328885,0.6000000000000001,3,0.9,0.0020062257157019594,0.000742461836321262,100,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6676512727538113,2023-08-24 13:00:40.183187,2023-08-24 13:00:42.005708,0 days 00:00:01.822521,0.5,1,0.9,0.02398963542295153,5.907324057192507e-07,50,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6761710506904757,2023-08-24 13:00:40.398067,2023-08-24 13:00:41.551438,0 days 00:00:01.153371,0.4,2,0.9,0.0008896093528993602,2.8917379340393616e-06,70,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6784595945018506,2023-08-24 13:00:40.554158,2023-08-24 13:00:41.326946,0 days 00:00:00.772788,0.5,2,0.9,2.1808966916389422e-05,1.8724601801693198e-05,70,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
