,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6198863636363636,2023-08-24 12:24:49.724233,2023-08-24 12:24:50.634188,0 days 00:00:00.909955,1.0,3,0.5,0.0012175354624509352,0.43568788071105535,30,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6133615803269608,2023-08-24 12:24:49.726797,2023-08-24 12:24:51.818238,0 days 00:00:02.091441,0.6000000000000001,3,0.8,7.291118845073121e-05,0.18106046499555722,50,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5796112005082619,2023-08-24 12:24:49.729449,2023-08-24 12:24:56.208569,0 days 00:00:06.479120,1.0,2,0.5,3.1540764710048544e-08,8.26113450774498e-05,20,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5816886396961456,2023-08-24 12:24:49.732977,2023-08-24 12:24:52.370697,0 days 00:00:02.637720,0.9,2,0.9,9.562988775284346e-05,1.0196215975081957e-08,80,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5800132866366106,2023-08-24 12:24:49.739746,2023-08-24 12:24:52.867864,0 days 00:00:03.128118,0.6000000000000001,1,0.8,9.437985417750204e-08,1.1975764809107756e-07,20,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6210882935473783,2023-08-24 12:24:49.742489,2023-08-24 12:24:50.580906,0 days 00:00:00.838417,0.6000000000000001,2,0.6000000000000001,0.0010490031995855314,3.9579761307369686e-05,80,15,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5981076819103401,2023-08-24 12:24:49.744121,2023-08-24 12:24:51.285385,0 days 00:00:01.541264,0.6000000000000001,1,0.6000000000000001,5.1364602010363545e-06,0.02868597544156737,60,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.582998858394417,2023-08-24 12:24:49.745762,2023-08-24 12:24:51.518800,0 days 00:00:01.773038,0.7000000000000001,2,0.4,5.2702845232537575e-08,3.6083641786829376e-06,60,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6027310786056472,2023-08-24 12:24:50.624557,2023-08-24 12:24:53.258233,0 days 00:00:02.633676,0.9,1,0.6000000000000001,1.1394674683748934e-05,0.004105705374173234,70,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5869171778151867,2023-08-24 12:24:50.680082,2023-08-24 12:24:51.929767,0 days 00:00:01.249685,0.7000000000000001,3,0.5,0.01052596844485683,0.00013753037663572228,100,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
