,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5263747408129913,2023-08-24 12:25:38.951155,2023-08-24 12:25:43.049621,0 days 00:00:04.098466,0.6000000000000001,3,1.0,0.04735180893900869,0.0514671944794446,30,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5504032258064516,2023-08-24 12:25:38.953474,2023-08-24 12:25:40.986346,0 days 00:00:02.032872,0.7000000000000001,1,0.7000000000000001,5.279862442124925e-06,0.04732772889480276,50,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5548231135140755,2023-08-24 12:25:38.955687,2023-08-24 12:25:42.768171,0 days 00:00:03.812484,1.0,3,1.0,0.3009832869281501,0.0104937627610714,40,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5293847513270512,2023-08-24 12:25:38.959615,2023-08-24 12:25:41.295082,0 days 00:00:02.335467,0.5,3,0.8,0.6954529992023528,2.905089205675013e-07,40,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5730977996537032,2023-08-24 12:25:38.963948,2023-08-24 12:25:41.898146,0 days 00:00:02.934198,0.9,3,0.4,1.0433767567494426e-05,7.088044772456308e-08,50,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.520148669796557,2023-08-24 12:25:38.969448,2023-08-24 12:25:39.505984,0 days 00:00:00.536536,0.9,2,0.4,6.799498849194131e-06,0.020006074905156917,70,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5466727514105543,2023-08-24 12:25:38.978266,2023-08-24 12:25:40.285956,0 days 00:00:01.307690,0.5,1,0.4,2.235725965132043e-08,0.07147799070429305,60,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5341187196769887,2023-08-24 12:25:38.985802,2023-08-24 12:25:42.378515,0 days 00:00:03.392713,1.0,1,0.5,3.0510971569112354e-05,0.043137738051264515,50,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5169523728820292,2023-08-24 12:25:39.554140,2023-08-24 12:25:40.438365,0 days 00:00:00.884225,0.7000000000000001,1,1.0,0.28002783772628925,0.0025893392936044797,10,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.523124964871072,2023-08-24 12:25:40.333260,2023-08-24 12:25:41.398119,0 days 00:00:01.064859,0.4,2,0.6000000000000001,0.5711865594309039,0.0016766550736909808,70,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5354819895118915,2023-08-24 12:25:40.485574,2023-08-24 12:25:42.224050,0 days 00:00:01.738476,1.0,3,0.6000000000000001,8.116231765500199e-05,2.354153210842842e-08,100,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5333801498735045,2023-08-24 12:25:41.026976,2023-08-24 12:25:42.598445,0 days 00:00:01.571469,0.6000000000000001,3,1.0,1.341530260044445e-07,0.28555724857625137,100,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5484669656673749,2023-08-24 12:25:41.346914,2023-08-24 12:25:42.638860,0 days 00:00:01.291946,0.7000000000000001,2,0.9,0.15913658682775747,4.231057393517791e-08,80,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5432667690732207,2023-08-24 12:25:41.444678,2023-08-24 12:25:44.536478,0 days 00:00:03.091800,0.7000000000000001,2,1.0,3.6527273718809755e-07,1.1214557428813545e-05,30,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5318277069977023,2023-08-24 12:25:41.939937,2023-08-24 12:25:45.291312,0 days 00:00:03.351375,0.7000000000000001,3,0.5,0.06631724525798628,1.2897828153509721e-05,30,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5375447823619229,2023-08-24 12:25:42.267073,2023-08-24 12:25:43.428139,0 days 00:00:01.161066,0.4,2,0.8,2.2474277137966297e-06,0.02667576797241319,70,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5211299906181591,2023-08-24 12:25:42.422583,2023-08-24 12:25:44.463501,0 days 00:00:02.040918,0.4,2,0.4,0.00027137114099657955,2.2900753846618541e-07,40,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5430179698190049,2023-08-24 12:25:42.688788,2023-08-24 12:25:46.053679,0 days 00:00:03.364891,0.8,2,0.7000000000000001,9.176040547934635e-07,9.403057474226292e-06,30,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5346644459987402,2023-08-24 12:25:42.690966,2023-08-24 12:25:45.183072,0 days 00:00:02.492106,0.8,2,0.7000000000000001,1.409581738351813e-06,9.551445339707066e-06,30,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5339554469600478,2023-08-24 12:25:42.821130,2023-08-24 12:25:47.589659,0 days 00:00:04.768529,0.9,3,0.8,0.00371567890580051,8.689065083221262e-06,30,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5404034063565795,2023-08-24 12:25:43.110968,2023-08-24 12:25:47.999772,0 days 00:00:04.888804,0.9,3,0.8,0.0028525217883707456,7.56836919378175e-06,20,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5443761075784426,2023-08-24 12:25:43.474635,2023-08-24 12:25:48.191729,0 days 00:00:04.717094,0.9,3,0.6000000000000001,0.003766243180919315,1.8344845304636095e-06,20,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5315003632144742,2023-08-24 12:25:44.513301,2023-08-24 12:25:46.840081,0 days 00:00:02.326780,0.9,3,0.6000000000000001,0.0023364312868937314,4.0181523581188625e-05,20,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.542449759669213,2023-08-24 12:25:44.609865,2023-08-24 12:25:50.868474,0 days 00:00:06.258609,0.9,3,0.6000000000000001,0.002009849714592378,4.3289697879469835e-05,10,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5434131093093679,2023-08-24 12:25:45.236350,2023-08-24 12:25:50.432553,0 days 00:00:05.196203,0.9,3,0.6000000000000001,0.003209684216065826,0.00020069120553965313,10,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5203923728591286,2023-08-24 12:25:45.352904,2023-08-24 12:25:51.865230,0 days 00:00:06.512326,0.9,3,0.8,0.0011717715911085326,0.00030919422877317764,10,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.538201381951382,2023-08-24 12:25:46.113592,2023-08-24 12:25:52.856828,0 days 00:00:06.743236,0.9,3,0.9,0.0016364296589398198,0.7990932022576642,10,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5335601898101898,2023-08-24 12:25:46.893736,2023-08-24 12:25:53.790375,0 days 00:00:06.896639,0.9,3,0.9,0.004236595454324653,0.00036127777451023824,10,206,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5349658290834761,2023-08-24 12:25:47.640910,2023-08-24 12:25:51.132203,0 days 00:00:03.491293,1.0,1,0.9,1.6133679421185975e-05,0.7849147831564345,50,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5482453406470111,2023-08-24 12:25:48.052428,2023-08-24 12:25:51.210640,0 days 00:00:03.158212,1.0,1,0.9,1.0733875274991961e-05,0.9909717240422045,50,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5497617882619557,2023-08-24 12:25:48.242116,2023-08-24 12:25:51.331054,0 days 00:00:03.088938,1.0,1,0.9,1.3045142146032783e-05,0.00032504737989566817,50,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5215464491972482,2023-08-24 12:25:50.488773,2023-08-24 12:25:53.864016,0 days 00:00:03.375243,1.0,1,0.9,1.4274550501625936e-05,0.32037770366546675,50,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.554671453921807,2023-08-24 12:25:50.920295,2023-08-24 12:25:54.935021,0 days 00:00:04.014726,1.0,1,0.9,1.787115801594255e-05,0.6651976797660781,50,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5312395937395937,2023-08-24 12:25:51.191943,2023-08-24 12:25:53.697698,0 days 00:00:02.505755,0.8,1,0.9,6.5373463503344415e-06,0.005798240360672338,60,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5335291984421892,2023-08-24 12:25:51.274994,2023-08-24 12:25:52.730313,0 days 00:00:01.455319,0.8,1,0.5,0.000139349644225676,1.1223778591434011e-08,60,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5399774863216315,2023-08-24 12:25:51.379582,2023-08-24 12:25:54.024463,0 days 00:00:02.644881,0.8,2,0.5,0.000101335064362262,0.003328288395854171,60,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5315974359902944,2023-08-24 12:25:51.911250,2023-08-24 12:25:54.097028,0 days 00:00:02.185778,0.8,2,0.5,0.00013818457466849296,0.006916366005133298,60,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5355937239601837,2023-08-24 12:25:52.780533,2023-08-24 12:25:55.540541,0 days 00:00:02.760008,0.6000000000000001,2,0.7000000000000001,0.019274915208425322,0.005828493854512787,40,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5477155359982953,2023-08-24 12:25:52.906381,2023-08-24 12:25:57.689092,0 days 00:00:04.782711,1.0,1,1.0,5.6009071755287064e-06,0.005355670566037437,40,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5275809156301998,2023-08-24 12:25:53.753426,2023-08-24 12:25:58.706925,0 days 00:00:04.953499,1.0,1,1.0,4.64950208101819e-05,0.0006720635163391122,40,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5307079303675049,2023-08-24 12:25:53.843936,2023-08-24 12:25:58.150610,0 days 00:00:04.306674,1.0,1,1.0,3.527900029811829e-05,0.006215479001262957,40,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5494221986809723,2023-08-24 12:25:53.910577,2023-08-24 12:25:57.068391,0 days 00:00:03.157814,0.6000000000000001,1,1.0,0.021619952962224322,0.0007007711087261963,40,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
