,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6198608377628664,2023-08-24 12:32:59.150401,2023-08-24 12:33:01.056632,0 days 00:00:01.906231,0.7000000000000001,3,0.5,0.001398643233363233,7.83058449609681e-05,60,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6164278207141864,2023-08-24 12:32:59.151867,2023-08-24 12:33:00.318038,0 days 00:00:01.166171,0.5,1,0.5,2.9221930583720268e-08,3.039852487477747e-06,70,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6200627480313323,2023-08-24 12:32:59.153677,2023-08-24 12:33:01.227151,0 days 00:00:02.073474,1.0,1,0.4,1.636785123731527e-08,0.021129539725013028,80,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.610645342920754,2023-08-24 12:32:59.155005,2023-08-24 12:33:03.622642,0 days 00:00:04.467637,0.9,1,0.9,3.2539235109738674e-08,1.3828306449770953e-07,40,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6099301484104409,2023-08-24 12:32:59.156054,2023-08-24 12:33:00.608740,0 days 00:00:01.452686,0.6000000000000001,2,0.7000000000000001,1.7296122301835743e-07,1.7684136670876758e-08,80,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6190622067205533,2023-08-24 12:32:59.157069,2023-08-24 12:33:02.816783,0 days 00:00:03.659714,0.7000000000000001,1,0.7000000000000001,9.038075213896527e-07,3.631918851578321e-06,40,197,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6180198698184309,2023-08-24 12:32:59.157814,2023-08-24 12:32:59.483961,0 days 00:00:00.326147,1.0,2,1.0,0.293076522394877,1.3633604385952809e-05,20,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6192092662027393,2023-08-24 12:32:59.158993,2023-08-24 12:33:00.679811,0 days 00:00:01.520818,0.6000000000000001,2,1.0,9.098023331359859e-08,0.5576585120112425,80,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.622998257550614,2023-08-24 12:32:59.528331,2023-08-24 12:33:01.400823,0 days 00:00:01.872492,0.8,1,0.6000000000000001,0.000710171855828367,1.7867624788933777e-08,70,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6226910600752562,2023-08-24 12:33:00.360444,2023-08-24 12:33:03.087189,0 days 00:00:02.726745,1.0,2,1.0,8.986114032172661e-06,1.483223767650036e-07,90,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6194141918551966,2023-08-24 12:33:00.651500,2023-08-24 12:33:03.340044,0 days 00:00:02.688544,0.9,1,0.7000000000000001,0.046900248169592845,4.831447421549452e-07,70,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6371672703342712,2023-08-24 12:33:00.724582,2023-08-24 12:33:07.429737,0 days 00:00:06.705155,0.8,1,0.7000000000000001,4.3045623576063676e-08,3.885241184971839e-07,10,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.61305527319344,2023-08-24 12:33:01.103709,2023-08-24 12:33:02.693563,0 days 00:00:01.589854,0.5,1,0.9,0.013673342251209024,3.627095397755996e-08,90,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6209929970886773,2023-08-24 12:33:01.267401,2023-08-24 12:33:01.996225,0 days 00:00:00.728824,0.4,3,0.5,0.0044361333697253615,1.499597645986269e-07,100,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6344181945354852,2023-08-24 12:33:01.448578,2023-08-24 12:33:02.215861,0 days 00:00:00.767283,0.4,1,0.8,0.00019294892014764788,0.0017294248042994008,100,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6051596910851078,2023-08-24 12:33:02.042145,2023-08-24 12:33:08.722290,0 days 00:00:06.680145,1.0,2,0.7000000000000001,4.339485143360346e-08,0.0001318248134677755,10,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6208693180717133,2023-08-24 12:33:02.276276,2023-08-24 12:33:03.782546,0 days 00:00:01.506270,0.6000000000000001,1,0.8,6.662589369921853e-05,0.00955457181376943,80,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6110460113269338,2023-08-24 12:33:02.757851,2023-08-24 12:33:04.871952,0 days 00:00:02.114101,0.4,1,0.8,2.158217341809194e-05,0.001412611916245127,30,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6198608377628664,2023-08-24 12:33:02.862489,2023-08-24 12:33:07.063176,0 days 00:00:04.200687,0.8,1,0.8,3.330437821840079e-05,0.0013891140986200753,40,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6198608377628664,2023-08-24 12:33:03.137283,2023-08-24 12:33:06.524101,0 days 00:00:03.386818,0.8,1,0.8,8.720959574832563e-05,0.0011737061215938754,40,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6165491280454509,2023-08-24 12:33:03.386285,2023-08-24 12:33:06.630999,0 days 00:00:03.244714,0.8,1,0.8,0.00015702182035680348,0.0012728636545470537,40,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6216882940020623,2023-08-24 12:33:03.668071,2023-08-24 12:33:05.140523,0 days 00:00:01.472452,0.8,1,0.8,0.00023092926771073804,0.0011410987338054208,100,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6328362845604225,2023-08-24 12:33:03.831581,2023-08-24 12:33:05.236443,0 days 00:00:01.404862,0.8,2,0.6000000000000001,0.00039386776240420374,0.0008204741456061595,100,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6328362845604225,2023-08-24 12:33:04.918191,2023-08-24 12:33:06.421581,0 days 00:00:01.503390,0.8,2,0.6000000000000001,0.0007335551502214226,0.00021500887147205913,100,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6316462008352552,2023-08-24 12:33:05.185334,2023-08-24 12:33:08.243757,0 days 00:00:03.058423,0.8,2,0.6000000000000001,0.001049553501463083,5.980281519575868e-05,50,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6196822607462816,2023-08-24 12:33:05.292158,2023-08-24 12:33:07.322501,0 days 00:00:02.030343,0.8,3,0.6000000000000001,0.0002241643676887561,0.00012140389182904719,100,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6198608377628664,2023-08-24 12:33:06.472803,2023-08-24 12:33:08.442343,0 days 00:00:01.969540,0.5,3,0.6000000000000001,9.270997774757293e-06,6.513624388330985e-05,50,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6153662978909634,2023-08-24 12:33:06.581490,2023-08-24 12:33:08.376138,0 days 00:00:01.794648,0.5,3,0.6000000000000001,5.09732762974854e-06,3.5703994247383134e-05,60,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6233807907314519,2023-08-24 12:33:06.678110,2023-08-24 12:33:08.541870,0 days 00:00:01.863760,0.9,2,0.6000000000000001,0.0014081099596160956,0.00010774544857389673,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6233807907314519,2023-08-24 12:33:07.115003,2023-08-24 12:33:09.016200,0 days 00:00:01.901197,0.9,2,0.6000000000000001,0.0008888898576733707,0.00010292139129413971,100,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6287944582299421,2023-08-24 12:33:07.388629,2023-08-24 12:33:09.456038,0 days 00:00:02.067409,0.9,2,0.6000000000000001,0.0008867880458822749,0.00014734278479195263,90,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5909076228433381,2023-08-24 12:33:07.482040,2023-08-24 12:33:11.012801,0 days 00:00:03.530761,0.9,2,0.6000000000000001,9.924660580750867e-07,1.4668411324426516e-05,10,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
