,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.547080394922426,2023-08-24 12:35:23.943124,2023-08-24 12:35:25.670078,0 days 00:00:01.726954,0.6000000000000001,3,0.8,0.0007700277219274067,0.39612656318751793,10,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5405614215812515,2023-08-24 12:35:23.945624,2023-08-24 12:35:25.320225,0 days 00:00:01.374601,0.6000000000000001,3,0.9,0.013442751607761042,3.956649123185866e-06,60,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.47494616685666596,2023-08-24 12:35:23.947870,2023-08-24 12:35:24.280336,0 days 00:00:00.332466,0.7000000000000001,2,0.9,8.817404021531612e-05,0.00010669382452616457,60,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5180176231626185,2023-08-24 12:35:23.950159,2023-08-24 12:35:26.894876,0 days 00:00:02.944717,0.7000000000000001,3,0.9,0.0006383578734529707,0.005597977784408509,50,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5304284374022724,2023-08-24 12:35:23.959913,2023-08-24 12:35:25.732478,0 days 00:00:01.772565,0.6000000000000001,3,0.7000000000000001,1.6621428821439434e-06,0.004055728386337842,60,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5531460644687491,2023-08-24 12:35:23.960287,2023-08-24 12:35:25.126292,0 days 00:00:01.166005,0.7000000000000001,2,0.6000000000000001,0.018336184519335993,0.0003347120724302935,100,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5409113358113904,2023-08-24 12:35:23.966659,2023-08-24 12:35:27.493335,0 days 00:00:03.526676,0.6000000000000001,1,0.4,3.801256168436655e-08,3.726671230552727e-05,30,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5339554469600478,2023-08-24 12:35:23.968165,2023-08-24 12:35:29.660422,0 days 00:00:05.692257,0.8,2,1.0,1.778757433170101e-05,3.0400438132886935e-05,30,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5509435951502372,2023-08-24 12:35:24.323903,2023-08-24 12:35:25.226318,0 days 00:00:00.902415,0.6000000000000001,3,1.0,0.017801830557884087,4.046140642569081e-05,80,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5317022342450656,2023-08-24 12:35:25.169266,2023-08-24 12:35:26.120927,0 days 00:00:00.951661,0.9,1,0.4,0.047212767310214634,8.218824841320574e-05,30,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
