,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6181933866769498,2023-08-24 12:36:32.428710,2023-08-24 12:36:34.762567,0 days 00:00:02.333857,0.9,2,0.6000000000000001,0.008684716874037917,0.00015534035836877426,70,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6064876086674452,2023-08-24 12:36:32.431292,2023-08-24 12:36:33.274043,0 days 00:00:00.842751,1.0,1,0.4,1.2283561034500648e-08,0.06840628050324786,70,24,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6043223726627982,2023-08-24 12:36:32.433436,2023-08-24 12:36:34.162888,0 days 00:00:01.729452,0.9,3,0.7000000000000001,4.224025553988382e-05,0.9167772119539868,30,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6248142941118209,2023-08-24 12:36:32.435627,2023-08-24 12:36:34.370184,0 days 00:00:01.934557,0.6000000000000001,2,0.4,0.37267040538567386,0.009145509105841434,80,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6138050470064325,2023-08-24 12:36:32.441884,2023-08-24 12:36:34.974044,0 days 00:00:02.532160,0.9,2,0.7000000000000001,2.5271161524481178e-05,0.00010296733933143451,100,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6005805694521648,2023-08-24 12:36:32.448352,2023-08-24 12:36:33.219639,0 days 00:00:00.771287,0.4,2,1.0,1.7063967524407166e-08,0.021291626785530388,100,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6176626185005696,2023-08-24 12:36:32.453900,2023-08-24 12:36:34.087966,0 days 00:00:01.634066,0.9,3,0.5,0.3761883382963301,2.7263762001701578e-05,80,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6087512975294525,2023-08-24 12:36:32.455150,2023-08-24 12:36:35.977617,0 days 00:00:03.522467,1.0,1,0.7000000000000001,0.012762233166035504,0.003982533905033864,50,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6141269256491786,2023-08-24 12:36:33.267834,2023-08-24 12:36:38.627938,0 days 00:00:05.360104,0.5,3,0.6000000000000001,0.007419158124550864,0.0005095952939093104,10,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6234581527653527,2023-08-24 12:36:33.325407,2023-08-24 12:36:34.427174,0 days 00:00:01.101767,0.4,2,0.6000000000000001,2.6188590280083866e-07,3.87889081712112e-06,80,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
