,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.565439373920906,2023-08-24 13:01:29.007377,2023-08-24 13:01:31.442251,0 days 00:00:02.434874,0.5,3,0.6000000000000001,6.840599506657903e-08,3.273063464962914e-06,20,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5410550528131716,2023-08-24 13:01:29.010124,2023-08-24 13:01:31.211601,0 days 00:00:02.201477,0.9,2,0.8,1.0765680558826248e-05,0.018409283253023073,20,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5536714037500049,2023-08-24 13:01:29.012872,2023-08-24 13:01:30.694805,0 days 00:00:01.681933,0.7000000000000001,1,0.6000000000000001,5.1644627931352635e-05,0.00011472140185523689,80,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5560465895156244,2023-08-24 13:01:29.016101,2023-08-24 13:01:30.002820,0 days 00:00:00.986719,0.5,1,0.9,8.56034776008811e-05,1.752264729189364e-05,90,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5491860761229407,2023-08-24 13:01:29.018058,2023-08-24 13:01:30.282128,0 days 00:00:01.264070,0.4,1,0.8,0.46677941506564224,0.01900960413863531,40,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5458959899749373,2023-08-24 13:01:29.028223,2023-08-24 13:01:30.923079,0 days 00:00:01.894856,0.5,1,0.6000000000000001,7.945120595372036e-06,0.0005545842927432191,60,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5127799004827253,2023-08-24 13:01:29.028801,2023-08-24 13:01:33.587820,0 days 00:00:04.559019,0.8,2,0.8,0.0017605027875910184,0.0015096414917514628,30,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5462414338429099,2023-08-24 13:01:29.035009,2023-08-24 13:01:30.126909,0 days 00:00:01.091900,0.7000000000000001,1,0.5,0.3763981649165057,0.0006226888389415962,90,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5511078520180016,2023-08-24 13:01:30.044375,2023-08-24 13:01:31.948143,0 days 00:00:01.903768,0.7000000000000001,3,0.5,0.03184707385546119,2.7327378957957164e-07,70,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.547080394922426,2023-08-24 13:01:30.170317,2023-08-24 13:01:32.058796,0 days 00:00:01.888479,0.9,1,0.8,4.7403971803673774e-07,0.08394352928426359,90,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.553234870743202,2023-08-24 13:01:30.346538,2023-08-24 13:01:31.900034,0 days 00:00:01.553496,0.8,1,0.6000000000000001,0.00013911987872977871,3.167668621514447e-05,100,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5269018587075416,2023-08-24 13:01:30.739494,2023-08-24 13:01:33.964241,0 days 00:00:03.224747,1.0,3,0.5,0.006083423348016359,3.7419386228432225e-07,10,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5443583391560269,2023-08-24 13:01:30.967879,2023-08-24 13:01:32.304935,0 days 00:00:01.337056,0.9,3,1.0,3.5467262952083605e-07,0.007078281341492396,70,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5380116124057774,2023-08-24 13:01:31.259881,2023-08-24 13:01:33.481938,0 days 00:00:02.222057,0.8,1,0.8,9.704327802228578e-05,5.490087531134686e-07,70,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.543853975640697,2023-08-24 13:01:31.485675,2023-08-24 13:01:32.911050,0 days 00:00:01.425375,0.4,2,0.9,1.0071184334772124e-08,0.017210525313467926,60,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5500566503355044,2023-08-24 13:01:31.942467,2023-08-24 13:01:34.228684,0 days 00:00:02.286217,0.8,3,1.0,9.661003354605443e-07,9.272229778078324e-07,70,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5246151261210173,2023-08-24 13:01:31.994308,2023-08-24 13:01:34.489037,0 days 00:00:02.494729,0.7000000000000001,2,0.6000000000000001,0.4930782923577033,9.556625149032787e-07,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5082232986696316,2023-08-24 13:01:32.103264,2023-08-24 13:01:36.047600,0 days 00:00:03.944336,0.5,3,0.4,1.7648292987328368e-08,3.4211488446683385e-08,10,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5162131597775163,2023-08-24 13:01:32.348131,2023-08-24 13:01:32.579380,0 days 00:00:00.231249,0.5,2,1.0,1.470753076094702e-08,1.4609231654857864e-06,10,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5208703520570919,2023-08-24 13:01:32.629582,2023-08-24 13:01:35.729967,0 days 00:00:03.100385,0.5,3,0.4,0.0009707424361060549,1.1467102350279918e-08,30,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5516531846383413,2023-08-24 13:01:32.956305,2023-08-24 13:01:35.417136,0 days 00:00:02.460831,0.5,3,0.4,0.000995665592595061,1.0604750473861172e-08,30,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5353770459540131,2023-08-24 13:01:33.536089,2023-08-24 13:01:36.687996,0 days 00:00:03.151907,0.5,3,0.4,0.0011413697940482084,2.6253131252914617e-08,30,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5409305377129814,2023-08-24 13:01:33.635464,2023-08-24 13:01:35.474659,0 days 00:00:01.839195,0.5,3,0.4,0.002110530457671675,3.239386736489154e-08,40,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5368254157004975,2023-08-24 13:01:34.006868,2023-08-24 13:01:36.629041,0 days 00:00:02.622173,0.5,3,0.4,3.3322509126694646e-07,9.266701081997206e-06,40,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5352382725482667,2023-08-24 13:01:34.272383,2023-08-24 13:01:36.319765,0 days 00:00:02.047382,0.5,2,0.7000000000000001,5.684732105935243e-08,5.110304989919444e-08,40,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5368254157004975,2023-08-24 13:01:34.546023,2023-08-24 13:01:36.560053,0 days 00:00:02.014030,0.5,3,0.4,6.099889739342561e-08,2.091753200608165e-08,40,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5527166950202675,2023-08-24 13:01:35.460091,2023-08-24 13:01:37.530996,0 days 00:00:02.070905,0.6000000000000001,2,0.7000000000000001,9.94687957634683e-08,1.3701290385771542e-05,40,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5391825382669071,2023-08-24 13:01:35.531747,2023-08-24 13:01:36.896568,0 days 00:00:01.364821,0.6000000000000001,2,0.7000000000000001,3.9493195094719354e-08,1.6032596150329983e-05,100,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5715731311427306,2023-08-24 13:01:35.772948,2023-08-24 13:01:37.125093,0 days 00:00:01.352145,0.6000000000000001,1,0.7000000000000001,3.795893590721219e-05,2.437754326379711e-05,90,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5652565822572531,2023-08-24 13:01:36.092564,2023-08-24 13:01:37.575796,0 days 00:00:01.483232,0.6000000000000001,1,0.7000000000000001,6.136941515862958e-05,3.8200967832445704e-05,90,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5715731311427306,2023-08-24 13:01:36.362406,2023-08-24 13:01:37.903214,0 days 00:00:01.540808,0.6000000000000001,1,0.7000000000000001,5.383174042429848e-06,1.3915472149520493e-05,90,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5715731311427306,2023-08-24 13:01:36.607527,2023-08-24 13:01:38.272393,0 days 00:00:01.664866,0.6000000000000001,1,0.7000000000000001,7.31616377505318e-06,3.550050128922126e-05,90,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5715731311427306,2023-08-24 13:01:36.677211,2023-08-24 13:01:38.427817,0 days 00:00:01.750606,0.6000000000000001,1,0.7000000000000001,4.966996567060431e-06,4.812924374978112e-05,90,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5494210647161085,2023-08-24 13:01:36.743306,2023-08-24 13:01:38.322571,0 days 00:00:01.579265,0.6000000000000001,1,0.7000000000000001,3.24722410214047e-06,2.530203728523636e-05,90,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
