,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.601186565220265,2023-08-24 13:02:27.507658,2023-08-24 13:02:27.808867,0 days 00:00:00.301209,0.7000000000000001,1,0.6000000000000001,0.23780185998224673,0.005876882122386468,70,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6192092662027393,2023-08-24 13:02:27.510082,2023-08-24 13:02:29.666532,0 days 00:00:02.156450,0.9,1,0.5,1.1913344066129843e-07,0.13460482200050586,70,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5998483241749413,2023-08-24 13:02:27.512258,2023-08-24 13:02:29.422220,0 days 00:00:01.909962,0.9,3,0.5,0.001566344109929049,2.191105857552759e-08,70,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6064565837319713,2023-08-24 13:02:27.514817,2023-08-24 13:02:31.204672,0 days 00:00:03.689855,1.0,2,0.6000000000000001,0.06036500520329972,1.3044412743853152e-07,40,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5851614597679797,2023-08-24 13:02:27.519651,2023-08-24 13:02:29.196203,0 days 00:00:01.676552,0.5,3,0.9,6.539833589464436e-08,6.086870718271911e-08,50,62,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5876066058154732,2023-08-24 13:02:27.526028,2023-08-24 13:02:30.668284,0 days 00:00:03.142256,0.6000000000000001,2,0.7000000000000001,9.817840228439436e-05,3.6213943761126906e-08,30,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6099301484104409,2023-08-24 13:02:27.528690,2023-08-24 13:02:29.055433,0 days 00:00:01.526743,0.9,2,0.9,1.7510414868119812e-06,0.00028298024818641733,100,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6110208126858275,2023-08-24 13:02:27.533244,2023-08-24 13:02:29.481261,0 days 00:00:01.948017,0.8,3,0.8,0.0013205368692701478,0.005143326254929878,50,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6148848684210526,2023-08-24 13:02:27.850511,2023-08-24 13:02:29.546891,0 days 00:00:01.696380,0.8,1,0.6000000000000001,0.0010218395502769482,5.507188935656276e-06,70,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6110737790271201,2023-08-24 13:02:29.101494,2023-08-24 13:02:31.868391,0 days 00:00:02.766897,0.5,3,1.0,0.00012053317076369127,0.0010309093105553132,30,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5978585517047055,2023-08-24 13:02:29.242108,2023-08-24 13:02:33.788320,0 days 00:00:04.546212,0.5,1,0.9,0.00016327205874080628,9.423185624013817e-08,20,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5940312551137292,2023-08-24 13:02:29.469433,2023-08-24 13:02:32.846571,0 days 00:00:03.377138,0.4,1,1.0,0.00021356173903021015,0.0003812884221258137,20,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.60416186993449,2023-08-24 13:02:29.525615,2023-08-24 13:02:31.450187,0 days 00:00:01.924572,0.8,2,0.4,0.0013369126627135939,1.1075759076173425e-07,70,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6225127855263226,2023-08-24 13:02:29.593500,2023-08-24 13:02:31.749104,0 days 00:00:02.155604,0.9,3,0.5,0.10782918484319226,0.00012892479581971356,70,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5886028770565399,2023-08-24 13:02:29.711663,2023-08-24 13:02:34.288895,0 days 00:00:04.577232,0.7000000000000001,3,0.7000000000000001,0.005144682544728927,3.4904378068075576e-06,20,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5958065422972108,2023-08-24 13:02:30.708229,2023-08-24 13:02:35.008438,0 days 00:00:04.300209,0.5,2,0.5,3.9470545025447906e-07,1.9715422363570056e-08,10,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5925059028847142,2023-08-24 13:02:31.252383,2023-08-24 13:02:32.935952,0 days 00:00:01.683569,0.9,1,0.6000000000000001,0.009052623103570743,0.03535960821905469,50,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.588690692877078,2023-08-24 13:02:31.496723,2023-08-24 13:02:35.827408,0 days 00:00:04.330685,0.4,1,0.4,1.517100652881182e-08,0.7764595156391817,10,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5985120879916809,2023-08-24 13:02:31.792197,2023-08-24 13:02:36.297937,0 days 00:00:04.505740,1.0,1,0.4,9.197958090457247e-08,0.34782378663297964,10,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.609640103325549,2023-08-24 13:02:31.921781,2023-08-24 13:02:33.255985,0 days 00:00:01.334204,1.0,1,0.4,1.4096485965414085e-08,0.43882166610414336,100,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6166689115947328,2023-08-24 13:02:32.892368,2023-08-24 13:02:34.862658,0 days 00:00:01.970290,1.0,1,0.4,1.4218542207774572e-08,0.830442917070613,90,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6215861059231935,2023-08-24 13:02:32.985888,2023-08-24 13:02:34.795761,0 days 00:00:01.809873,1.0,2,0.4,1.4687699154417947e-08,0.6037385939260357,100,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6067277226131946,2023-08-24 13:02:33.303003,2023-08-24 13:02:34.631175,0 days 00:00:01.328172,0.7000000000000001,2,0.5,0.7839225003065358,2.1552818048328655e-05,90,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6204255319148936,2023-08-24 13:02:33.841489,2023-08-24 13:02:35.507048,0 days 00:00:01.665559,0.7000000000000001,2,0.5,1.0257412671079368e-05,0.796163001337571,80,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6046099290780143,2023-08-24 13:02:34.336310,2023-08-24 13:02:36.147426,0 days 00:00:01.811116,1.0,2,0.5,4.1388392590683135e-06,0.7167980853673327,90,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6110737790271201,2023-08-24 13:02:34.672698,2023-08-24 13:02:36.858548,0 days 00:00:02.185850,1.0,2,0.5,8.954152610501712e-06,0.5825130777490078,80,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6152530903418101,2023-08-24 13:02:34.838466,2023-08-24 13:02:36.656411,0 days 00:00:01.817945,1.0,2,0.4,7.258394929053379e-06,0.3193194932886384,90,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6080078124999999,2023-08-24 13:02:34.927928,2023-08-24 13:02:36.749697,0 days 00:00:01.821769,1.0,2,0.5,3.404211169884417e-06,0.0680823536712891,90,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6002987303958178,2023-08-24 13:02:35.058305,2023-08-24 13:02:37.206888,0 days 00:00:02.148583,0.9,3,0.5,5.003873109457195e-06,0.10454184971344686,90,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6077396657871592,2023-08-24 13:02:35.549840,2023-08-24 13:02:37.736708,0 days 00:00:02.186868,1.0,2,0.4,6.163753229398854e-06,0.08454281187765168,80,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6059009999446121,2023-08-24 13:02:35.874639,2023-08-24 13:02:37.902852,0 days 00:00:02.028213,1.0,2,0.5,2.8026876505713014e-06,0.04594770795534552,80,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6152530903418101,2023-08-24 13:02:36.187822,2023-08-24 13:02:37.684778,0 days 00:00:01.496956,0.6000000000000001,2,0.4,7.775404024506751e-06,0.09350525626798294,80,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6100335858702752,2023-08-24 13:02:36.340207,2023-08-24 13:02:38.183445,0 days 00:00:01.843238,0.8,2,0.5,1.1979065402719766e-05,0.051987650872019446,80,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6230354924772288,2023-08-24 13:02:36.697669,2023-08-24 13:02:38.532430,0 days 00:00:01.834761,0.6000000000000001,3,0.5,2.867110815147694e-05,0.04849665026312244,80,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6202248665168586,2023-08-24 13:02:36.795201,2023-08-24 13:02:38.446916,0 days 00:00:01.651715,0.6000000000000001,3,0.6000000000000001,1.5843373247190927e-05,0.024957046017599304,80,214,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6120581392954934,2023-08-24 13:02:36.904060,2023-08-24 13:02:38.312651,0 days 00:00:01.408591,0.6000000000000001,3,0.6000000000000001,7.590478745204252e-07,0.03419482855413001,80,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
