,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5503234025237189,2023-08-24 13:18:57.011042,2023-08-24 13:18:58.901652,0 days 00:00:01.890610,0.5,3,0.8,4.066224253236912e-07,1.6259597343965146e-08,50,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5442996746948869,2023-08-24 13:18:57.013264,2023-08-24 13:18:59.943406,0 days 00:00:02.930142,0.9,2,0.6000000000000001,0.024057845605532185,3.174931336792737e-05,40,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.534877462111655,2023-08-24 13:18:57.015619,2023-08-24 13:18:58.590205,0 days 00:00:01.574586,0.5,3,0.9,6.53942408561144e-06,0.0034809986584414063,50,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5493180449749994,2023-08-24 13:18:57.019266,2023-08-24 13:19:00.248828,0 days 00:00:03.229562,0.8,3,0.4,9.30592340121409e-05,0.00014304208006671616,40,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.555682396231775,2023-08-24 13:18:57.019586,2023-08-24 13:18:58.500328,0 days 00:00:01.480742,1.0,1,0.4,0.00604342081920688,7.641176979108885e-05,70,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5561754392838254,2023-08-24 13:18:57.026521,2023-08-24 13:18:59.200093,0 days 00:00:02.173572,1.0,3,0.7000000000000001,0.9188726977181978,3.2678098587856914e-05,40,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5596203885948956,2023-08-24 13:18:57.028336,2023-08-24 13:19:02.606473,0 days 00:00:05.578137,1.0,3,0.6000000000000001,0.027238839341888994,0.5088809939862236,10,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5337626375621747,2023-08-24 13:18:57.029238,2023-08-24 13:19:01.818326,0 days 00:00:04.789088,0.8,3,0.6000000000000001,4.4425058255273106e-08,6.406366284335896e-08,10,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5478162709632239,2023-08-24 13:18:58.552061,2023-08-24 13:18:59.603583,0 days 00:00:01.051522,0.5,3,0.5,0.0525862458210137,0.030814946112299988,50,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5674312028537107,2023-08-24 13:18:58.635648,2023-08-24 13:18:59.667889,0 days 00:00:01.032241,0.4,2,0.7000000000000001,1.2875082011801252e-07,0.0017811689452224132,70,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5221826752532527,2023-08-24 13:18:58.945027,2023-08-24 13:19:01.127495,0 days 00:00:02.182468,0.8,3,0.4,4.1347558057098626e-07,4.223703705570728e-06,10,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5396138101673279,2023-08-24 13:18:59.248163,2023-08-24 13:19:00.888809,0 days 00:00:01.640646,0.6000000000000001,2,0.6000000000000001,1.400847894886635e-08,0.001688887662228512,90,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5705400281567751,2023-08-24 13:18:59.656301,2023-08-24 13:19:03.958616,0 days 00:00:04.302315,0.9,1,0.5,1.1435266397865276e-05,1.2061022104804324e-05,10,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5598287934509338,2023-08-24 13:18:59.716274,2023-08-24 13:19:03.608854,0 days 00:00:03.892580,0.9,3,0.7000000000000001,0.001198748032031785,0.4413152233785323,40,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5584270367568274,2023-08-24 13:18:59.987718,2023-08-24 13:19:01.362366,0 days 00:00:01.374648,0.9,1,0.5,0.05125897004128881,0.28671366019915917,10,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5434131093093679,2023-08-24 13:19:00.293677,2023-08-24 13:19:03.007221,0 days 00:00:02.713544,0.9,3,1.0,0.00011688947935485972,0.16086899401366037,60,253,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5511555789596864,2023-08-24 13:19:00.947891,2023-08-24 13:19:04.534895,0 days 00:00:03.587004,0.6000000000000001,1,1.0,2.8502951154016727e-08,0.03879393750153462,30,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5612372015932846,2023-08-24 13:19:01.179738,2023-08-24 13:19:01.588100,0 days 00:00:00.408362,0.4,1,1.0,1.183772315998646e-08,0.32633675699182535,100,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5310758958572698,2023-08-24 13:19:01.416368,2023-08-24 13:19:01.962972,0 days 00:00:00.546604,0.4,1,0.7000000000000001,0.0005383536818192964,0.9172767991876362,10,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5494949494949495,2023-08-24 13:19:01.635853,2023-08-24 13:19:02.778030,0 days 00:00:01.142177,0.4,1,1.0,1.6714588099292503e-08,0.47262626125563106,100,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5650669605583942,2023-08-24 13:19:01.869281,2023-08-24 13:19:02.312571,0 days 00:00:00.443290,0.4,1,1.0,1.0818854787975782e-08,0.9769607778187982,100,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5698699096521209,2023-08-24 13:19:02.007857,2023-08-24 13:19:02.488278,0 days 00:00:00.480421,0.4,2,1.0,1.9144881317927003e-08,0.06229172099117963,100,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5419567424311074,2023-08-24 13:19:02.358788,2023-08-24 13:19:04.021766,0 days 00:00:01.662978,0.6000000000000001,2,1.0,3.5731511195045045e-07,0.044592916730108255,80,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5482453406470111,2023-08-24 13:19:02.538604,2023-08-24 13:19:04.148485,0 days 00:00:01.609881,0.6000000000000001,2,0.9,2.71220981065265e-07,0.02136864959142925,80,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5271479274527042,2023-08-24 13:19:02.654557,2023-08-24 13:19:04.274477,0 days 00:00:01.619920,0.6000000000000001,2,0.9,1.9921973778815524e-07,0.03053856837469817,80,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5426076722645328,2023-08-24 13:19:02.824954,2023-08-24 13:19:04.714616,0 days 00:00:01.889662,0.6000000000000001,2,0.8,2.6331271546965674e-07,0.011205092019514758,80,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5474837662337663,2023-08-24 13:19:03.054967,2023-08-24 13:19:04.772042,0 days 00:00:01.717075,0.6000000000000001,2,0.8,2.306481903080843e-07,0.018686948349265795,80,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5474837662337663,2023-08-24 13:19:03.656978,2023-08-24 13:19:05.263099,0 days 00:00:01.606121,0.6000000000000001,2,0.8,2.1961848599146688e-07,0.015662184585531272,80,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5474837662337663,2023-08-24 13:19:04.003592,2023-08-24 13:19:05.980903,0 days 00:00:01.977311,0.6000000000000001,2,0.8,4.069859482668118e-07,0.020556433345913352,80,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.55184132996633,2023-08-24 13:19:04.075507,2023-08-24 13:19:05.663379,0 days 00:00:01.587872,0.6000000000000001,2,0.8,2.5761715924415264e-06,0.005930641145612997,80,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5549473264052232,2023-08-24 13:19:04.206580,2023-08-24 13:19:08.413734,0 days 00:00:04.207154,0.7000000000000001,2,0.8,4.087522829380146e-06,0.002556560349144507,30,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5549473264052232,2023-08-24 13:19:04.321157,2023-08-24 13:19:08.561817,0 days 00:00:04.240660,0.7000000000000001,2,0.8,3.723817483017516e-06,0.002571413385073746,30,155,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5505620312077957,2023-08-24 13:19:04.579661,2023-08-24 13:19:06.281087,0 days 00:00:01.701426,0.7000000000000001,2,0.8,2.974499513388327e-06,0.0018911721313678328,60,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5335291984421892,2023-08-24 13:19:04.763800,2023-08-24 13:19:06.442415,0 days 00:00:01.678615,0.7000000000000001,2,0.5,2.8490980787881807e-06,0.001018716605965823,70,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5621454840117185,2023-08-24 13:19:04.833975,2023-08-24 13:19:06.885965,0 days 00:00:02.051990,0.7000000000000001,2,0.5,4.302847558381923e-06,0.001184746845080335,60,150,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5621454840117185,2023-08-24 13:19:05.306313,2023-08-24 13:19:07.493303,0 days 00:00:02.186990,0.7000000000000001,2,0.5,1.6190907606933033e-06,0.00105973570503409,60,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5621454840117185,2023-08-24 13:19:05.708946,2023-08-24 13:19:07.853374,0 days 00:00:02.144428,0.7000000000000001,2,0.5,2.761959856526524e-06,0.0017339763935250475,60,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5423126259849734,2023-08-24 13:19:06.029501,2023-08-24 13:19:08.181119,0 days 00:00:02.151618,0.7000000000000001,1,0.5,7.420377292364467e-08,0.0008012710463309965,60,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5405732837435436,2023-08-24 13:19:06.325909,2023-08-24 13:19:07.114265,0 days 00:00:00.788356,0.4,1,0.5,4.276933747323334e-08,0.13631464896843395,100,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5380704287238717,2023-08-24 13:19:06.485003,2023-08-24 13:19:07.368528,0 days 00:00:00.883525,0.4,1,0.9,4.500962211988867e-08,0.11739764858279021,100,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5593947704308448,2023-08-24 13:19:06.927783,2023-08-24 13:19:07.942299,0 days 00:00:01.014516,0.5,1,0.9,7.546956642991327e-08,0.10055921146044046,90,22,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5427363839892871,2023-08-24 13:19:07.165685,2023-08-24 13:19:08.649916,0 days 00:00:01.484231,0.5,1,0.9,6.086322872085844e-08,0.11173740066846592,90,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5605819218514171,2023-08-24 13:19:07.414538,2023-08-24 13:19:08.945935,0 days 00:00:01.531397,0.5,1,0.9,5.8495807706035576e-08,0.0006054603698791766,90,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5466978424464561,2023-08-24 13:19:07.537046,2023-08-24 13:19:08.776779,0 days 00:00:01.239733,0.5,1,0.9,1.0980088031797955e-05,0.0003056238164006243,90,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
