,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5770791481225495,2023-08-24 13:20:00.668376,2023-08-24 13:20:02.489662,0 days 00:00:01.821286,0.5,1,0.5,0.01072067985981047,1.1076292758860772e-05,50,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.565439373920906,2023-08-24 13:20:00.670771,2023-08-24 13:20:02.137782,0 days 00:00:01.467011,0.6000000000000001,2,0.4,2.0964191688320773e-05,0.006471408651905686,70,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5629142488716957,2023-08-24 13:20:00.678291,2023-08-24 13:20:03.610175,0 days 00:00:02.931884,0.6000000000000001,2,0.7000000000000001,0.8574444657629579,1.1010159087150043e-07,30,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5865789706655835,2023-08-24 13:20:00.679455,2023-08-24 13:20:02.031983,0 days 00:00:01.352528,1.0,2,0.8,0.04456003858581991,2.8138342684957183e-05,90,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5794436586515794,2023-08-24 13:20:00.680952,2023-08-24 13:20:01.270894,0 days 00:00:00.589942,0.4,3,0.4,4.7197978901191865e-07,0.004581494608373079,100,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5727331255955292,2023-08-24 13:20:00.684361,2023-08-24 13:20:06.105273,0 days 00:00:05.420912,0.8,3,0.9,0.00016876917835271073,0.01567646607093842,10,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.598937257306356,2023-08-24 13:20:00.685931,2023-08-24 13:20:01.332911,0 days 00:00:00.646980,0.5,3,0.8,6.380369707644954e-07,1.1383994365954315e-05,50,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6016725530792028,2023-08-24 13:20:00.687292,2023-08-24 13:20:01.580746,0 days 00:00:00.893454,1.0,2,1.0,4.345030111592809e-05,1.3672848436992168e-08,30,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.57161861616613,2023-08-24 13:20:01.317418,2023-08-24 13:20:05.672066,0 days 00:00:04.354648,0.6000000000000001,3,1.0,0.02015594349437077,6.436196168870943e-07,20,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5651759044142052,2023-08-24 13:20:01.380453,2023-08-24 13:20:03.090234,0 days 00:00:01.709781,0.6000000000000001,1,1.0,0.0005283354169458716,0.07056544047411654,30,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
