,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5167685838000475,2023-08-24 13:20:46.958034,2023-08-24 13:20:49.284544,0 days 00:00:02.326510,0.9,2,0.9,4.804610024956768e-08,1.2170176383106e-08,20,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5048026807145909,2023-08-24 13:20:46.960312,2023-08-24 13:20:47.827775,0 days 00:00:00.867463,1.0,2,0.4,0.0003834241823034975,0.00033971794868619895,70,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5155769689698987,2023-08-24 13:20:46.962507,2023-08-24 13:20:48.253842,0 days 00:00:01.291335,0.5,3,1.0,2.6550122318888607e-08,3.7251803684187587e-07,70,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5365810359231412,2023-08-24 13:20:46.965873,2023-08-24 13:20:52.898953,0 days 00:00:05.933080,0.4,1,0.7000000000000001,6.861437682094805e-05,0.04207068567982584,10,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5157132740577544,2023-08-24 13:20:46.969130,2023-08-24 13:20:47.878865,0 days 00:00:00.909735,0.4,3,0.6000000000000001,0.03694360695850181,0.17035805401771417,80,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.525092185435687,2023-08-24 13:20:46.973163,2023-08-24 13:20:48.162994,0 days 00:00:01.189831,0.4,2,0.5,6.34360048870314e-08,0.13755341087009398,60,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5236315086782377,2023-08-24 13:20:46.978659,2023-08-24 13:20:47.622033,0 days 00:00:00.643374,0.4,1,0.5,0.0004071395970047641,0.0003616258116585526,100,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5315856122720243,2023-08-24 13:20:46.982659,2023-08-24 13:20:48.430950,0 days 00:00:01.448291,0.5,1,0.6000000000000001,2.0522477913694304e-05,5.917519853716146e-08,100,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5148510118790008,2023-08-24 13:20:47.668900,2023-08-24 13:20:52.203478,0 days 00:00:04.534578,0.9,3,0.9,1.2111790545272868e-08,2.610685057622278e-06,30,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.526107027724049,2023-08-24 13:20:47.873038,2023-08-24 13:20:51.885726,0 days 00:00:04.012688,0.8,3,1.0,1.964165986937714e-06,0.03245018893196174,40,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5300999091734786,2023-08-24 13:20:47.928530,2023-08-24 13:20:49.699683,0 days 00:00:01.771153,1.0,3,0.6000000000000001,0.12545336604935636,3.0790867711878743e-06,60,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5080611908296223,2023-08-24 13:20:48.209033,2023-08-24 13:20:50.799986,0 days 00:00:02.590953,0.6000000000000001,3,0.7000000000000001,0.00011666023271275703,2.6510275030468555e-08,40,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5327530490983009,2023-08-24 13:20:48.301301,2023-08-24 13:20:49.513745,0 days 00:00:01.212444,0.6000000000000001,2,0.5,1.0033215444194547e-05,0.0009339614982492854,80,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5117388193977759,2023-08-24 13:20:48.488408,2023-08-24 13:20:49.336784,0 days 00:00:00.848376,0.8,2,0.4,0.47250616515805155,2.0035384692813107e-05,10,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5207930576088278,2023-08-24 13:20:49.333362,2023-08-24 13:20:51.787628,0 days 00:00:02.454266,0.9,1,0.7000000000000001,4.943078045792911e-05,0.004559427120646456,70,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.48565737283841326,2023-08-24 13:20:49.388885,2023-08-24 13:20:49.826162,0 days 00:00:00.437277,0.8,1,0.4,3.229683651894729e-07,0.7031146761601955,30,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5447723497216538,2023-08-24 13:20:49.560261,2023-08-24 13:20:51.061313,0 days 00:00:01.501052,0.6000000000000001,3,0.7000000000000001,3.8724649084716485e-08,0.0005949151420350093,70,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5431354401603034,2023-08-24 13:20:49.760477,2023-08-24 13:20:53.303004,0 days 00:00:03.542527,0.7000000000000001,1,0.8,3.9793691099651754e-06,0.00498273747304188,40,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5521894657643239,2023-08-24 13:20:49.888396,2023-08-24 13:20:51.274902,0 days 00:00:01.386506,0.6000000000000001,1,0.7000000000000001,6.096962436029722e-06,0.002075223678265971,100,202,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5521894657643239,2023-08-24 13:20:50.846770,2023-08-24 13:20:51.991840,0 days 00:00:01.145070,0.6000000000000001,1,0.7000000000000001,2.2327751414196624e-06,0.0024672278009271113,100,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5194066076622099,2023-08-24 13:20:51.107218,2023-08-24 13:20:52.947740,0 days 00:00:01.840522,0.7000000000000001,2,0.8,1.7912381456993984e-06,0.00452556993177303,80,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.4960240083671893,2023-08-24 13:20:51.320364,2023-08-24 13:20:52.760378,0 days 00:00:01.440014,0.7000000000000001,1,0.8,9.607246048194545e-07,0.0037530897503047804,90,143,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5407041367547972,2023-08-24 13:20:51.839518,2023-08-24 13:20:53.759757,0 days 00:00:01.920239,0.7000000000000001,3,0.8,1.311149960709319e-06,0.007714621368819558,90,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.523124964871072,2023-08-24 13:20:51.946961,2023-08-24 13:20:53.407576,0 days 00:00:01.460615,0.6000000000000001,1,0.8,1.2029330010427923e-08,0.004080591239690638,90,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.4960240083671893,2023-08-24 13:20:52.056594,2023-08-24 13:20:54.041120,0 days 00:00:01.984526,0.7000000000000001,1,0.8,1.6027968775839326e-06,0.005076302072460935,90,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.4960240083671893,2023-08-24 13:20:52.251926,2023-08-24 13:20:53.888313,0 days 00:00:01.636387,0.7000000000000001,1,0.8,1.6254139189121594e-06,0.005526425572043034,90,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5105595300298708,2023-08-24 13:20:52.825305,2023-08-24 13:20:54.581900,0 days 00:00:01.756595,0.7000000000000001,1,0.8,2.2384351741992894e-06,5.892499348482761e-05,90,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5105595300298708,2023-08-24 13:20:52.945913,2023-08-24 13:20:54.655596,0 days 00:00:01.709683,0.7000000000000001,1,0.8,7.051015646508985e-06,7.22506101057238e-05,90,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5398669252417612,2023-08-24 13:20:53.001351,2023-08-24 13:20:54.286628,0 days 00:00:01.285277,0.6000000000000001,1,0.8,1.9185194915758907e-07,0.0004085405663622676,100,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5192238591448077,2023-08-24 13:20:53.348386,2023-08-24 13:20:54.928411,0 days 00:00:01.580025,0.6000000000000001,1,0.8,3.1532051982737254e-07,6.051387619939439e-05,90,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5429555442866802,2023-08-24 13:20:53.447601,2023-08-24 13:20:54.537088,0 days 00:00:01.089487,0.5,2,0.6000000000000001,2.3349293862018326e-07,7.622384450495293e-05,100,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5429555442866802,2023-08-24 13:20:53.801137,2023-08-24 13:20:55.047766,0 days 00:00:01.246629,0.5,2,0.6000000000000001,1.6927496932966833e-07,7.918373293598509e-05,100,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.5429555442866802,2023-08-24 13:20:53.932805,2023-08-24 13:20:55.305673,0 days 00:00:01.372868,0.5,2,0.6000000000000001,2.3515039814268783e-07,4.92231282898092e-05,100,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5429555442866802,2023-08-24 13:20:54.080635,2023-08-24 13:20:55.373247,0 days 00:00:01.292612,0.5,2,0.6000000000000001,1.1350546091795802e-07,7.531046733631974e-05,100,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5429555442866802,2023-08-24 13:20:54.331072,2023-08-24 13:20:55.573201,0 days 00:00:01.242129,0.5,2,0.6000000000000001,3.0329998128871113e-07,8.52559839459556e-05,100,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5138826470785745,2023-08-24 13:20:54.625069,2023-08-24 13:20:56.653924,0 days 00:00:02.028855,0.5,2,0.9,7.778564865567504e-08,0.0009745615182496793,50,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5138826470785745,2023-08-24 13:20:54.630868,2023-08-24 13:20:56.816979,0 days 00:00:02.186111,0.5,2,0.9,6.353644540419783e-08,0.0010511407711413896,50,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.5307310284150911,2023-08-24 13:20:54.704681,2023-08-24 13:20:56.301444,0 days 00:00:01.596763,0.5,2,0.9,7.887109639515917e-08,0.0010296908013130313,60,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5138826470785745,2023-08-24 13:20:54.969876,2023-08-24 13:20:57.005367,0 days 00:00:02.035491,0.5,2,0.9,5.4370873654782065e-08,0.0012234477427657824,50,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.5257572316395845,2023-08-24 13:20:55.087419,2023-08-24 13:20:57.289217,0 days 00:00:02.201798,0.6000000000000001,2,0.9,4.747076818006002e-08,0.0008895412241233784,50,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.5104483794138966,2023-08-24 13:20:55.349729,2023-08-24 13:20:57.397364,0 days 00:00:02.047635,0.6000000000000001,1,0.9,7.367539853884379e-08,0.0009139283841727038,50,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
41,41,0.5104483794138966,2023-08-24 13:20:55.422664,2023-08-24 13:20:57.734547,0 days 00:00:02.311883,0.6000000000000001,1,0.9,4.975529777986461e-08,0.0011442599622572167,50,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
42,42,0.5104483794138966,2023-08-24 13:20:55.616005,2023-08-24 13:20:57.729103,0 days 00:00:02.113098,0.6000000000000001,1,0.9,2.60379782109996e-08,0.0010384587448021502,50,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
43,43,0.5204450539175964,2023-08-24 13:20:56.346386,2023-08-24 13:20:58.580066,0 days 00:00:02.233680,0.6000000000000001,1,0.7000000000000001,2.7708495520399634e-08,0.00117201087608612,50,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
44,44,0.5272037831161982,2023-08-24 13:20:56.699789,2023-08-24 13:20:58.985850,0 days 00:00:02.286061,0.6000000000000001,1,0.7000000000000001,5.462527796605273e-06,0.02432032695421401,50,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
45,45,0.5267336980822654,2023-08-24 13:20:56.860671,2023-08-24 13:20:58.279430,0 days 00:00:01.418759,0.6000000000000001,1,0.7000000000000001,6.209383380172137e-06,0.0184193321784275,80,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
46,46,0.5096206706981858,2023-08-24 13:20:57.057743,2023-08-24 13:20:58.700055,0 days 00:00:01.642312,0.6000000000000001,1,0.7000000000000001,5.199561934607199e-06,0.018324285210140633,70,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
47,47,0.5171700310105494,2023-08-24 13:20:57.332519,2023-08-24 13:21:01.648901,0 days 00:00:04.316382,0.8,1,0.7000000000000001,5.590404190075578e-06,0.012538788726840762,30,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
48,48,0.5096206706981858,2023-08-24 13:20:57.441408,2023-08-24 13:20:59.067778,0 days 00:00:01.626370,0.6000000000000001,1,0.7000000000000001,5.686031182809982e-06,0.01868774550829663,70,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
49,49,0.5035389494465797,2023-08-24 13:20:57.821436,2023-08-24 13:20:59.399699,0 days 00:00:01.578263,0.4,3,0.7000000000000001,5.211152757480026e-07,0.00024390715944935698,70,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
50,50,0.5035389494465797,2023-08-24 13:20:57.822599,2023-08-24 13:20:59.249608,0 days 00:00:01.427009,0.4,3,0.7000000000000001,6.111895806939113e-07,0.00031585228367946564,70,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
51,51,0.5035389494465797,2023-08-24 13:20:58.322717,2023-08-24 13:20:59.736570,0 days 00:00:01.413853,0.4,3,0.7000000000000001,4.705846925073822e-07,0.00037795853287927436,70,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
52,52,0.5035389494465797,2023-08-24 13:20:58.620964,2023-08-24 13:20:59.984887,0 days 00:00:01.363923,0.4,3,0.7000000000000001,6.342312565764681e-07,0.0003321704901644932,70,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
53,53,0.5092669002205787,2023-08-24 13:20:58.742492,2023-08-24 13:21:01.925668,0 days 00:00:03.183176,0.8,3,0.7000000000000001,6.335930604755471e-07,0.0002283600339045679,40,232,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
54,54,0.5352073498011715,2023-08-24 13:20:59.036759,2023-08-24 13:21:02.953474,0 days 00:00:03.916715,0.8,3,0.5,6.159708909415466e-07,0.0002340779984611092,30,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
55,55,0.508983797022275,2023-08-24 13:20:59.113172,2023-08-24 13:21:01.148410,0 days 00:00:02.035238,0.4,3,0.5,2.3739076054154322e-05,0.00019877705571265375,30,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
56,56,0.5198227819668259,2023-08-24 13:20:59.294535,2023-08-24 13:21:05.246771,0 days 00:00:05.952236,0.8,3,0.5,6.146265781403881e-07,0.07515933007569428,20,233,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
57,57,0.5265984015984015,2023-08-24 13:20:59.443930,2023-08-24 13:21:03.540378,0 days 00:00:04.096448,0.8,3,0.5,1.744687130033274e-05,0.05157223981222278,30,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
58,58,0.5135132340777502,2023-08-24 13:20:59.792171,2023-08-24 13:21:04.324473,0 days 00:00:04.532302,0.8,2,0.5,1.7249568927427285e-05,0.00018368772243539818,30,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
59,59,0.5328775620808766,2023-08-24 13:21:00.035870,2023-08-24 13:21:03.945300,0 days 00:00:03.909430,0.8,2,0.5,1.690382983910202e-07,2.9464683929190796e-05,30,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
60,60,0.5412952689646575,2023-08-24 13:21:01.196539,2023-08-24 13:21:02.542647,0 days 00:00:01.346108,0.8,2,0.6000000000000001,3.382776513582375e-06,1.2957103799422474e-05,100,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
61,61,0.5129381399843065,2023-08-24 13:21:01.695934,2023-08-24 13:21:03.620320,0 days 00:00:01.924386,0.5,2,0.6000000000000001,1.7232623421114417e-07,0.05160667334272551,40,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
62,62,0.5104161444776503,2023-08-24 13:21:01.969910,2023-08-24 13:21:05.845059,0 days 00:00:03.875149,0.5,2,0.6000000000000001,1.381413572026674e-07,0.002383897546650584,20,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
63,63,0.5204301075268817,2023-08-24 13:21:02.597317,2023-08-24 13:21:06.861430,0 days 00:00:04.264113,0.5,2,0.5,1.5296548576452514e-07,0.10592353805083371,20,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
64,64,0.5516531846383413,2023-08-24 13:21:02.997161,2023-08-24 13:21:04.205103,0 days 00:00:01.207942,0.5,2,0.6000000000000001,1.644947968871159e-07,0.0019137089390028914,80,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
65,65,0.5133660665575559,2023-08-24 13:21:03.588034,2023-08-24 13:21:05.156463,0 days 00:00:01.568429,0.7000000000000001,2,0.6000000000000001,1.4185179049829394e-07,0.002165976230314063,80,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
66,66,0.523146919577098,2023-08-24 13:21:03.668354,2023-08-24 13:21:07.870400,0 days 00:00:04.202046,0.7000000000000001,2,0.6000000000000001,1.0110273272186743e-06,0.002194292469908195,20,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
67,67,0.5275809156301998,2023-08-24 13:21:03.991742,2023-08-24 13:21:06.073461,0 days 00:00:02.081719,0.7000000000000001,2,1.0,2.3208998704027238e-06,0.0023002233637716596,80,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
68,68,0.5133660665575559,2023-08-24 13:21:04.268486,2023-08-24 13:21:05.739494,0 days 00:00:01.471008,0.7000000000000001,2,0.6000000000000001,1.019207473049996e-06,0.002451536433577708,80,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
69,69,0.5226857333499055,2023-08-24 13:21:04.388220,2023-08-24 13:21:05.959069,0 days 00:00:01.570849,0.7000000000000001,2,0.6000000000000001,1.2891087952625066e-06,0.0001373548521231467,80,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
70,70,0.5166076620320009,2023-08-24 13:21:05.208298,2023-08-24 13:21:06.639087,0 days 00:00:01.430789,0.5,2,1.0,2.7303397580017647e-06,0.0029290050709538783,100,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
71,71,0.5105369744836126,2023-08-24 13:21:05.305494,2023-08-24 13:21:06.384618,0 days 00:00:01.079124,0.5,2,1.0,1.1200028288822218e-06,0.009829592338486745,100,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
72,72,0.5297540480012684,2023-08-24 13:21:05.789577,2023-08-24 13:21:07.294540,0 days 00:00:01.504963,0.5,2,0.6000000000000001,3.0319414869537617e-06,0.009665631380587316,100,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
73,73,0.5105369744836126,2023-08-24 13:21:05.916244,2023-08-24 13:21:07.344275,0 days 00:00:01.428031,0.5,2,1.0,2.8042361051668394e-06,0.007502660790389649,100,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
74,74,0.5590672274182412,2023-08-24 13:21:06.015302,2023-08-24 13:21:07.345594,0 days 00:00:01.330292,0.5,1,1.0,2.3696018512920076e-06,0.010354691415391904,100,133,COMPLETE,1.0,0.5762331838565022,0.5611660964483545,0.5656359265734265,0.5590672274182412,0.6955645161290323,0.6031468531468531,0.6460674157303371,0.42676767676767674,0.528125,0.4720670391061453,0.5523049645390071,0.5341032037982256,0.538055501304973,0.5285900486190132,0.6996805111821086,0.5801324503311258,0.6343229543808834,0.36852589641434264,0.4959785522788204,0.4228571428571429
75,75,0.5315856122720243,2023-08-24 13:21:06.113414,2023-08-24 13:21:07.497690,0 days 00:00:01.384276,0.5,1,0.6000000000000001,2.9820697453878644e-07,0.009980685856843738,100,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
76,76,0.5315856122720243,2023-08-24 13:21:06.426858,2023-08-24 13:21:07.729127,0 days 00:00:01.302269,0.5,1,0.6000000000000001,2.971101140225215e-07,0.0005723474323158685,100,193,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
77,77,0.508139173656415,2023-08-24 13:21:06.686454,2023-08-24 13:21:08.538448,0 days 00:00:01.851994,1.0,1,0.6000000000000001,2.0530802151324163e-08,0.007041968340923198,90,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
78,78,0.5429555442866802,2023-08-24 13:21:06.904406,2023-08-24 13:21:07.991455,0 days 00:00:01.087049,0.5,2,0.6000000000000001,2.5534834803435477e-07,0.0006167280313335918,100,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
