,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.599007139885334,2023-08-24 13:23:14.455643,2023-08-24 13:23:17.975816,0 days 00:00:03.520173,1.0,2,0.5,0.00489154309444761,1.2092725813999717e-08,40,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.607741695164286,2023-08-24 13:23:14.457961,2023-08-24 13:23:15.340578,0 days 00:00:00.882617,0.5,1,0.6000000000000001,0.00028780505223493423,0.02056434183890695,80,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6274986650945165,2023-08-24 13:23:14.459950,2023-08-24 13:23:15.655313,0 days 00:00:01.195363,0.8,3,1.0,0.0009479329890090026,0.9016692549020591,60,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5980015966624604,2023-08-24 13:23:14.463069,2023-08-24 13:23:16.741176,0 days 00:00:02.278107,1.0,1,0.9,1.0921259246625021e-07,5.106359778594343e-08,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6011957058563593,2023-08-24 13:23:14.468483,2023-08-24 13:23:15.927607,0 days 00:00:01.459124,0.6000000000000001,2,1.0,3.0169899429443364e-08,1.9532570589522213e-07,100,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5859919515433123,2023-08-24 13:23:14.471513,2023-08-24 13:23:18.142779,0 days 00:00:03.671266,0.9,1,0.4,0.004294880272576406,0.8664644917316788,30,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5985368797868797,2023-08-24 13:23:14.474620,2023-08-24 13:23:15.559159,0 days 00:00:01.084539,0.5,3,0.7000000000000001,0.00011785327368881087,2.2331260486502975e-07,90,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6169153461196233,2023-08-24 13:23:14.480913,2023-08-24 13:23:16.909391,0 days 00:00:02.428478,0.8,1,0.9,0.1998128372294426,1.3450102276753056e-05,50,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5836790574178561,2023-08-24 13:23:15.384554,2023-08-24 13:23:18.668771,0 days 00:00:03.284217,0.6000000000000001,1,0.6000000000000001,7.57456941169633e-05,0.09137461322091112,30,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5822927072927073,2023-08-24 13:23:15.605993,2023-08-24 13:23:18.027532,0 days 00:00:02.421539,1.0,3,0.4,6.087347019495325e-08,0.002197126201277124,60,192,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5952620585494393,2023-08-24 13:23:15.697033,2023-08-24 13:23:19.333796,0 days 00:00:03.636763,0.6000000000000001,2,0.7000000000000001,8.130592022795725e-07,5.910798803603541e-08,30,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5958693308753457,2023-08-24 13:23:15.980941,2023-08-24 13:23:17.434763,0 days 00:00:01.453822,0.7000000000000001,1,0.8,0.001219047168123688,0.06178466034088815,100,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5849200098481147,2023-08-24 13:23:16.782635,2023-08-24 13:23:20.946425,0 days 00:00:04.163790,0.9,1,0.7000000000000001,1.32755227515884e-06,2.8555739566446465e-06,30,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5903733310655668,2023-08-24 13:23:16.953021,2023-08-24 13:23:17.907814,0 days 00:00:00.954793,0.4,1,0.4,0.00012476073609646898,0.007136261646375033,50,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5962361302957789,2023-08-24 13:23:17.479005,2023-08-24 13:23:19.106787,0 days 00:00:01.627782,0.9,3,0.5,0.0001296969216038798,0.0011186883250628196,100,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6135241779497098,2023-08-24 13:23:17.956339,2023-08-24 13:23:20.458768,0 days 00:00:02.502429,0.8,2,0.9,2.0218942897882344e-07,3.8454764419774637e-07,50,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6155410567175272,2023-08-24 13:23:18.022766,2023-08-24 13:23:21.250047,0 days 00:00:03.227281,0.9,3,0.9,1.0586582557382472e-08,0.1870242854738169,20,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6130841817862485,2023-08-24 13:23:18.081390,2023-08-24 13:23:18.380455,0 days 00:00:00.299065,0.8,3,1.0,3.718888446306862e-06,0.9336713566938032,10,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.600012370113805,2023-08-24 13:23:18.187645,2023-08-24 13:23:20.226001,0 days 00:00:02.038356,0.8,3,1.0,0.7934461493781262,1.4947936711955209e-05,60,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6064347756329389,2023-08-24 13:23:18.425194,2023-08-24 13:23:20.813593,0 days 00:00:02.388399,0.8,2,0.9,0.2955390956162028,1.3467652645881005e-05,60,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6038846948429324,2023-08-24 13:23:18.714197,2023-08-24 13:23:21.918086,0 days 00:00:03.203889,0.8,2,0.9,0.2340490359712868,4.8519875181069624e-05,60,136,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.589388305122231,2023-08-24 13:23:19.149017,2023-08-24 13:23:21.470759,0 days 00:00:02.321742,0.8,2,0.9,0.4179599925212532,7.267097991107732e-05,60,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6023111495959097,2023-08-24 13:23:19.381342,2023-08-24 13:23:21.694247,0 days 00:00:02.312905,0.8,2,0.9,0.3240279163535139,2.236994673728535e-05,60,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6237971063689713,2023-08-24 13:23:20.283654,2023-08-24 13:23:22.485586,0 days 00:00:02.201932,0.8,2,0.9,0.13357500831821315,2.0669632523512833e-05,70,106,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6031268915779835,2023-08-24 13:23:20.505902,2023-08-24 13:23:22.567071,0 days 00:00:02.061169,0.7000000000000001,2,0.9,0.26976051518686245,6.256786414418653e-05,70,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5905945080760167,2023-08-24 13:23:20.858063,2023-08-24 13:23:23.166291,0 days 00:00:02.308228,0.7000000000000001,2,0.8,0.04931768525946125,0.00012615376910742564,70,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5889130291658436,2023-08-24 13:23:20.989074,2023-08-24 13:23:23.113379,0 days 00:00:02.124305,0.7000000000000001,2,0.8,0.07253846549438041,0.0002353737080800929,70,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6197246458686418,2023-08-24 13:23:21.293082,2023-08-24 13:23:22.177104,0 days 00:00:00.884022,0.7000000000000001,2,0.8,0.06542491574193082,0.00040187792730847835,70,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5987176826509475,2023-08-24 13:23:21.520487,2023-08-24 13:23:25.001758,0 days 00:00:03.481271,0.7000000000000001,3,0.8,0.0796053151592256,0.00039750481699319274,10,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6119431115655163,2023-08-24 13:23:21.735976,2023-08-24 13:23:24.538157,0 days 00:00:02.802181,0.7000000000000001,3,0.8,1.0567715526135677e-08,0.0002319166833280125,10,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6208693180717133,2023-08-24 13:23:21.958642,2023-08-24 13:23:24.920297,0 days 00:00:02.961655,0.7000000000000001,3,0.8,0.03311388047457479,0.00035528092880925203,10,90,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.626178176067475,2023-08-24 13:23:22.220622,2023-08-24 13:23:22.718453,0 days 00:00:00.497831,0.7000000000000001,3,0.8,0.0358693750327111,0.0004784990377941234,70,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.631618265993266,2023-08-24 13:23:22.535355,2023-08-24 13:23:23.291501,0 days 00:00:00.756146,0.7000000000000001,2,0.8,0.04372377426964903,0.0004939544617909057,80,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6017750688373833,2023-08-24 13:23:22.615459,2023-08-24 13:23:22.913085,0 days 00:00:00.297626,0.7000000000000001,3,0.8,0.03846261665005323,0.0002858097450130769,80,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5998693162960504,2023-08-24 13:23:22.761612,2023-08-24 13:23:24.644642,0 days 00:00:01.883030,0.7000000000000001,3,0.8,0.02443690471634032,0.0002884538976429142,80,78,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5965157154673284,2023-08-24 13:23:22.957992,2023-08-24 13:23:24.417012,0 days 00:00:01.459020,0.6000000000000001,3,0.8,0.024010858143469527,0.004036394664581988,70,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.6044335669579539,2023-08-24 13:23:23.157150,2023-08-24 13:23:24.804099,0 days 00:00:01.646949,0.6000000000000001,3,1.0,0.011518262602488968,0.005884219925102681,40,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.613659606212579,2023-08-24 13:23:23.215689,2023-08-24 13:23:24.367889,0 days 00:00:01.152200,0.6000000000000001,3,1.0,0.008411912321373685,0.005230527884958555,40,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.5978421765870948,2023-08-24 13:23:23.337367,2023-08-24 13:23:23.827975,0 days 00:00:00.490608,0.6000000000000001,3,1.0,0.01631930658622601,0.004419677631182651,90,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.60172816055169,2023-08-24 13:23:23.869945,2023-08-24 13:23:25.371337,0 days 00:00:01.501392,0.6000000000000001,3,0.8,0.006257800498891676,0.01864179363824921,80,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
