,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6516619869069156,2023-08-24 13:24:00.522637,2023-08-24 13:24:02.654811,0 days 00:00:02.132174,1.0,3,0.8,4.359084629610925e-07,7.265309738206514e-07,30,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6517969500387794,2023-08-24 13:24:00.525235,2023-08-24 13:24:02.111196,0 days 00:00:01.585961,0.6000000000000001,1,0.5,2.4663194580463873e-07,1.9314377760080655e-06,50,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6734624915521514,2023-08-24 13:24:00.527841,2023-08-24 13:24:01.693415,0 days 00:00:01.165574,0.4,1,1.0,0.00558303527928883,0.014882472630085533,90,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6540877595779979,2023-08-24 13:24:00.530661,2023-08-24 13:24:05.728866,0 days 00:00:05.198205,0.5,3,0.6000000000000001,1.1307066704241994e-08,0.002156839217322537,20,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6537298135253384,2023-08-24 13:24:00.532921,2023-08-24 13:24:02.192782,0 days 00:00:01.659861,1.0,1,1.0,2.6920695905592905e-07,8.183851963482422e-07,90,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6561472039473684,2023-08-24 13:24:00.538888,2023-08-24 13:24:04.383581,0 days 00:00:03.844693,0.7000000000000001,3,0.8,5.073480616541137e-06,0.08837543016713688,30,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6585145379841566,2023-08-24 13:24:00.541953,2023-08-24 13:24:02.876462,0 days 00:00:02.334509,0.9,3,0.9,0.01187520872998015,0.028504244989328936,70,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6523508596815956,2023-08-24 13:24:00.546888,2023-08-24 13:24:01.431518,0 days 00:00:00.884630,0.5,1,0.5,0.0003304222307758345,0.00012207280232832404,80,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.65911760632377,2023-08-24 13:24:01.473975,2023-08-24 13:24:03.409695,0 days 00:00:01.935720,0.6000000000000001,3,0.4,1.0089712077208995e-07,3.253153004420737e-05,10,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6659810102232915,2023-08-24 13:24:01.734763,2023-08-24 13:24:02.971099,0 days 00:00:01.236336,0.4,1,0.9,8.602687902067407e-07,3.10577070485036e-08,80,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6549809165193781,2023-08-24 13:24:02.155927,2023-08-24 13:24:05.145860,0 days 00:00:02.989933,1.0,2,0.7000000000000001,0.00011409820344151027,9.570254976028013e-07,70,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6786070211124001,2023-08-24 13:24:02.243403,2023-08-24 13:24:03.836235,0 days 00:00:01.592832,0.5,1,0.9,0.02505276872832036,1.0526682752341727e-06,70,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6684138562639641,2023-08-24 13:24:02.694003,2023-08-24 13:24:03.153378,0 days 00:00:00.459375,0.7000000000000001,3,0.7000000000000001,0.005398021171690567,4.826789129969543e-08,90,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6522542024242486,2023-08-24 13:24:02.919502,2023-08-24 13:24:04.652854,0 days 00:00:01.733352,1.0,2,0.8,0.03462859346092815,0.2756588013012703,100,169,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6531328062630373,2023-08-24 13:24:03.016952,2023-08-24 13:24:04.565225,0 days 00:00:01.548273,0.5,2,0.4,1.9238071315291986e-07,3.4197936740232154e-05,60,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6509970687653537,2023-08-24 13:24:03.200492,2023-08-24 13:24:05.565338,0 days 00:00:02.364846,0.8,1,0.7000000000000001,2.4620564314682817e-05,0.2781456256597326,70,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6533300605465554,2023-08-24 13:24:03.457021,2023-08-24 13:24:06.361786,0 days 00:00:02.904765,0.9,2,0.9,8.278431208309996e-07,1.953835788115591e-08,60,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6915119856296327,2023-08-24 13:24:03.878727,2023-08-24 13:24:04.130335,0 days 00:00:00.251608,0.8,2,0.7000000000000001,0.8230898246451013,0.31691410171632983,50,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6705566128229723,2023-08-24 13:24:04.179425,2023-08-24 13:24:05.374266,0 days 00:00:01.194841,0.8,2,0.7000000000000001,0.8287686750426506,0.746256965104792,50,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6715939630677262,2023-08-24 13:24:04.425874,2023-08-24 13:24:04.785736,0 days 00:00:00.359862,0.8,2,0.6000000000000001,0.8324758820547765,0.7176988996653337,50,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6635890306926933,2023-08-24 13:24:04.613376,2023-08-24 13:24:05.514197,0 days 00:00:00.900821,0.8,2,0.6000000000000001,0.8463212084348255,0.002878693538465939,50,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6772097320603634,2023-08-24 13:24:04.711187,2023-08-24 13:24:05.272181,0 days 00:00:00.560994,0.8,2,0.6000000000000001,0.33297275293280354,0.9795066496651217,50,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6601512440108526,2023-08-24 13:24:04.826904,2023-08-24 13:24:06.088084,0 days 00:00:01.261180,0.8,2,0.7000000000000001,0.3754093212806581,0.0025048183962751193,40,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6614054076236104,2023-08-24 13:24:05.200655,2023-08-24 13:24:07.130987,0 days 00:00:01.930332,0.8,2,0.6000000000000001,0.7761503856706793,0.0039120277016535,40,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6587539270657429,2023-08-24 13:24:05.318861,2023-08-24 13:24:06.890456,0 days 00:00:01.571595,0.8,1,0.9,0.13007543303516816,0.004364705919586808,40,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6589302727069279,2023-08-24 13:24:05.420071,2023-08-24 13:24:06.812260,0 days 00:00:01.392189,0.6000000000000001,1,0.9,0.04811182896993888,0.00395847776868956,30,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6641204948897256,2023-08-24 13:24:05.562338,2023-08-24 13:24:07.231980,0 days 00:00:01.669642,0.6000000000000001,1,0.9,0.08446110814398411,0.003330313401524756,30,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6476785998245677,2023-08-24 13:24:05.617615,2023-08-24 13:24:08.762696,0 days 00:00:03.145081,0.6000000000000001,1,0.9,0.11693197707525108,0.0011211564950470015,30,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6619923108838373,2023-08-24 13:24:05.775285,2023-08-24 13:24:07.444563,0 days 00:00:01.669278,0.9,2,0.9,0.15335446341084205,0.05479494355037648,40,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6585075981298895,2023-08-24 13:24:06.133690,2023-08-24 13:24:07.658972,0 days 00:00:01.525282,0.9,2,0.9,0.10720578108521499,0.8734184263488378,60,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6370528701295357,2023-08-24 13:24:06.406595,2023-08-24 13:24:07.761124,0 days 00:00:01.354529,0.6000000000000001,2,0.5,0.09863539176475028,0.07615068168342344,40,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6564559737126502,2023-08-24 13:24:06.856681,2023-08-24 13:24:08.415692,0 days 00:00:01.559011,0.9,2,0.5,0.13398632757156953,0.08537670610814278,40,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6502972460554645,2023-08-24 13:24:06.952023,2023-08-24 13:24:09.703760,0 days 00:00:02.751737,0.9,2,0.5,0.1521260849737625,0.08266053413638116,60,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6397872414071604,2023-08-24 13:24:07.173766,2023-08-24 13:24:10.204663,0 days 00:00:03.030897,0.9,2,0.5,0.14259641004598314,0.0606723507686215,60,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
