,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5333801498735045,2023-08-24 13:24:49.014781,2023-08-24 13:24:50.386404,0 days 00:00:01.371623,0.6000000000000001,2,0.4,1.072499690562359e-05,2.8171295298407596e-08,80,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5298910334021794,2023-08-24 13:24:49.015884,2023-08-24 13:24:51.874572,0 days 00:00:02.858688,0.9,3,1.0,1.3258635756774433e-08,0.0004029720158554036,50,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5265984015984015,2023-08-24 13:24:49.019602,2023-08-24 13:24:50.521346,0 days 00:00:01.501744,0.6000000000000001,2,0.9,1.2717280185460543e-08,0.0009297200952500167,70,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5366281432105623,2023-08-24 13:24:49.021983,2023-08-24 13:24:52.489977,0 days 00:00:03.467994,0.7000000000000001,3,0.9,0.019250529341713205,1.3679136146807189e-05,30,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5349950765547468,2023-08-24 13:24:49.026109,2023-08-24 13:24:53.908419,0 days 00:00:04.882310,0.7000000000000001,1,0.7000000000000001,0.00023449322515025007,0.13793917308421644,20,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5239861016697047,2023-08-24 13:24:49.031965,2023-08-24 13:24:53.457164,0 days 00:00:04.425199,0.6000000000000001,2,0.8,4.623265742479104e-05,0.00038865870481188627,20,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.4986441808814576,2023-08-24 13:24:49.033696,2023-08-24 13:24:50.681900,0 days 00:00:01.648204,0.6000000000000001,3,1.0,1.557744003731167e-08,6.332881300183172e-05,40,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5316368173429337,2023-08-24 13:24:49.036228,2023-08-24 13:24:52.294746,0 days 00:00:03.258518,0.7000000000000001,1,0.8,1.7742588955292857e-06,0.006360922993930112,40,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.542449759669213,2023-08-24 13:24:50.445082,2023-08-24 13:24:52.576643,0 days 00:00:02.131561,1.0,1,0.4,0.00018286957530096935,2.9017001743225427e-07,40,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5339218436322635,2023-08-24 13:24:50.573748,2023-08-24 13:24:51.717657,0 days 00:00:01.143909,0.5,2,1.0,0.021630519711759787,0.00972247103214011,100,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5383140097070629,2023-08-24 13:24:50.735715,2023-08-24 13:24:51.112638,0 days 00:00:00.376923,0.6000000000000001,2,0.4,0.0006071005576294368,4.999286126089121e-08,90,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5381588485036761,2023-08-24 13:24:51.166557,2023-08-24 13:24:52.231451,0 days 00:00:01.064894,0.5,1,0.8,1.2030205470799436e-05,0.00015197778727502439,90,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5207078057916126,2023-08-24 13:24:51.765678,2023-08-24 13:24:53.100029,0 days 00:00:01.334351,0.7000000000000001,1,0.9,8.655810443702945e-05,0.8576239723664183,90,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5358807858807859,2023-08-24 13:24:51.918573,2023-08-24 13:24:53.576650,0 days 00:00:01.658077,0.6000000000000001,2,0.7000000000000001,2.7624871055116083e-06,2.747888080564318e-07,70,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5352382725482667,2023-08-24 13:24:52.282221,2023-08-24 13:24:53.816003,0 days 00:00:01.533782,0.4,3,0.8,8.030911271612903e-07,1.882595122931953e-07,50,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5306227674281436,2023-08-24 13:24:52.345136,2023-08-24 13:24:53.689018,0 days 00:00:01.343882,0.5,3,0.4,5.454590878658987e-07,0.17419094776621769,80,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5254703516283897,2023-08-24 13:24:52.530250,2023-08-24 13:24:54.662593,0 days 00:00:02.132343,0.4,1,0.8,5.074653411717384e-06,0.15883160199165264,40,87,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5315003632144742,2023-08-24 13:24:52.619203,2023-08-24 13:24:56.358382,0 days 00:00:03.739179,1.0,1,0.6000000000000001,0.8218302184234123,0.9787836930449969,10,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.517537610747888,2023-08-24 13:24:53.148071,2023-08-24 13:24:55.931581,0 days 00:00:02.783510,1.0,1,0.4,0.0014640310175404953,2.640098617460056e-08,10,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.4481168632405713,2023-08-24 13:24:53.497488,2023-08-24 13:24:53.968635,0 days 00:00:00.471147,1.0,1,0.4,0.008973552335267844,2.428852043179067e-08,60,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.4436650992685475,2023-08-24 13:24:53.625604,2023-08-24 13:24:54.152209,0 days 00:00:00.526605,0.9,1,0.4,0.001985815423081362,2.1015953882636878e-08,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5068228872576699,2023-08-24 13:24:53.732898,2023-08-24 13:24:54.286892,0 days 00:00:00.553994,1.0,1,0.5,0.0013520985491989412,1.2883421255423155e-08,10,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5213924551371957,2023-08-24 13:24:53.859197,2023-08-24 13:24:54.480601,0 days 00:00:00.621404,1.0,1,0.5,0.0014412250799951784,2.205839546889978e-06,10,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.48934338260775323,2023-08-24 13:24:53.953182,2023-08-24 13:24:54.356833,0 days 00:00:00.403651,1.0,1,0.5,0.001281634732474078,2.60141994341461e-06,10,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.5302909668423337,2023-08-24 13:24:54.022367,2023-08-24 13:24:54.763369,0 days 00:00:00.741002,0.9,1,0.5,0.001043031128322075,1.6015795905151853e-06,10,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5451631701631702,2023-08-24 13:24:54.194631,2023-08-24 13:24:56.457000,0 days 00:00:02.262369,0.8,2,0.5,0.768361339386163,2.2179813877023124e-06,60,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5035302356451892,2023-08-24 13:24:54.330937,2023-08-24 13:24:56.547312,0 days 00:00:02.216375,0.8,2,0.5,0.20780716654892284,1.7046376275953453e-06,60,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5122560889874861,2023-08-24 13:24:54.409776,2023-08-24 13:24:57.085200,0 days 00:00:02.675424,0.8,2,0.5,0.06934056855727196,2.436203553628382e-07,60,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5354258552375678,2023-08-24 13:24:54.532815,2023-08-24 13:24:56.269582,0 days 00:00:01.736767,0.8,2,0.6000000000000001,0.7685722062687783,2.1232191274637037e-07,100,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.5384928951067955,2023-08-24 13:24:54.706841,2023-08-24 13:24:55.855132,0 days 00:00:01.148291,0.8,2,0.6000000000000001,0.00028499085207314077,2.244883473748212e-07,100,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5207078057916126,2023-08-24 13:24:54.808160,2023-08-24 13:24:56.100248,0 days 00:00:01.292088,0.8,2,0.6000000000000001,0.27883369595108165,2.9566484484236442e-05,100,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.548360339379984,2023-08-24 13:24:55.900596,2023-08-24 13:24:57.688457,0 days 00:00:01.787861,0.8,2,0.6000000000000001,0.6620096319754303,1.6640955492941928e-07,100,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.529687898630836,2023-08-24 13:24:55.985552,2023-08-24 13:24:57.508507,0 days 00:00:01.522955,0.8,2,0.6000000000000001,0.20250517492891473,1.5766847008440714e-07,100,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.5251300943691728,2023-08-24 13:24:56.144285,2023-08-24 13:24:57.859606,0 days 00:00:01.715321,0.8,2,0.6000000000000001,0.00019608268062932637,1.459221737408421e-07,90,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.5251300943691728,2023-08-24 13:24:56.316764,2023-08-24 13:24:58.246454,0 days 00:00:01.929690,0.8,2,0.6000000000000001,0.00026240280524064875,1.015003179251684e-07,90,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.5251300943691728,2023-08-24 13:24:56.410197,2023-08-24 13:24:58.171439,0 days 00:00:01.761242,0.8,2,0.6000000000000001,0.00019352058782356237,9.25596202659049e-08,90,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
