,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.9056858205918488,2023-08-23 23:09:26.182032,2023-08-23 23:09:27.956141,0 days 00:00:01.774109,0.5,3,0.5,0.022113771806188173,1.4750391283893206e-08,40,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.9051253584435465,2023-08-23 23:09:26.185630,2023-08-23 23:09:34.279241,0 days 00:00:08.093611,0.5,1,0.8,0.0004845439497293078,2.017237975305031e-05,50,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.9032076340686392,2023-08-23 23:09:26.188997,2023-08-23 23:09:34.402456,0 days 00:00:08.213459,0.6000000000000001,2,0.8,3.4029887174759597e-07,2.6106429105079337e-05,30,221,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.9051170878206328,2023-08-23 23:09:26.192247,2023-08-23 23:09:36.500038,0 days 00:00:10.307791,0.8,2,1.0,3.411973399709139e-06,1.8939498743764958e-06,10,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.9051333323216629,2023-08-23 23:09:26.195877,2023-08-23 23:09:30.917086,0 days 00:00:04.721209,0.9,1,0.6000000000000001,1.9858437654985186e-08,0.20676580405855197,100,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.9026368410669697,2023-08-23 23:09:26.201174,2023-08-23 23:09:30.078050,0 days 00:00:03.876876,0.8,3,0.9,0.03602966593639976,3.248776900507688e-05,40,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.9029121357397504,2023-08-23 23:09:26.206253,2023-08-23 23:09:30.147295,0 days 00:00:03.941042,1.0,2,0.6000000000000001,1.576242031461804e-08,2.4255340920380418e-05,30,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.9075789022074748,2023-08-23 23:09:26.234085,2023-08-23 23:09:31.445278,0 days 00:00:05.211193,0.5,2,0.5,0.001083059316010765,1.604849798406868e-07,30,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.9038643259340902,2023-08-23 23:09:28.015369,2023-08-23 23:09:31.586564,0 days 00:00:03.571195,0.5,2,1.0,7.809464384210234e-05,0.0003012567889439383,100,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8988363659298035,2023-08-23 23:09:30.137708,2023-08-23 23:09:34.656070,0 days 00:00:04.518362,0.5,3,0.7000000000000001,7.811417036687801e-05,0.04745328108369201,60,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.9050904939064102,2023-08-23 23:09:30.206608,2023-08-23 23:09:32.486270,0 days 00:00:02.279662,0.7000000000000001,1,0.6000000000000001,0.0009213223786270268,0.08640856523818652,100,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.9076220595371376,2023-08-23 23:09:30.972671,2023-08-23 23:09:33.813081,0 days 00:00:02.840410,0.5,2,0.5,3.330045175645436e-07,4.949395644536626e-05,50,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.9072956412383271,2023-08-23 23:09:31.502638,2023-08-23 23:09:35.335397,0 days 00:00:03.832759,0.8,3,0.6000000000000001,0.006349458853004687,4.3544889887636866e-08,10,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.9041515269629061,2023-08-23 23:09:31.636606,2023-08-23 23:09:38.198478,0 days 00:00:06.561872,0.9,3,0.5,0.9137739849197088,5.45772762509077e-07,70,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.9026113760953709,2023-08-23 23:09:32.549831,2023-08-23 23:09:37.195204,0 days 00:00:04.645373,0.7000000000000001,2,0.5,0.14897694431408748,2.0418690463691108e-05,50,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.9054228259098085,2023-08-23 23:09:33.882464,2023-08-23 23:09:39.782899,0 days 00:00:05.900435,0.9,3,1.0,4.6564156348122385e-08,8.491690171613646e-05,100,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.903841684615705,2023-08-23 23:09:34.334425,2023-08-23 23:09:39.661351,0 days 00:00:05.326926,0.5,3,0.5,0.005036544748561177,1.8253111331016254e-08,50,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.9022684510754856,2023-08-23 23:09:34.461037,2023-08-23 23:09:37.548628,0 days 00:00:03.087591,0.4,3,0.4,2.536113722405989e-06,0.002657974267019987,70,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.894527553663031,2023-08-23 23:09:34.711058,2023-08-23 23:09:35.177414,0 days 00:00:00.466356,0.4,2,0.4,2.7583753240950934e-06,1.2108005995574372e-07,70,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.9063570923993951,2023-08-23 23:09:35.224405,2023-08-23 23:09:42.003326,0 days 00:00:06.778921,0.7000000000000001,2,0.4,0.31592590649474545,5.983112297356498e-07,10,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.9032569360675512,2023-08-23 23:09:35.399451,2023-08-23 23:09:42.340068,0 days 00:00:06.940617,0.4,2,0.4,0.14993955781565546,8.52670062329995e-07,10,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.9069813784500659,2023-08-23 23:09:36.553746,2023-08-23 23:09:38.999002,0 days 00:00:02.445256,0.4,2,0.4,0.25587835756664756,6.097415618089991e-07,80,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.9013628039940297,2023-08-23 23:09:37.244336,2023-08-23 23:09:40.530938,0 days 00:00:03.286602,0.4,1,0.4,0.7204101656912517,4.2623078757267005e-07,80,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.9063527550817059,2023-08-23 23:09:37.600897,2023-08-23 23:09:42.986761,0 days 00:00:05.385864,0.6000000000000001,1,0.5,0.0021066333302874984,5.595164288100382e-07,20,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.9041698813371822,2023-08-23 23:09:38.272856,2023-08-23 23:09:43.519979,0 days 00:00:05.247123,0.6000000000000001,1,0.4,0.0008212481420680876,1.690753517085638e-06,20,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
