,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6006634987969874,2023-08-23 23:06:22.496597,2023-08-23 23:06:27.330054,0 days 00:00:04.833457,0.8,1,0.9,0.028522470530783443,1.3109183185155354e-06,20,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6038979333585737,2023-08-23 23:06:22.499367,2023-08-23 23:06:23.428915,0 days 00:00:00.929548,0.4,2,0.5,0.17511641007874137,0.03572772241759279,40,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5887525638867588,2023-08-23 23:06:22.500262,2023-08-23 23:06:26.428271,0 days 00:00:03.928009,0.5,1,0.6000000000000001,0.0055394068416659906,0.31022625285495087,20,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5901422183370877,2023-08-23 23:06:22.502122,2023-08-23 23:06:23.578745,0 days 00:00:01.076623,0.5,3,0.7000000000000001,0.0010947334100837689,0.06343605260963915,50,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6058361811295772,2023-08-23 23:06:22.504154,2023-08-23 23:06:26.151559,0 days 00:00:03.647405,0.7000000000000001,2,0.9,0.0006936726177558238,6.323580096546385e-08,10,133,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5981878939564915,2023-08-23 23:06:22.505339,2023-08-23 23:06:24.400651,0 days 00:00:01.895312,0.4,3,0.5,0.004609777706222599,6.548821164790676e-06,20,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5991709142713679,2023-08-23 23:06:22.507502,2023-08-23 23:06:25.126439,0 days 00:00:02.618937,0.8,2,1.0,4.718511005861912e-05,0.00024307833627842297,60,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.600051738942749,2023-08-23 23:06:22.509057,2023-08-23 23:06:24.068635,0 days 00:00:01.559578,1.0,1,0.9,2.117422363343481e-07,0.317934352435066,60,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6094723884318125,2023-08-23 23:06:23.474399,2023-08-23 23:06:25.062727,0 days 00:00:01.588328,0.9,1,0.8,1.9738155517366264e-05,6.79922851377494e-06,40,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5940328704737198,2023-08-23 23:06:23.644850,2023-08-23 23:06:29.533653,0 days 00:00:05.888803,0.9,1,0.9,0.017716337318457596,5.990979338714821e-07,50,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6045525579426212,2023-08-23 23:06:24.117621,2023-08-23 23:06:24.681434,0 days 00:00:00.563813,1.0,2,0.7000000000000001,0.0323458861502091,0.02287820364994242,10,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5800353568579173,2023-08-23 23:06:24.448569,2023-08-23 23:06:29.474032,0 days 00:00:05.025463,0.9,1,0.5,0.17941011628358292,0.006028775223256977,60,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5976568402565781,2023-08-23 23:06:24.742103,2023-08-23 23:06:27.879116,0 days 00:00:03.137013,0.8,1,1.0,0.0017032547925937703,6.434758608269545e-07,100,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5870436072887383,2023-08-23 23:06:25.120078,2023-08-23 23:06:29.648136,0 days 00:00:04.528058,0.4,3,0.9,0.00014259206984315717,0.0002769823635274678,40,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5919481591463484,2023-08-23 23:06:25.178817,2023-08-23 23:06:27.764462,0 days 00:00:02.585645,0.4,2,0.7000000000000001,3.9137063672413716e-08,0.0008608674180295759,70,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6042728766658456,2023-08-23 23:06:26.202604,2023-08-23 23:06:28.738064,0 days 00:00:02.535460,0.5,2,1.0,1.2458584498672272e-06,0.054214665680383085,10,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5930719254850279,2023-08-23 23:06:26.483153,2023-08-23 23:06:31.328971,0 days 00:00:04.845818,0.5,2,0.8,3.992978185339736e-06,0.00016184723837215742,30,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5983517687783402,2023-08-23 23:06:27.378036,2023-08-23 23:06:31.744593,0 days 00:00:04.366557,0.9,1,0.8,6.864074642249178e-06,1.0223743797328622e-08,100,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5920006017540976,2023-08-23 23:06:27.816491,2023-08-23 23:06:30.748828,0 days 00:00:02.932337,0.7000000000000001,1,0.9,3.0071807097290785e-05,1.3682863714091067e-08,100,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5926810552090724,2023-08-23 23:06:27.937881,2023-08-23 23:06:34.567443,0 days 00:00:06.629562,0.7000000000000001,3,0.8,3.7172281900054504e-05,1.1599451179817958e-08,40,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5882927636139849,2023-08-23 23:06:28.788934,2023-08-23 23:06:34.391681,0 days 00:00:05.602747,0.7000000000000001,3,0.8,3.6347435573983135e-05,1.2001407796402395e-08,40,245,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5847285595106079,2023-08-23 23:06:29.591820,2023-08-23 23:06:33.748696,0 days 00:00:04.156876,0.7000000000000001,3,0.8,3.383960732540118e-05,2.4011892511149545e-08,30,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5920708263489471,2023-08-23 23:06:29.617687,2023-08-23 23:06:34.182073,0 days 00:00:04.564386,0.7000000000000001,3,0.8,4.4578926717854255e-05,1.4308143509948795e-08,30,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6023656904062046,2023-08-23 23:06:29.715252,2023-08-23 23:06:33.883811,0 days 00:00:04.168559,0.7000000000000001,3,0.8,4.8426495560196476e-06,1.3535260187907702e-08,80,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6023656904062046,2023-08-23 23:06:30.813166,2023-08-23 23:06:35.467786,0 days 00:00:04.654620,0.7000000000000001,3,0.8,3.6610481615083628e-06,1.5949710158619074e-05,80,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6023656904062046,2023-08-23 23:06:31.377528,2023-08-23 23:06:35.529965,0 days 00:00:04.152437,0.7000000000000001,3,0.8,0.0002369986821746432,1.9301818675861784e-08,80,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6023656904062046,2023-08-23 23:06:31.794604,2023-08-23 23:06:35.612757,0 days 00:00:03.818153,0.7000000000000001,3,0.8,0.00011122709958120085,1.7940313606379795e-05,80,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5777686514640258,2023-08-23 23:06:33.794102,2023-08-23 23:06:36.402618,0 days 00:00:02.608516,0.6000000000000001,2,0.4,0.00011486921527399474,5.983123689862998e-06,80,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.5715510608437728,2023-08-23 23:06:33.936366,2023-08-23 23:06:34.332742,0 days 00:00:00.396376,1.0,2,0.6000000000000001,0.0006099827059629822,8.315754957892555e-06,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6035393792604296,2023-08-23 23:06:34.230008,2023-08-23 23:06:34.838136,0 days 00:00:00.608128,1.0,2,0.6000000000000001,0.0005151700390360651,1.0253611390656902e-05,10,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6032457627638981,2023-08-23 23:06:34.382904,2023-08-23 23:06:36.847359,0 days 00:00:02.464455,1.0,2,0.6000000000000001,0.0003065016694783119,2.1160771291778205e-05,10,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.5715510608437728,2023-08-23 23:06:34.448511,2023-08-23 23:06:34.956030,0 days 00:00:00.507519,1.0,2,0.6000000000000001,0.00047315914257971725,1.9214775547305724e-05,10,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
