,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6503836189717018,2023-08-23 23:07:28.486183,2023-08-23 23:07:31.308962,0 days 00:00:02.822779,0.8,1,0.9,0.5665900521395749,0.014746489134868401,50,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6391626627123361,2023-08-23 23:07:28.488523,2023-08-23 23:07:32.224078,0 days 00:00:03.735555,0.4,2,0.7000000000000001,0.005199342114594238,0.015861499723117598,40,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6448379983893879,2023-08-23 23:07:28.491215,2023-08-23 23:07:34.174367,0 days 00:00:05.683152,1.0,2,0.5,1.1383565855054694e-06,4.7248869396248134e-06,50,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6541767542936222,2023-08-23 23:07:28.498345,2023-08-23 23:07:32.388275,0 days 00:00:03.889930,0.6000000000000001,2,0.6000000000000001,3.5199107319122787e-06,0.2723233989312893,60,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6586044979233513,2023-08-23 23:07:28.502970,2023-08-23 23:07:30.335447,0 days 00:00:01.832477,1.0,1,0.6000000000000001,0.23252270713374562,0.1343758627214541,20,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6537411798751209,2023-08-23 23:07:28.504253,2023-08-23 23:07:31.382160,0 days 00:00:02.877907,0.7000000000000001,3,0.9,0.0005342676151901527,0.8204866384701828,50,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6763975655066011,2023-08-23 23:07:28.505239,2023-08-23 23:07:28.933240,0 days 00:00:00.428001,0.5,3,0.8,3.202228652590893e-07,0.00013286254073764919,50,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6485798280815105,2023-08-23 23:07:28.508377,2023-08-23 23:07:30.802329,0 days 00:00:02.293952,0.4,1,0.8,4.6556678680035215e-08,0.0002814131724790832,10,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6508104529476406,2023-08-23 23:07:28.985119,2023-08-23 23:07:33.167664,0 days 00:00:04.182545,0.9,2,1.0,2.2984842822135245e-07,8.909750565149404e-06,100,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6519197149511952,2023-08-23 23:07:30.382987,2023-08-23 23:07:34.309929,0 days 00:00:03.926942,0.9,2,1.0,3.667281013844985e-05,2.830766485158213e-07,90,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6405479984548368,2023-08-23 23:07:30.847726,2023-08-23 23:07:35.533566,0 days 00:00:04.685840,1.0,1,0.4,0.0001694786433778157,0.8250833678730496,70,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6577422485511181,2023-08-23 23:07:31.371996,2023-08-23 23:07:34.683210,0 days 00:00:03.311214,0.5,1,0.8,0.18241242014910847,0.006657685606942325,100,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6331038468740255,2023-08-23 23:07:31.435532,2023-08-23 23:07:36.835169,0 days 00:00:05.399637,0.5,2,0.4,8.072445471023421e-08,1.3828323553487807e-07,30,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6539188667516493,2023-08-23 23:07:32.268618,2023-08-23 23:07:33.828067,0 days 00:00:01.559449,0.4,3,0.4,1.738216902568902e-07,0.7957567132042938,40,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6686433902696647,2023-08-23 23:07:32.434433,2023-08-23 23:07:33.094152,0 days 00:00:00.659719,0.4,3,1.0,1.984394840939974e-06,1.0214828655467197e-05,30,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6501427664974619,2023-08-23 23:07:33.146602,2023-08-23 23:07:38.067804,0 days 00:00:04.921202,0.8,2,0.5,0.0005811151526450873,9.681910094435876e-08,40,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6407266940971561,2023-08-23 23:07:33.218301,2023-08-23 23:07:37.420180,0 days 00:00:04.201879,0.9,2,0.5,7.641554180161352e-07,0.000106167842211623,80,151,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6467989985850247,2023-08-23 23:07:33.874173,2023-08-23 23:07:37.322826,0 days 00:00:03.448653,0.6000000000000001,3,0.4,1.0079796730051083e-08,3.266932950002821e-08,80,163,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6466968293247566,2023-08-23 23:07:34.243909,2023-08-23 23:07:34.616120,0 days 00:00:00.372211,0.6000000000000001,3,1.0,1.5051803341109387e-05,8.380014946904773e-08,80,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6617254349890875,2023-08-23 23:07:34.378481,2023-08-23 23:07:34.804064,0 days 00:00:00.425583,0.6000000000000001,3,0.8,2.069608594300934e-08,1.2508511012150268e-08,70,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
