,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5677178049832206,2023-08-23 23:08:29.259570,2023-08-23 23:08:34.111070,0 days 00:00:04.851500,0.6000000000000001,1,0.6000000000000001,0.007042719005134134,2.3305568305498318e-05,40,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.588093570396683,2023-08-23 23:08:29.261992,2023-08-23 23:08:31.815235,0 days 00:00:02.553243,0.5,3,0.8,4.759875603077226e-06,8.729645433866545e-08,100,189,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5823039923306925,2023-08-23 23:08:29.264125,2023-08-23 23:08:32.004192,0 days 00:00:02.740067,0.4,1,0.7000000000000001,1.4767184168383856e-07,0.0002661166582728299,40,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6176604553344742,2023-08-23 23:08:29.267787,2023-08-23 23:08:29.720940,0 days 00:00:00.453153,0.4,2,0.9,0.002157467604243135,0.0003095855231202986,30,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5759537514061012,2023-08-23 23:08:29.271945,2023-08-23 23:08:34.965051,0 days 00:00:05.693106,1.0,2,1.0,0.3408653094558445,0.002285642600149298,40,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.587637327647611,2023-08-23 23:08:29.276288,2023-08-23 23:08:31.349464,0 days 00:00:02.073176,0.4,1,0.4,0.10435094216677777,1.7404602657375694e-07,90,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5824498887802931,2023-08-23 23:08:29.280741,2023-08-23 23:08:33.927343,0 days 00:00:04.646602,0.9,2,0.5,0.5710656809532852,7.069524216101465e-06,100,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6127776926460575,2023-08-23 23:08:29.284129,2023-08-23 23:08:29.507270,0 days 00:00:00.223141,0.4,2,0.7000000000000001,2.481465372631134e-07,0.013891475849593663,50,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5790313982257338,2023-08-23 23:08:29.558620,2023-08-23 23:08:31.002397,0 days 00:00:01.443777,0.4,2,0.8,0.02268694462592535,3.554385585378884e-08,40,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5889192608513936,2023-08-23 23:08:29.770313,2023-08-23 23:08:33.611492,0 days 00:00:03.841179,0.9,3,0.5,4.2196209763609775e-07,2.5383445981478716e-07,100,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5853465470445142,2023-08-23 23:08:31.056467,2023-08-23 23:08:34.467460,0 days 00:00:03.410993,0.4,3,0.7000000000000001,0.20647732173070962,0.06459149718670416,80,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
