,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7118623290486702,2023-08-23 23:11:49.688203,2023-08-23 23:11:53.797478,0 days 00:00:04.109275,0.4,3,0.7000000000000001,0.20211093646680647,3.236766570650679e-05,40,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7042939187711306,2023-08-23 23:11:49.690712,2023-08-23 23:11:54.276671,0 days 00:00:04.585959,1.0,3,0.9,0.005620644398776187,0.04980527107307932,80,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7091770810736542,2023-08-23 23:11:49.693067,2023-08-23 23:11:52.518956,0 days 00:00:02.825889,0.7000000000000001,1,0.6000000000000001,7.131755187370569e-08,0.0004066052724952662,90,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7061635756071966,2023-08-23 23:11:49.696897,2023-08-23 23:11:53.286136,0 days 00:00:03.589239,0.7000000000000001,3,0.8,2.057344989954326e-06,0.03801297406365742,80,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7038431316215883,2023-08-23 23:11:49.702181,2023-08-23 23:11:52.982027,0 days 00:00:03.279846,0.7000000000000001,3,0.8,3.332294691899648e-06,1.4642202076885952e-05,80,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7043979046258204,2023-08-23 23:11:49.711244,2023-08-23 23:11:55.181783,0 days 00:00:05.470539,0.9,1,0.7000000000000001,0.018636790889307427,3.6379572309441126e-07,40,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7008784290959935,2023-08-23 23:11:49.712431,2023-08-23 23:11:53.855947,0 days 00:00:04.143516,0.6000000000000001,3,0.8,1.652858866241461e-06,4.1991176766246834e-08,50,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7117351951932945,2023-08-23 23:11:49.722527,2023-08-23 23:11:52.057810,0 days 00:00:02.335283,0.5,3,0.8,4.2812416356513746e-08,0.009205642530547472,20,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7017206534553415,2023-08-23 23:11:52.110903,2023-08-23 23:11:56.617116,0 days 00:00:04.506213,0.4,2,1.0,0.043028382430730414,0.1121907998606744,40,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7050016563002844,2023-08-23 23:11:52.560353,2023-08-23 23:11:56.345254,0 days 00:00:03.784901,0.5,3,0.6000000000000001,1.4399551220054214e-07,0.500307940297356,60,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.707369375091158,2023-08-23 23:11:53.047873,2023-08-23 23:11:56.836003,0 days 00:00:03.788130,0.4,3,0.8,0.01881953012494955,0.03085797636157479,10,128,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7111853740540066,2023-08-23 23:11:53.338674,2023-08-23 23:11:57.005116,0 days 00:00:03.666442,0.9,1,0.7000000000000001,0.058278599346313936,0.11005889287754851,100,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7061989966783767,2023-08-23 23:11:53.849909,2023-08-23 23:11:55.669990,0 days 00:00:01.820081,0.4,3,1.0,3.1183225803631705e-06,6.933211253276529e-07,10,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7048888469195229,2023-08-23 23:11:53.909199,2023-08-23 23:11:59.681598,0 days 00:00:05.772399,0.8,1,0.6000000000000001,0.0048221494450578425,1.8554715200736337e-06,50,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7262973852679991,2023-08-23 23:11:54.324956,2023-08-23 23:11:55.432481,0 days 00:00:01.107525,0.4,3,0.8,4.3651806503427764e-07,0.038089293254383316,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6911930853839567,2023-08-23 23:11:55.226884,2023-08-23 23:11:59.289216,0 days 00:00:04.062332,0.5,2,0.4,0.9164579038598671,1.7745834828247552e-08,30,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6972896163944072,2023-08-23 23:11:55.476336,2023-08-23 23:12:01.161419,0 days 00:00:05.685083,0.9,3,0.4,4.064753939554622e-05,1.1169233841310713e-07,60,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7087951575427468,2023-08-23 23:11:55.712372,2023-08-23 23:11:56.015529,0 days 00:00:00.303157,0.5,2,0.4,0.0002186472910685453,0.2867074088508098,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7203004120519829,2023-08-23 23:11:56.066720,2023-08-23 23:11:56.703204,0 days 00:00:00.636484,0.4,2,0.6000000000000001,0.834638035278787,0.0006828635124924588,60,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7139172687153336,2023-08-23 23:11:56.398518,2023-08-23 23:11:56.955425,0 days 00:00:00.556907,0.4,2,0.6000000000000001,0.10130802474493154,0.0008597376842510974,30,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
