,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8845684054926674,2023-08-23 23:12:47.271272,2023-08-23 23:12:50.323079,0 days 00:00:03.051807,0.5,1,1.0,2.912654235544033e-06,1.0801619141115896e-08,50,117,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8761191772314117,2023-08-23 23:12:47.273745,2023-08-23 23:12:52.538335,0 days 00:00:05.264590,0.9,1,1.0,0.1235900050046788,5.564144507225637e-07,20,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8789484351361371,2023-08-23 23:12:47.275978,2023-08-23 23:12:50.270950,0 days 00:00:02.994972,0.8,2,0.8,0.001017024766016433,5.924361833950089e-07,100,164,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8829887532057725,2023-08-23 23:12:47.278272,2023-08-23 23:12:50.430221,0 days 00:00:03.151949,0.8,1,1.0,0.0005212389308738721,0.028375610890765617,90,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8830226139749179,2023-08-23 23:12:47.283396,2023-08-23 23:12:49.709521,0 days 00:00:02.426125,0.9,3,0.5,1.8199224920107059e-06,0.025324870161574725,30,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8758192743195166,2023-08-23 23:12:47.289400,2023-08-23 23:12:51.341453,0 days 00:00:04.052053,0.6000000000000001,1,0.4,6.855851934520122e-07,0.5546797885658798,30,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8814569330346029,2023-08-23 23:12:47.294793,2023-08-23 23:12:51.240273,0 days 00:00:03.945480,1.0,1,0.7000000000000001,2.7824433326752545e-08,4.106383451843731e-06,90,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8817787177149803,2023-08-23 23:12:47.297525,2023-08-23 23:12:51.061787,0 days 00:00:03.764262,0.8,1,0.7000000000000001,5.9304290303721864e-05,0.007436826599643547,30,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8726736448889063,2023-08-23 23:12:49.758606,2023-08-23 23:12:52.410522,0 days 00:00:02.651916,0.6000000000000001,3,1.0,6.046698799654639e-07,5.826707431347619e-08,30,95,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8773951099598238,2023-08-23 23:12:50.316854,2023-08-23 23:12:54.309042,0 days 00:00:03.992188,0.6000000000000001,3,0.5,0.00017598249472383857,0.000943519737532295,60,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.8842665014860904,2023-08-23 23:12:50.379652,2023-08-23 23:12:52.929141,0 days 00:00:02.549489,0.4,2,0.6000000000000001,0.0009755617763073199,2.9537237636917296e-06,60,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.8811345168519875,2023-08-23 23:12:50.474023,2023-08-23 23:12:51.721241,0 days 00:00:01.247218,0.8,3,0.9,2.5904154782927074e-07,1.086289172317389e-06,80,36,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.8770673218137928,2023-08-23 23:12:51.106871,2023-08-23 23:12:55.456404,0 days 00:00:04.349533,0.9,3,0.9,0.0006221092030058992,1.3307917537987154e-08,70,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8808370546957623,2023-08-23 23:12:51.292588,2023-08-23 23:12:56.972292,0 days 00:00:05.679704,0.7000000000000001,1,0.5,0.07721093046670256,4.872402757093239e-07,10,222,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.8836261246213009,2023-08-23 23:12:51.386928,2023-08-23 23:12:52.460482,0 days 00:00:01.073554,0.7000000000000001,2,0.7000000000000001,0.0061803891521363015,6.857115285543527e-08,70,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.880534809804425,2023-08-23 23:12:51.764149,2023-08-23 23:12:54.240911,0 days 00:00:02.476762,0.6000000000000001,3,0.5,0.09706999401582363,0.13490328724377415,90,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.882360024726051,2023-08-23 23:12:52.456707,2023-08-23 23:12:54.672158,0 days 00:00:02.215451,0.5,2,0.4,0.014351812897167318,3.378245960128316e-08,90,88,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.8814724239426015,2023-08-23 23:12:52.513494,2023-08-23 23:12:54.991298,0 days 00:00:02.477804,0.4,2,0.5,0.9067856266288375,1.6014256211417186e-08,50,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.8814528291097954,2023-08-23 23:12:52.606063,2023-08-23 23:12:53.819970,0 days 00:00:01.213907,0.4,2,0.6000000000000001,0.0655217444220761,2.4754617196480892e-08,60,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.8814796147737473,2023-08-23 23:12:52.973785,2023-08-23 23:12:55.725139,0 days 00:00:02.751354,0.4,2,0.5,1.553309128434299e-05,3.820717652726926e-05,60,242,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.8793145432811134,2023-08-23 23:12:53.863566,2023-08-23 23:12:56.240471,0 days 00:00:02.376905,0.4,2,0.5,5.192416585456841e-05,2.1184171285295354e-05,50,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.8836303800152003,2023-08-23 23:12:54.287234,2023-08-23 23:12:58.041400,0 days 00:00:03.754166,0.4,2,0.8,2.2684756129824004e-05,4.232508333300411e-05,50,249,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.8827087239937346,2023-08-23 23:12:54.361893,2023-08-23 23:12:56.844553,0 days 00:00:02.482660,0.4,2,0.8,2.1391974266505093e-05,1.905334241656671e-05,50,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.882103406274938,2023-08-23 23:12:54.716184,2023-08-23 23:12:56.735913,0 days 00:00:02.019729,0.4,2,0.8,3.861668496761325e-05,2.7795352170999947e-05,50,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.8829933055247099,2023-08-23 23:12:55.037647,2023-08-23 23:12:57.217413,0 days 00:00:02.179766,0.5,1,0.8,1.7093959375469543e-05,0.00011261767663039957,50,66,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.8833204963628585,2023-08-23 23:12:55.502280,2023-08-23 23:12:58.195194,0 days 00:00:02.692914,0.5,2,0.8,1.3364959470329216e-05,1.4805341136465354e-05,50,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.8814354880437594,2023-08-23 23:12:55.771536,2023-08-23 23:12:58.247261,0 days 00:00:02.475725,0.5,1,0.8,1.164394253268613e-05,1.820940048580837e-05,50,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.8752301998922654,2023-08-23 23:12:56.284828,2023-08-23 23:13:00.165435,0 days 00:00:03.880607,0.5,1,0.8,8.874759598179117e-06,0.00031625247756766347,40,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.8826879625537636,2023-08-23 23:12:56.785112,2023-08-23 23:13:00.416823,0 days 00:00:03.631711,0.5,2,0.6000000000000001,0.003957860016012258,1.336959814134743e-07,70,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.8789808248372902,2023-08-23 23:12:56.890596,2023-08-23 23:13:00.019449,0 days 00:00:03.128853,0.5,1,0.6000000000000001,0.0025570286358892413,8.426597614267712e-08,70,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.8867801583516726,2023-08-23 23:12:57.018627,2023-08-23 23:12:57.615356,0 days 00:00:00.596729,0.5,2,0.6000000000000001,0.005961618747631487,1.393872112359319e-07,70,9,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.8870903571935542,2023-08-23 23:12:57.264770,2023-08-23 23:12:57.676228,0 days 00:00:00.411458,0.5,2,0.6000000000000001,0.008765310205516465,1.2178929214478735e-07,70,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.8783532772042488,2023-08-23 23:12:57.659228,2023-08-23 23:13:01.520151,0 days 00:00:03.860923,0.5,1,0.6000000000000001,4.510914139369947e-06,1.325163061923143e-07,70,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.8858427368310521,2023-08-23 23:12:57.725024,2023-08-23 23:12:58.602066,0 days 00:00:00.877042,0.5,1,0.6000000000000001,0.0038018978866164355,1.3926216417666667e-07,70,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.8842741537526588,2023-08-23 23:12:58.103373,2023-08-23 23:12:58.745923,0 days 00:00:00.642550,0.5,1,0.6000000000000001,0.003309551536696327,1.1552622628311173e-07,70,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.8874072869950035,2023-08-23 23:12:58.242252,2023-08-23 23:12:59.018714,0 days 00:00:00.776462,0.5,1,0.6000000000000001,0.0051347147591199824,1.5378652507907407e-07,70,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.8842741537526588,2023-08-23 23:12:58.304063,2023-08-23 23:12:58.869952,0 days 00:00:00.565889,0.5,1,0.6000000000000001,0.004097110845882319,2.021689388271433e-07,70,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.8805105510611844,2023-08-23 23:12:58.646349,2023-08-23 23:12:59.100613,0 days 00:00:00.454264,0.6000000000000001,1,0.6000000000000001,0.004166799457628202,1.3793811640965613e-07,70,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
