,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6302232215923029,2023-08-23 22:32:01.498642,2023-08-23 22:32:02.711100,0 days 00:00:01.212458,0.9,2,0.8,6.067517202406638e-07,0.05940443070817943,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6214932470599122,2023-08-23 22:32:01.501364,2023-08-23 22:32:06.378659,0 days 00:00:04.877295,0.7000000000000001,2,0.5,6.022695012945147e-08,9.66732021613651e-08,10,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.625174689654374,2023-08-23 22:32:01.503547,2023-08-23 22:32:07.113221,0 days 00:00:05.609674,0.7000000000000001,1,0.6000000000000001,0.0013964958759705797,0.4614532369258391,30,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.634741055955456,2023-08-23 22:32:01.505961,2023-08-23 22:32:02.449575,0 days 00:00:00.943614,0.5,2,0.4,5.599781512300632e-07,1.4070294237028398e-08,60,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6311618381106707,2023-08-23 22:32:01.512342,2023-08-23 22:32:04.592485,0 days 00:00:03.080143,0.9,3,0.6000000000000001,1.222934896597388e-07,1.9754913974369974e-06,20,118,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6345354980489254,2023-08-23 22:32:01.518063,2023-08-23 22:32:05.250837,0 days 00:00:03.732774,1.0,3,0.7000000000000001,0.00036092259483626495,4.021460452649588e-06,50,134,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6252278169999689,2023-08-23 22:32:01.534648,2023-08-23 22:32:05.344208,0 days 00:00:03.809560,0.7000000000000001,3,0.7000000000000001,0.003823032327120498,1.4746939045171213e-07,10,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6173095322517153,2023-08-23 22:32:01.543232,2023-08-23 22:32:05.467586,0 days 00:00:03.924354,0.4,1,0.9,0.001318887060710411,1.1754370092511861e-08,10,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6198271071029933,2023-08-23 22:32:02.497327,2023-08-23 22:32:06.817861,0 days 00:00:04.320534,0.5,1,0.4,0.04775043135071812,3.1568183030448906e-08,30,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.630715431295044,2023-08-23 22:32:02.764362,2023-08-23 22:32:05.743414,0 days 00:00:02.979052,0.4,3,0.6000000000000001,1.1142926055638625e-07,4.7675654273927e-08,20,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6295462215717776,2023-08-23 22:32:04.642659,2023-08-23 22:32:10.144945,0 days 00:00:05.502286,0.6000000000000001,2,0.6000000000000001,0.00029570824717993233,0.0002720966177661978,10,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6147284010656846,2023-08-23 22:32:05.304881,2023-08-23 22:32:08.377741,0 days 00:00:03.072860,0.5,3,0.4,0.0016188794749895051,5.302952791383791e-07,70,139,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6142797225703889,2023-08-23 22:32:05.389995,2023-08-23 22:32:10.233119,0 days 00:00:04.843124,0.5,2,1.0,0.002707041075362727,6.323812165742757e-05,10,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6268883779350403,2023-08-23 22:32:05.515475,2023-08-23 22:32:08.786458,0 days 00:00:03.270983,0.6000000000000001,2,0.4,1.0485065231539714e-07,2.3140297373300575e-08,50,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6327814563101135,2023-08-23 22:32:05.790893,2023-08-23 22:32:12.823325,0 days 00:00:07.032432,0.7000000000000001,3,1.0,0.01730483335782221,4.5554835639302015e-05,30,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6214772827752351,2023-08-23 22:32:06.434822,2023-08-23 22:32:12.462656,0 days 00:00:06.027834,0.8,1,0.6000000000000001,1.0270601190602549e-07,4.312872076177808e-06,40,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6157974777260571,2023-08-23 22:32:06.862861,2023-08-23 22:32:09.542603,0 days 00:00:02.679742,0.4,1,0.7000000000000001,1.0479083129951847e-08,4.895645158523355e-06,80,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6350620150474862,2023-08-23 22:32:07.163129,2023-08-23 22:32:08.099036,0 days 00:00:00.935907,0.5,2,0.4,7.99613579065182e-06,0.00020117880514355205,90,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5990217572599558,2023-08-23 22:32:08.147259,2023-08-23 22:32:08.516978,0 days 00:00:00.369719,0.5,2,0.4,6.504227260837204e-06,0.0004293078927635573,100,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.59052337823205,2023-08-23 22:32:08.435795,2023-08-23 22:32:08.859582,0 days 00:00:00.423787,0.6000000000000001,2,0.4,7.700000939654324e-06,4.529029311954008e-05,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6196674869810241,2023-08-23 22:32:08.577931,2023-08-23 22:32:11.457049,0 days 00:00:02.879118,0.6000000000000001,2,1.0,2.3369703282953713e-05,5.8956595236180945e-05,100,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6336427066819725,2023-08-23 22:32:08.833690,2023-08-23 22:32:10.911312,0 days 00:00:02.077622,0.6000000000000001,2,0.5,6.751585009285573e-06,2.1639259469991026e-05,100,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6320801993320093,2023-08-23 22:32:08.909833,2023-08-23 22:32:11.336793,0 days 00:00:02.426960,0.6000000000000001,2,1.0,2.1689210140725132e-05,0.0003269579979758504,80,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6236580010444506,2023-08-23 22:32:09.591844,2023-08-23 22:32:12.175541,0 days 00:00:02.583697,0.6000000000000001,2,1.0,1.972059780762426e-05,0.00033910063644254667,80,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6248815733647357,2023-08-23 22:32:10.191515,2023-08-23 22:32:12.907834,0 days 00:00:02.716319,0.8,2,0.5,1.4055978326670654e-05,0.0016136657939794152,80,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.62114799238237,2023-08-23 22:32:10.277359,2023-08-23 22:32:12.063372,0 days 00:00:01.786013,0.8,2,0.5,1.4581516643537952e-05,0.002059145102106857,80,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6226582370523777,2023-08-23 22:32:10.958849,2023-08-23 22:32:14.089550,0 days 00:00:03.130701,0.8,1,0.5,3.5453695166990616e-05,0.0013100758366644386,80,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6255998804907349,2023-08-23 22:32:11.386566,2023-08-23 22:32:14.381438,0 days 00:00:02.994872,0.8,1,0.5,7.391410889670125e-07,0.0026978795582073677,80,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6321065163516206,2023-08-23 22:32:11.505820,2023-08-23 22:32:13.160643,0 days 00:00:01.654823,0.8,3,0.8,1.3284571326282988e-06,6.398045081217472e-07,50,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6260314321312821,2023-08-23 22:32:12.106703,2023-08-23 22:32:13.737816,0 days 00:00:01.631113,1.0,3,0.8,1.5630990964891675e-06,5.479891237628096e-07,50,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
