,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6919260724594407,2023-08-23 22:33:19.433896,2023-08-23 22:33:21.131013,0 days 00:00:01.697117,0.4,1,0.4,0.010507978057196747,0.10209586665104653,50,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6969297353318079,2023-08-23 22:33:19.436504,2023-08-23 22:33:25.565007,0 days 00:00:06.128503,0.7000000000000001,3,0.9,0.00012232913101376718,3.475142657168342e-05,50,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6993960922518464,2023-08-23 22:33:19.441845,2023-08-23 22:33:20.570197,0 days 00:00:01.128352,1.0,2,0.4,1.8439432275860207e-08,1.333326706546534e-07,80,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6969949803197002,2023-08-23 22:33:19.448974,2023-08-23 22:33:19.926281,0 days 00:00:00.477307,0.7000000000000001,3,0.9,0.0007770690635988015,3.7532739794261955e-07,20,4,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6943613920263256,2023-08-23 22:33:19.454966,2023-08-23 22:33:22.042474,0 days 00:00:02.587508,1.0,3,0.9,2.006550994113163e-08,0.0073222087596182105,80,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.691402338454691,2023-08-23 22:33:19.459787,2023-08-23 22:33:23.057309,0 days 00:00:03.597522,0.6000000000000001,3,0.7000000000000001,1.6657201191820884e-08,0.0013764899462155268,70,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6942840380533939,2023-08-23 22:33:19.463493,2023-08-23 22:33:23.000649,0 days 00:00:03.537156,0.5,3,1.0,0.0010101704818371304,0.00011325103633330423,60,166,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.688170220178264,2023-08-23 22:33:19.473510,2023-08-23 22:33:25.011555,0 days 00:00:05.538045,0.8,2,0.4,5.325579555848488e-05,0.00016359977794821396,20,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6916704930152924,2023-08-23 22:33:19.990927,2023-08-23 22:33:26.197512,0 days 00:00:06.206585,1.0,3,0.8,0.00040234832639691456,3.424211663569378e-05,30,241,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6972542181959374,2023-08-23 22:33:20.628904,2023-08-23 22:33:22.102917,0 days 00:00:01.474013,0.6000000000000001,1,0.4,2.3240834753556342e-05,2.016171454367566e-06,30,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6872034704827965,2023-08-23 22:33:21.178799,2023-08-23 22:33:23.970492,0 days 00:00:02.791693,0.8,2,1.0,0.24274954160505102,3.0629475494126596e-07,80,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6894924665473066,2023-08-23 22:33:22.097098,2023-08-23 22:33:26.511080,0 days 00:00:04.413982,0.9,1,0.7000000000000001,1.2964557928656682e-06,0.0006103625158061997,70,168,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6958486225038764,2023-08-23 22:33:22.157825,2023-08-23 22:33:24.078920,0 days 00:00:01.921095,0.9,3,0.8,0.0030800629922685652,0.13745124476258164,20,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6921052209346932,2023-08-23 22:33:23.053950,2023-08-23 22:33:24.580479,0 days 00:00:01.526529,0.4,2,0.8,0.041338810816338244,3.5053535496436865e-06,40,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6954646821635939,2023-08-23 22:33:23.111862,2023-08-23 22:33:27.629406,0 days 00:00:04.517544,0.9,2,0.8,1.2151985877069016e-05,3.925679528761723e-08,80,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6948164126699538,2023-08-23 22:33:24.020768,2023-08-23 22:33:27.961142,0 days 00:00:03.940374,0.7000000000000001,2,0.9,7.853543382431578e-07,3.1853389615969004e-07,10,122,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6858332243305814,2023-08-23 22:33:24.129220,2023-08-23 22:33:27.798968,0 days 00:00:03.669748,0.8,3,0.5,0.24175769158813407,0.00929692232326831,100,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6842067583046965,2023-08-23 22:33:24.630509,2023-08-23 22:33:28.814296,0 days 00:00:04.183787,1.0,2,0.5,1.557942502122587e-06,1.240412132347758e-08,100,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6851235163278716,2023-08-23 22:33:25.061028,2023-08-23 22:33:27.681708,0 days 00:00:02.620680,0.6000000000000001,1,0.5,3.949960035523569e-06,3.7282960501784916e-08,100,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6943613920263256,2023-08-23 22:33:25.611299,2023-08-23 22:33:29.323232,0 days 00:00:03.711933,1.0,1,0.5,1.701483086868301e-06,1.025928424583916e-08,40,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6851235163278716,2023-08-23 22:33:26.244513,2023-08-23 22:33:29.158900,0 days 00:00:02.914387,0.6000000000000001,1,0.5,1.1798564297135267e-06,2.171112208437356e-08,100,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6865333707060326,2023-08-23 22:33:26.562520,2023-08-23 22:33:29.593970,0 days 00:00:03.031450,0.6000000000000001,1,0.5,4.956884071439471e-06,1.540898982202158e-08,100,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6665853283807355,2023-08-23 22:33:27.732428,2023-08-23 22:33:28.196434,0 days 00:00:00.464006,0.6000000000000001,1,0.5,2.905928988210244e-07,1.0356986604893158e-08,100,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
