,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6127162977867203,2023-08-23 22:34:22.956196,2023-08-23 22:34:26.807878,0 days 00:00:03.851682,0.9,1,0.4,0.00022752512850772954,0.008740185769911165,100,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6205907480039676,2023-08-23 22:34:22.958596,2023-08-23 22:34:25.064565,0 days 00:00:02.105969,0.4,2,0.4,2.0654952936868107e-08,5.43060772090192e-07,90,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6341341990078218,2023-08-23 22:34:22.961024,2023-08-23 22:34:24.136099,0 days 00:00:01.175075,0.7000000000000001,1,0.5,0.00012357845624787764,0.062109479504780844,90,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6206875629119908,2023-08-23 22:34:22.965603,2023-08-23 22:34:25.174180,0 days 00:00:02.208577,0.4,1,1.0,0.00012499380332854426,4.2837053394738756e-08,90,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6197921856317258,2023-08-23 22:34:22.972170,2023-08-23 22:34:25.387492,0 days 00:00:02.415322,0.8,3,0.9,0.01363933564605096,8.412965656442058e-05,30,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6282202652902809,2023-08-23 22:34:22.973645,2023-08-23 22:34:23.841233,0 days 00:00:00.867588,0.5,2,0.9,1.908006205177354e-08,0.0013830023668269114,20,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6402066296263469,2023-08-23 22:34:22.984794,2023-08-23 22:34:23.456782,0 days 00:00:00.471988,1.0,3,0.4,1.7983580703523505e-07,0.016001149031830825,30,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6398488921332249,2023-08-23 22:34:22.995691,2023-08-23 22:34:23.781453,0 days 00:00:00.785762,1.0,3,0.8,0.0002862725132088797,0.01948434369902736,80,19,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6280677305259189,2023-08-23 22:34:23.518833,2023-08-23 22:34:25.637278,0 days 00:00:02.118445,0.4,2,0.9,7.698232043284855e-07,6.364533740653191e-07,100,101,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.618109178158528,2023-08-23 22:34:23.833142,2023-08-23 22:34:27.102467,0 days 00:00:03.269325,0.4,3,0.8,0.005596307323471156,4.545322139310705e-07,60,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6233340775101497,2023-08-23 22:34:23.889003,2023-08-23 22:34:27.000606,0 days 00:00:03.111603,1.0,3,0.9,5.420783009602844e-05,0.008486098038071817,10,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6170730303789081,2023-08-23 22:34:24.180440,2023-08-23 22:34:27.384305,0 days 00:00:03.203865,0.5,1,0.9,0.00032142923768454964,4.0514365365823127e-07,80,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6288215381360416,2023-08-23 22:34:25.110697,2023-08-23 22:34:27.567048,0 days 00:00:02.456351,0.5,1,0.5,0.43700622546187023,0.045977224923046046,100,99,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6096656672304321,2023-08-23 22:34:25.221661,2023-08-23 22:34:30.276759,0 days 00:00:05.055098,0.6000000000000001,1,0.9,4.20133020000275e-06,1.0328864740057351e-07,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6404098958383461,2023-08-23 22:34:25.443847,2023-08-23 22:34:26.572551,0 days 00:00:01.128704,0.5,3,0.8,0.0004954446095801744,5.5516312859671724e-08,60,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6119781457489375,2023-08-23 22:34:25.685577,2023-08-23 22:34:32.162563,0 days 00:00:06.476986,0.8,1,0.4,2.8891241445539104e-07,0.23362817910259137,60,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6271297262731514,2023-08-23 22:34:26.622046,2023-08-23 22:34:28.665685,0 days 00:00:02.043639,1.0,2,0.7000000000000001,0.002247624981084872,0.0003309897865134914,80,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6190113804379955,2023-08-23 22:34:26.852439,2023-08-23 22:34:31.071917,0 days 00:00:04.219478,0.6000000000000001,3,0.6000000000000001,0.8965437349932829,2.197740102069346e-08,60,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6212175854871684,2023-08-23 22:34:27.048775,2023-08-23 22:34:32.225859,0 days 00:00:05.177084,0.6000000000000001,3,0.6000000000000001,0.12515694087881973,0.2753519035217922,50,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6150200334539231,2023-08-23 22:34:27.167068,2023-08-23 22:34:31.593599,0 days 00:00:04.426531,0.6000000000000001,3,0.6000000000000001,0.5146249569567842,0.3633133220198681,50,186,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6231862608636412,2023-08-23 22:34:27.429319,2023-08-23 22:34:27.818124,0 days 00:00:00.388805,0.6000000000000001,3,0.6000000000000001,0.21448750789666735,0.5121682110731626,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6220592360089522,2023-08-23 22:34:27.616788,2023-08-23 22:34:27.999089,0 days 00:00:00.382301,0.7000000000000001,3,0.6000000000000001,1.8505634563864678e-06,0.7622375790442449,40,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.6212029960518473,2023-08-23 22:34:27.866215,2023-08-23 22:34:29.810966,0 days 00:00:01.944751,0.7000000000000001,3,0.7000000000000001,3.71141723454509e-06,0.0002675276082966634,50,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6359289906440573,2023-08-23 22:34:28.049777,2023-08-23 22:34:29.714855,0 days 00:00:01.665078,0.8,2,0.7000000000000001,4.3244207220440856e-06,1.2382310687723569e-08,60,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.638313335405355,2023-08-23 22:34:28.710804,2023-08-23 22:34:30.488916,0 days 00:00:01.778112,0.8,3,0.7000000000000001,8.685758190337967e-06,1.6855304783864742e-05,60,43,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6119274334080159,2023-08-23 22:34:29.763094,2023-08-23 22:34:34.735916,0 days 00:00:04.972822,0.6000000000000001,3,0.6000000000000001,1.7988844312676202e-07,1.9845630415953148e-05,50,190,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6239721236987502,2023-08-23 22:34:29.877307,2023-08-23 22:34:35.361381,0 days 00:00:05.484074,0.6000000000000001,3,0.6000000000000001,1.0614539326236935e-07,2.1051973040083504e-05,50,204,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.613027744270205,2023-08-23 22:34:30.328712,2023-08-23 22:34:36.929979,0 days 00:00:06.601267,0.9,3,0.6000000000000001,3.141671235596113e-07,1.0327476834858344e-05,10,248,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6275738794407004,2023-08-23 22:34:30.541267,2023-08-23 22:34:31.840692,0 days 00:00:01.299425,0.9,3,0.8,1.9917092501707536e-07,6.498165582994688e-06,70,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6380387731744126,2023-08-23 22:34:31.118187,2023-08-23 22:34:33.110804,0 days 00:00:01.992617,0.9,3,0.8,0.0009410560151603915,1.012093965012827e-05,70,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.6332105972998072,2023-08-23 22:34:31.644486,2023-08-23 22:34:32.941674,0 days 00:00:01.297188,0.9,3,0.8,0.001044681282554154,5.636410688040192e-06,70,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6336980604299305,2023-08-23 22:34:31.889455,2023-08-23 22:34:33.269428,0 days 00:00:01.379973,0.9,2,0.8,2.003561835954028e-05,0.002045392243783285,70,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6349690679174569,2023-08-23 22:34:32.211178,2023-08-23 22:34:33.897621,0 days 00:00:01.686443,0.9,3,0.8,2.3688677471868925e-05,0.0022259702773600766,70,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6362722664273793,2023-08-23 22:34:32.278764,2023-08-23 22:34:33.953733,0 days 00:00:01.674969,0.9,2,0.8,3.2220145663615826e-05,0.0025693486672716203,70,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6264099118435705,2023-08-23 22:34:32.988652,2023-08-23 22:34:35.431195,0 days 00:00:02.442543,1.0,2,0.8,2.0595793134532828e-05,0.003824650116149819,30,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6157556426401166,2023-08-23 22:34:33.155938,2023-08-23 22:34:35.598291,0 days 00:00:02.442353,1.0,2,1.0,4.953595791356962e-05,0.005032515973941479,30,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.621420394806423,2023-08-23 22:34:33.315616,2023-08-23 22:34:36.043396,0 days 00:00:02.727780,1.0,2,1.0,3.528398092855048e-05,0.007720088591448134,30,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
37,37,0.6251332346395675,2023-08-23 22:34:33.949270,2023-08-23 22:34:37.357916,0 days 00:00:03.408646,1.0,2,1.0,0.0005016548491154306,0.01191737263129502,30,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
38,38,0.6275378097035085,2023-08-23 22:34:34.029503,2023-08-23 22:34:36.331069,0 days 00:00:02.301566,1.0,3,0.7000000000000001,0.00045570713537227726,0.02265066307378485,40,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
39,39,0.6403788500812078,2023-08-23 22:34:34.781607,2023-08-23 22:34:37.252584,0 days 00:00:02.470977,1.0,3,0.7000000000000001,0.00034445948327403893,0.01690898765934313,30,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
40,40,0.6428918393782384,2023-08-23 22:34:35.414571,2023-08-23 22:34:36.377257,0 days 00:00:00.962686,1.0,3,0.7000000000000001,0.0003924732869874118,0.01600097507991461,30,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
