,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7327330123201888,2023-08-23 22:41:02.109376,2023-08-23 22:41:05.796885,0 days 00:00:03.687509,0.6000000000000001,2,0.7000000000000001,5.729284620604097e-06,0.00014194411782185784,70,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7251354567133388,2023-08-23 22:41:02.111898,2023-08-23 22:41:07.299277,0 days 00:00:05.187379,0.8,2,1.0,0.10448633774082942,0.04867137691801086,50,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7285155308778087,2023-08-23 22:41:02.116217,2023-08-23 22:41:05.965788,0 days 00:00:03.849571,0.5,3,1.0,0.0004690524391245338,0.3003079336366499,40,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7295923896682521,2023-08-23 22:41:02.122978,2023-08-23 22:41:04.441380,0 days 00:00:02.318402,1.0,2,0.4,0.0012847889138317937,0.9977406035075501,90,81,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7293507417385771,2023-08-23 22:41:02.129698,2023-08-23 22:41:06.873019,0 days 00:00:04.743321,0.7000000000000001,2,0.8,0.42372239252819227,0.0018391823165431493,30,171,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7249880433507494,2023-08-23 22:41:02.131293,2023-08-23 22:41:05.636935,0 days 00:00:03.505642,0.6000000000000001,3,0.4,5.666029332959265e-05,0.12831877879829806,20,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7277946306094454,2023-08-23 22:41:02.132397,2023-08-23 22:41:03.028550,0 days 00:00:00.896153,1.0,3,0.4,0.057429721006251336,3.6123657765457017e-07,10,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7337208585569193,2023-08-23 22:41:02.134228,2023-08-23 22:41:05.572341,0 days 00:00:03.438113,0.7000000000000001,3,0.5,5.047554993343685e-08,7.855159089289904e-05,80,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7219034513744327,2023-08-23 22:41:03.076874,2023-08-23 22:41:07.359115,0 days 00:00:04.282241,0.7000000000000001,2,0.4,0.0002524303642965385,9.974058359516335e-07,60,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7285090097004815,2023-08-23 22:41:04.485535,2023-08-23 22:41:09.231050,0 days 00:00:04.745515,0.5,2,0.5,3.6302486791580074e-05,1.8992971208248154e-06,40,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
