,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.892658403492467,2023-08-23 22:42:51.108558,2023-08-23 22:42:51.737040,0 days 00:00:00.628482,1.0,1,1.0,0.39373237762235114,3.04452789392551e-08,60,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.88764235899222,2023-08-23 22:42:51.111318,2023-08-23 22:42:55.410929,0 days 00:00:04.299611,0.8,1,0.6000000000000001,4.7037108258103326e-07,8.14724663681309e-06,50,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8908060174935939,2023-08-23 22:42:51.115872,2023-08-23 22:42:56.194628,0 days 00:00:05.078756,0.7000000000000001,2,0.6000000000000001,6.064104760065371e-07,0.05167875038302901,10,162,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8891668423394936,2023-08-23 22:42:51.120747,2023-08-23 22:42:52.535648,0 days 00:00:01.414901,0.4,2,0.4,0.008612531595071105,8.236262692994538e-08,70,52,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8895628687884697,2023-08-23 22:42:51.125634,2023-08-23 22:42:55.026346,0 days 00:00:03.900712,0.9,2,0.7000000000000001,0.6623235996723621,0.08152735728506215,90,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8914399871660028,2023-08-23 22:42:51.130319,2023-08-23 22:42:53.152535,0 days 00:00:02.022216,0.5,2,0.7000000000000001,0.085752899469645,0.0012001870023871538,70,59,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8923906043823384,2023-08-23 22:42:51.144152,2023-08-23 22:42:55.136253,0 days 00:00:03.992101,0.9,2,0.9,0.14468189398316458,0.021672313200308272,100,160,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8942981866108282,2023-08-23 22:42:51.148858,2023-08-23 22:42:53.530146,0 days 00:00:02.381288,0.5,3,0.7000000000000001,0.0001398384008855344,0.07838794879273646,70,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8927533166633121,2023-08-23 22:42:51.785005,2023-08-23 22:42:56.734756,0 days 00:00:04.949751,0.9,3,0.7000000000000001,0.0001337319451192259,2.3721639417899985e-05,10,148,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.886951560276938,2023-08-23 22:42:52.587604,2023-08-23 22:42:56.496682,0 days 00:00:03.909078,0.9,2,0.4,0.001316777963188303,0.00046332001759642185,80,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
