,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6334066928418995,2023-08-23 22:44:17.396937,2023-08-23 22:44:19.226246,0 days 00:00:01.829309,0.5,3,0.5,0.004929460798910826,0.00036559973841064435,80,65,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6362213282699378,2023-08-23 22:44:17.399984,2023-08-23 22:44:20.460878,0 days 00:00:03.060894,0.8,2,0.7000000000000001,0.23464845350229477,0.010372496293722418,20,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6473666403299057,2023-08-23 22:44:17.401446,2023-08-23 22:44:18.456031,0 days 00:00:01.054585,0.8,2,0.6000000000000001,1.2295210268914354e-08,1.5888386855404375e-07,50,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6375320296905702,2023-08-23 22:44:17.403169,2023-08-23 22:44:22.262740,0 days 00:00:04.859571,0.8,2,0.9,1.2182352155961225e-07,6.903580369761202e-08,70,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6307262020177744,2023-08-23 22:44:17.410760,2023-08-23 22:44:23.096936,0 days 00:00:05.686176,0.6000000000000001,1,1.0,0.03161510334325352,1.286585225433718e-07,50,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6266770108891413,2023-08-23 22:44:17.412958,2023-08-23 22:44:23.582910,0 days 00:00:06.169952,0.8,2,1.0,1.3057820464184593e-07,1.5472084716669916e-08,20,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.624018488419401,2023-08-23 22:44:17.414235,2023-08-23 22:44:20.333412,0 days 00:00:02.919177,0.5,3,1.0,6.271069668423392e-07,0.00034111941148675783,70,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6393412139623055,2023-08-23 22:44:17.415577,2023-08-23 22:44:20.279702,0 days 00:00:02.864125,0.9,1,0.9,4.4217071971974037e-07,3.588704472036185e-06,40,105,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6372141334742119,2023-08-23 22:44:18.506087,2023-08-23 22:44:23.527967,0 days 00:00:05.021880,0.9,2,0.7000000000000001,0.010969969834498355,1.296126760782787e-07,50,191,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6339888200276567,2023-08-23 22:44:19.274157,2023-08-23 22:44:21.947621,0 days 00:00:02.673464,1.0,1,1.0,0.006318189455544191,0.0012349466217013146,10,94,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6274991247520131,2023-08-23 22:44:20.326985,2023-08-23 22:44:23.889823,0 days 00:00:03.562838,0.5,1,0.7000000000000001,0.0025135274460609484,0.00023912333474464422,20,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6325645780247147,2023-08-23 22:44:20.393153,2023-08-23 22:44:25.842221,0 days 00:00:05.449068,0.9,3,0.6000000000000001,4.7197416858550063e-08,0.3595348341344441,50,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6352786586656856,2023-08-23 22:44:20.505206,2023-08-23 22:44:27.025588,0 days 00:00:06.520382,0.9,3,0.9,6.512716747944862e-05,3.3418225292941e-08,50,232,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6317495739140467,2023-08-23 22:44:21.993879,2023-08-23 22:44:25.245912,0 days 00:00:03.252033,0.8,3,0.4,2.843098125860068e-08,4.933443791324445e-06,90,116,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6335771746757333,2023-08-23 22:44:22.316211,2023-08-23 22:44:25.742878,0 days 00:00:03.426667,1.0,1,0.4,8.782442513346867e-07,1.0494176165174817e-08,100,130,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6340030596812924,2023-08-23 22:44:23.156474,2023-08-23 22:44:26.554559,0 days 00:00:03.398085,0.6000000000000001,2,1.0,8.324037927775816e-06,7.476327837546535e-08,20,92,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6417824967950152,2023-08-23 22:44:23.576018,2023-08-23 22:44:26.146893,0 days 00:00:02.570875,0.6000000000000001,1,0.7000000000000001,1.1016648574322923e-05,7.30525060921967e-05,70,76,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6355701316713449,2023-08-23 22:44:23.634012,2023-08-23 22:44:24.365826,0 days 00:00:00.731814,0.4,3,0.4,1.348657068713249e-08,8.031107351485763e-06,100,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.649865370956443,2023-08-23 22:44:23.943481,2023-08-23 22:44:24.541734,0 days 00:00:00.598253,1.0,1,0.5,1.2007021489035315e-08,3.4843580517558118e-06,40,14,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6455269306264262,2023-08-23 22:44:24.409428,2023-08-23 22:44:25.930792,0 days 00:00:01.521364,1.0,1,0.8,6.745126619299135e-06,4.594331774595557e-06,40,28,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6502053261973215,2023-08-23 22:44:24.588561,2023-08-23 22:44:24.828117,0 days 00:00:00.239556,1.0,1,0.5,5.793112743591641e-06,0.6506890837249129,40,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.6550079390684405,2023-08-23 22:44:24.874460,2023-08-23 22:44:25.447591,0 days 00:00:00.573131,1.0,1,0.4,1.5601591223813852e-05,0.3827966099915098,30,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
