,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.8083466189119173,2023-08-23 22:45:12.942222,2023-08-23 22:45:19.287206,0 days 00:00:06.344984,1.0,3,0.7000000000000001,9.119207313003518e-05,0.05022787777054513,20,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8080234303221316,2023-08-23 22:45:12.943479,2023-08-23 22:45:16.808378,0 days 00:00:03.864899,0.7000000000000001,2,0.6000000000000001,0.020900621546832695,5.426817469765929e-08,60,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8098995997677703,2023-08-23 22:45:12.945021,2023-08-23 22:45:18.382844,0 days 00:00:05.437823,0.6000000000000001,3,0.7000000000000001,9.70026295891605e-08,0.23690579636071477,30,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.8056785547333212,2023-08-23 22:45:12.946357,2023-08-23 22:45:15.433505,0 days 00:00:02.487148,0.7000000000000001,2,0.4,0.11833264127739403,9.730831828743578e-07,100,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.8054945330053762,2023-08-23 22:45:12.948327,2023-08-23 22:45:17.015616,0 days 00:00:04.067289,0.9,3,0.9,0.23685692992433993,2.577262990325594e-05,50,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8080612672264216,2023-08-23 22:45:12.949816,2023-08-23 22:45:16.865749,0 days 00:00:03.915933,0.9,3,1.0,0.0008708843314014162,1.1303155430223575e-07,30,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.812928281060002,2023-08-23 22:45:12.950611,2023-08-23 22:45:14.576851,0 days 00:00:01.626240,0.7000000000000001,3,0.7000000000000001,2.010304084765775e-07,2.4306499576318994e-05,60,55,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.8053227426891516,2023-08-23 22:45:12.951408,2023-08-23 22:45:18.487791,0 days 00:00:05.536383,0.9,2,0.9,0.003507605082224359,0.01339728265207914,80,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8130609243861804,2023-08-23 22:45:14.625639,2023-08-23 22:45:16.935572,0 days 00:00:02.309933,0.8,2,0.6000000000000001,0.0015333643722811375,0.048578661804346085,10,74,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8171474472253988,2023-08-23 22:45:15.485465,2023-08-23 22:45:17.329407,0 days 00:00:01.843942,0.8,3,0.6000000000000001,0.0022533012030405424,4.717668899108825e-07,50,47,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
