,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7739949500412492,2023-08-23 23:14:25.743560,2023-08-23 23:14:29.598964,0 days 00:00:03.855404,1.0,1,0.4,3.6026331670707744e-08,0.10478980357861588,10,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7851135691235067,2023-08-23 23:14:25.746135,2023-08-23 23:14:27.443260,0 days 00:00:01.697125,0.8,3,0.9,7.109860725697482e-05,8.314342282906267e-08,70,64,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7719831803308146,2023-08-23 23:14:25.748421,2023-08-23 23:14:31.386349,0 days 00:00:05.637928,0.5,3,0.8,1.4864908581963346e-07,0.32209136629433555,30,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7728219550251261,2023-08-23 23:14:25.754307,2023-08-23 23:14:31.844558,0 days 00:00:06.090251,0.7000000000000001,1,0.6000000000000001,0.006605528059149991,0.010398725833622354,10,239,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7757725205833026,2023-08-23 23:14:25.757940,2023-08-23 23:14:30.410216,0 days 00:00:04.652276,0.9,2,1.0,5.595090726626715e-06,5.024192141537725e-08,70,203,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7846791959851702,2023-08-23 23:14:25.763150,2023-08-23 23:14:27.945508,0 days 00:00:02.182358,1.0,3,0.6000000000000001,0.009030311706584249,0.4008427332460639,10,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7668815056780555,2023-08-23 23:14:25.769164,2023-08-23 23:14:30.813127,0 days 00:00:05.043963,0.4,1,0.4,0.0005967865656830583,0.0015105499337403658,20,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7822574745469304,2023-08-23 23:14:25.775203,2023-08-23 23:14:28.535694,0 days 00:00:02.760491,0.6000000000000001,3,0.9,2.8066127202328107e-06,0.0004857612816216608,60,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7775173447148298,2023-08-23 23:14:27.494228,2023-08-23 23:14:31.104581,0 days 00:00:03.610353,0.7000000000000001,2,0.6000000000000001,0.017474411132987654,4.777437775512451e-05,20,138,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.789353768377741,2023-08-23 23:14:27.988955,2023-08-23 23:14:28.655406,0 days 00:00:00.666451,0.5,3,0.7000000000000001,3.0139109030631185e-07,0.0009365244758826562,70,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
