,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6964621329853532,2023-08-23 23:40:58.335046,2023-08-23 23:41:05.334277,0 days 00:00:06.999231,1.0,3,0.7000000000000001,0.03171655729605693,0.04058325127238532,20,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7006502784824891,2023-08-23 23:40:58.337156,2023-08-23 23:41:00.685170,0 days 00:00:02.348014,0.9,1,0.4,1.5201453094915205e-05,0.022050912445354887,30,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6979950649788162,2023-08-23 23:40:58.339257,2023-08-23 23:41:00.921916,0 days 00:00:02.582659,0.7000000000000001,1,0.9,5.166326535230132e-06,3.301422148361484e-05,90,53,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.698442282565469,2023-08-23 23:40:58.341021,2023-08-23 23:41:00.847989,0 days 00:00:02.506968,0.4,1,0.4,7.296289616818774e-05,1.1826895443352653e-06,80,145,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6939664465145235,2023-08-23 23:40:58.343218,2023-08-23 23:41:03.155944,0 days 00:00:04.812726,0.7000000000000001,2,1.0,0.00032026034423453834,0.00027301028537948433,60,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6888010186724209,2023-08-23 23:40:58.345077,2023-08-23 23:41:04.239131,0 days 00:00:05.894054,0.7000000000000001,3,0.6000000000000001,0.22912617967039578,0.00010253846621790063,60,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6971065551190538,2023-08-23 23:40:58.347062,2023-08-23 23:41:03.902440,0 days 00:00:05.555378,0.9,2,0.6000000000000001,1.6971477528209013e-05,3.2792694794785167e-07,60,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6863847231567282,2023-08-23 23:40:58.348386,2023-08-23 23:41:01.577578,0 days 00:00:03.229192,0.8,3,0.5,1.1251798682437173e-06,1.6654004347241394e-07,70,72,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6860662247223452,2023-08-23 23:41:00.727823,2023-08-23 23:41:01.972792,0 days 00:00:01.244969,0.6000000000000001,3,0.5,0.05647506452530466,9.785726625434038e-07,50,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7005888124468442,2023-08-23 23:41:00.900076,2023-08-23 23:41:06.382381,0 days 00:00:05.482305,0.7000000000000001,1,0.6000000000000001,5.485031873736524e-08,0.23453479228588117,40,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6993889624415062,2023-08-23 23:41:00.978377,2023-08-23 23:41:08.810255,0 days 00:00:07.831878,0.9,3,0.7000000000000001,0.0014301287911816663,1.0162177590016028e-08,40,199,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6995494852823398,2023-08-23 23:41:01.625287,2023-08-23 23:41:07.132315,0 days 00:00:05.507028,0.7000000000000001,2,0.9,0.004845771318567168,0.04353616070057261,90,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7096376751359988,2023-08-23 23:41:02.033218,2023-08-23 23:41:07.983769,0 days 00:00:05.950551,1.0,3,1.0,0.0771818230730974,3.93957660053421e-07,100,231,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6901419180706108,2023-08-23 23:41:03.222773,2023-08-23 23:41:11.025066,0 days 00:00:07.802293,0.5,2,1.0,0.04047053584592742,1.9698899901519782e-08,30,207,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7003874695407968,2023-08-23 23:41:03.964023,2023-08-23 23:41:11.146741,0 days 00:00:07.182718,0.9,3,0.4,0.2500170963510058,6.626633777344058e-05,10,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.698442282565469,2023-08-23 23:41:04.306976,2023-08-23 23:41:06.798994,0 days 00:00:02.492018,0.4,1,0.4,2.3118449593309364e-06,1.0308316815301104e-05,80,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6785684540420494,2023-08-23 23:41:05.389811,2023-08-23 23:41:10.666324,0 days 00:00:05.276513,0.4,2,0.5,0.003966707018021056,2.7164256005760323e-08,10,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6648943654697885,2023-08-23 23:41:06.428145,2023-08-23 23:41:07.387233,0 days 00:00:00.959088,1.0,1,0.8,5.6273566432247595e-08,0.010283644298461214,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6989472801812471,2023-08-23 23:41:06.855737,2023-08-23 23:41:15.289659,0 days 00:00:08.433922,1.0,1,0.8,1.1582800183412014e-08,0.9713773308976875,30,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7051653827536979,2023-08-23 23:41:07.181595,2023-08-23 23:41:15.591594,0 days 00:00:08.409999,1.0,1,0.7000000000000001,1.6368398302172257e-08,0.5722981495397581,30,226,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6950705331860354,2023-08-23 23:41:07.445389,2023-08-23 23:41:15.760085,0 days 00:00:08.314696,0.9,1,0.6000000000000001,1.8133220363975485e-08,0.6888471011948738,30,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7001844375190553,2023-08-23 23:41:08.029758,2023-08-23 23:41:18.587588,0 days 00:00:10.557830,0.9,2,1.0,0.7742411455136345,2.1327301540962386e-08,30,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7058310266883645,2023-08-23 23:41:08.870457,2023-08-23 23:41:14.622296,0 days 00:00:05.751839,0.9,2,1.0,0.5587499482106407,0.0017783674753354367,100,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.6993960922518464,2023-08-23 23:41:10.730547,2023-08-23 23:41:16.377827,0 days 00:00:05.647280,0.9,2,1.0,0.5985770139369812,0.0003880638558130235,100,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7035887201093987,2023-08-23 23:41:11.080892,2023-08-23 23:41:15.226616,0 days 00:00:04.145724,0.9,2,0.8,0.42933539966297574,0.001007783138161299,100,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.7035167451360831,2023-08-23 23:41:11.209701,2023-08-23 23:41:15.886529,0 days 00:00:04.676828,1.0,2,0.8,0.6176514023836407,0.0011160282295397527,30,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.6972024229887448,2023-08-23 23:41:14.676571,2023-08-23 23:41:20.590257,0 days 00:00:05.913686,1.0,2,0.9,0.40364849630070443,0.00026061665749210007,100,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
