,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.550464474441823,2023-08-23 23:37:58.172885,2023-08-23 23:37:59.122826,0 days 00:00:00.949941,0.9,1,0.5,0.4444185388077972,4.7267416052809626e-07,100,31,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5394902354080993,2023-08-23 23:37:58.175312,2023-08-23 23:38:01.787288,0 days 00:00:03.611976,0.7000000000000001,3,0.8,4.462555072344143e-05,0.00022529696869597691,70,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5429112742788145,2023-08-23 23:37:58.177444,2023-08-23 23:38:01.410378,0 days 00:00:03.232934,0.8,3,0.9,0.06887101442387582,0.00036468027331015764,70,111,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5470560298906987,2023-08-23 23:37:58.180051,2023-08-23 23:37:59.617293,0 days 00:00:01.437242,0.5,1,0.9,3.7109834808439666e-06,3.111152676602661e-06,40,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5332689285795268,2023-08-23 23:37:58.183455,2023-08-23 23:38:02.671768,0 days 00:00:04.488313,0.8,2,0.9,8.97714972393824e-08,1.3073301437408885e-08,30,175,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5423844658698784,2023-08-23 23:37:58.188407,2023-08-23 23:38:02.839875,0 days 00:00:04.651468,0.8,3,0.8,0.0014447558939960975,0.0010151147492890123,40,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5479959645277003,2023-08-23 23:37:58.191642,2023-08-23 23:37:59.547544,0 days 00:00:01.355902,0.6000000000000001,3,0.6000000000000001,1.4185062600691058e-08,1.288011240550333e-07,50,49,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5435690240274482,2023-08-23 23:37:58.197759,2023-08-23 23:37:58.971270,0 days 00:00:00.773511,0.4,2,0.5,1.6826724918822864e-08,0.6762111538820177,40,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5400023347211953,2023-08-23 23:37:59.017906,2023-08-23 23:38:03.141132,0 days 00:00:04.123226,1.0,3,0.8,3.8537024413437445e-06,9.584448646917768e-05,100,218,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.538072721073686,2023-08-23 23:37:59.169719,2023-08-23 23:38:05.798758,0 days 00:00:06.629039,0.5,3,1.0,9.906320202849675e-07,0.0003986976594878855,30,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
