,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5440594790913262,2023-08-23 23:38:53.090845,2023-08-23 23:38:58.422398,0 days 00:00:05.331553,0.9,2,0.9,1.747543861388452e-08,2.851278843158508e-08,70,234,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5392623025690559,2023-08-23 23:38:53.091769,2023-08-23 23:38:54.905279,0 days 00:00:01.813510,1.0,1,0.9,0.0032320899625438372,0.5936852432393249,90,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5451867291485987,2023-08-23 23:38:53.094238,2023-08-23 23:38:56.298067,0 days 00:00:03.203829,0.7000000000000001,2,0.9,2.5324166563454407e-06,1.659841853044337e-06,90,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5409644325824172,2023-08-23 23:38:53.094891,2023-08-23 23:38:54.115299,0 days 00:00:01.020408,0.7000000000000001,1,0.7000000000000001,5.834156849146135e-06,2.7570057414918057e-05,80,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5425613201380441,2023-08-23 23:38:53.095738,2023-08-23 23:38:58.218584,0 days 00:00:05.122846,0.7000000000000001,3,0.9,2.217806218632414e-08,0.0005459154306925841,40,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5409970936731501,2023-08-23 23:38:53.097070,2023-08-23 23:38:56.204061,0 days 00:00:03.106991,0.9,2,0.5,0.0009054200356741859,0.010889962816984343,40,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5426075572538003,2023-08-23 23:38:53.098170,2023-08-23 23:38:58.907868,0 days 00:00:05.809698,0.7000000000000001,1,1.0,4.842316258849692e-08,0.29067005246621463,40,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5445749535114285,2023-08-23 23:38:53.098898,2023-08-23 23:38:57.100619,0 days 00:00:04.001721,0.8,2,0.6000000000000001,6.61200787395586e-07,9.476945577096529e-06,60,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5298908305101634,2023-08-23 23:38:54.160479,2023-08-23 23:38:55.629010,0 days 00:00:01.468531,1.0,1,0.4,3.3114514933829004e-05,1.6072154883605712e-08,40,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5261799345535646,2023-08-23 23:38:54.962768,2023-08-23 23:38:58.341217,0 days 00:00:03.378449,0.9,1,0.7000000000000001,2.6647593271639617e-06,1.2709945360915356e-07,20,127,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
