,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5539366188420342,2023-08-23 23:39:49.354613,2023-08-23 23:39:50.466320,0 days 00:00:01.111707,0.9,3,0.8,0.020308587653615054,4.551558229192762e-06,70,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5427817821346027,2023-08-23 23:39:49.357008,2023-08-23 23:39:52.353318,0 days 00:00:02.996310,0.6000000000000001,2,0.4,5.921039490860335e-07,0.0017200970709099496,30,121,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5442613494637067,2023-08-23 23:39:49.359205,2023-08-23 23:39:52.656850,0 days 00:00:03.297645,0.7000000000000001,3,0.8,0.023491893771765884,1.0649086074521824e-08,80,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5513148962444694,2023-08-23 23:39:49.361966,2023-08-23 23:39:51.040931,0 days 00:00:01.678965,0.4,3,0.6000000000000001,3.2897485018072804e-05,0.3884824307954837,90,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5358478161979598,2023-08-23 23:39:49.367041,2023-08-23 23:39:54.649610,0 days 00:00:05.282569,1.0,3,0.4,2.639156684381334e-08,0.018242825967774462,20,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5437470749874519,2023-08-23 23:39:49.373274,2023-08-23 23:39:50.514725,0 days 00:00:01.141451,0.5,3,0.7000000000000001,2.792085098636795e-07,6.053176462623809e-06,70,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.544087642320378,2023-08-23 23:39:49.377686,2023-08-23 23:39:52.931888,0 days 00:00:03.554202,1.0,1,0.7000000000000001,1.1695759442802677e-06,0.01350075855778059,60,152,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5400684614510872,2023-08-23 23:39:49.380691,2023-08-23 23:39:51.544167,0 days 00:00:02.163476,0.6000000000000001,2,0.6000000000000001,4.106171296208374e-07,1.0790799003193483e-06,70,79,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5514359131312676,2023-08-23 23:39:50.560442,2023-08-23 23:39:51.648443,0 days 00:00:01.088001,0.4,1,0.5,0.0021394336274349374,0.002958352461481588,50,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5397206041131055,2023-08-23 23:39:50.564451,2023-08-23 23:39:54.074692,0 days 00:00:03.510241,0.6000000000000001,1,1.0,0.002371600298293231,0.5604613394600707,40,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5437983091206338,2023-08-23 23:39:51.085183,2023-08-23 23:39:53.451287,0 days 00:00:02.366104,0.5,1,0.7000000000000001,0.0018631913249021594,0.00017590693130321164,10,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5528784181784246,2023-08-23 23:39:51.590331,2023-08-23 23:39:54.304592,0 days 00:00:02.714261,0.9,1,0.8,0.0001728661412113695,0.00023233106441999542,20,97,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5543567347395078,2023-08-23 23:39:51.694835,2023-08-23 23:39:53.748866,0 days 00:00:02.054031,1.0,3,0.5,3.340227537919801e-07,0.06808507882210425,20,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.5432783574934494,2023-08-23 23:39:52.402750,2023-08-23 23:39:54.991268,0 days 00:00:02.588518,0.5,2,0.8,0.03382943216875191,2.759376140802512e-07,90,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5353689040241114,2023-08-23 23:39:52.704452,2023-08-23 23:39:56.199539,0 days 00:00:03.495087,0.9,1,0.4,0.21709131690082425,1.7610094298986682e-06,60,141,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5400917386457877,2023-08-23 23:39:52.972379,2023-08-23 23:39:58.179814,0 days 00:00:05.207435,0.9,2,0.7000000000000001,1.9217219634842935e-08,0.03974461750346947,50,208,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.5365735895135566,2023-08-23 23:39:53.500273,2023-08-23 23:39:57.270557,0 days 00:00:03.770284,0.7000000000000001,2,0.9,8.49636254085153e-06,1.849585350939561e-08,80,170,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5496860595253903,2023-08-23 23:39:53.816310,2023-08-23 23:40:00.234650,0 days 00:00:06.418340,0.8,2,1.0,2.452569744020885e-08,0.8756130434646734,10,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.549925534765776,2023-08-23 23:39:54.132003,2023-08-23 23:39:54.707432,0 days 00:00:00.575429,1.0,3,0.9,0.8858776219468162,1.2863734395610866e-05,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5500156289072268,2023-08-23 23:39:54.384515,2023-08-23 23:39:55.107342,0 days 00:00:00.722827,0.9,3,1.0,0.7499228441606367,1.138739302902004e-06,100,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.5274651008890221,2023-08-23 23:39:54.694956,2023-08-23 23:39:55.231209,0 days 00:00:00.536253,0.8,2,0.9,0.6333650903232673,1.109721682870489e-05,50,2,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5459420479465709,2023-08-23 23:39:54.800779,2023-08-23 23:39:56.252486,0 days 00:00:01.451707,0.8,2,0.5,1.0651906234128142e-08,0.08351311363645646,100,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5566560940666716,2023-08-23 23:39:55.035651,2023-08-23 23:39:56.614854,0 days 00:00:01.579203,0.8,3,0.5,1.0833677371235479e-05,2.3576742610861234e-05,50,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.5511961379404947,2023-08-23 23:39:55.161448,2023-08-23 23:39:56.942769,0 days 00:00:01.781321,0.8,2,0.5,1.2127018967711985e-05,4.3937185440099626e-05,50,50,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
