,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5573381414089379,2023-08-23 23:44:03.212512,2023-08-23 23:44:05.394730,0 days 00:00:02.182218,0.9,2,0.4,0.10243169094586677,0.00949097713691327,90,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5617605393603791,2023-08-23 23:44:03.214215,2023-08-23 23:44:06.533929,0 days 00:00:03.319714,0.7000000000000001,2,0.6000000000000001,0.0036464912634931053,0.03282389186475216,50,126,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5563274681708517,2023-08-23 23:44:03.215391,2023-08-23 23:44:05.480045,0 days 00:00:02.264654,0.4,1,0.6000000000000001,1.3054237315916324e-07,0.05301974106137918,60,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5559814018544574,2023-08-23 23:44:03.216894,2023-08-23 23:44:08.011111,0 days 00:00:04.794217,0.4,3,0.5,6.327942814271317e-05,1.5891447201353052e-06,30,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5631059445636137,2023-08-23 23:44:03.219002,2023-08-23 23:44:05.615696,0 days 00:00:02.396694,0.7000000000000001,3,0.5,0.9174330463605721,1.760594965525582e-05,80,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5588859574531073,2023-08-23 23:44:03.219962,2023-08-23 23:44:07.172625,0 days 00:00:03.952663,0.8,3,0.9,8.157242212197355e-05,8.605894075282041e-08,80,240,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5585516716324003,2023-08-23 23:44:03.220770,2023-08-23 23:44:06.363191,0 days 00:00:03.142421,0.6000000000000001,3,0.5,1.1493666739194347e-07,7.841402837408469e-06,80,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5683919939552792,2023-08-23 23:44:03.221399,2023-08-23 23:44:04.339891,0 days 00:00:01.118492,0.8,2,0.7000000000000001,0.00029572326422620153,5.6181921233954494e-05,90,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5697944815292026,2023-08-23 23:44:04.386783,2023-08-23 23:44:04.913418,0 days 00:00:00.526635,0.7000000000000001,1,0.9,0.011639690195366169,0.2283312491444855,90,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5546140021172251,2023-08-23 23:44:04.958082,2023-08-23 23:44:07.943326,0 days 00:00:02.985244,0.7000000000000001,2,0.4,2.3496317549602835e-06,4.919889354842196e-05,80,103,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
