,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.593710388761445,2023-08-23 23:44:58.941550,2023-08-23 23:45:00.635384,0 days 00:00:01.693834,1.0,3,0.6000000000000001,1.5310370416166955e-05,0.00014408407809128666,40,57,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5882927636139849,2023-08-23 23:44:58.944167,2023-08-23 23:45:01.290818,0 days 00:00:02.346651,0.4,1,0.9,8.669484163304219e-06,0.00010477320124431252,90,165,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6084056269279432,2023-08-23 23:44:58.945021,2023-08-23 23:44:59.708870,0 days 00:00:00.763849,0.6000000000000001,3,0.8,0.0008215659546978977,0.006901678153222832,30,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5776410207905847,2023-08-23 23:44:58.946622,2023-08-23 23:45:04.185095,0 days 00:00:05.238473,0.7000000000000001,1,0.8,0.01892761055619421,0.014889348850295242,40,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5781182179878808,2023-08-23 23:44:58.949489,2023-08-23 23:45:04.320986,0 days 00:00:05.371497,0.9,1,0.6000000000000001,1.1868089214655482e-05,4.428118701870915e-06,50,238,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6115125338069672,2023-08-23 23:44:58.951290,2023-08-23 23:44:59.358196,0 days 00:00:00.406906,0.9,3,0.7000000000000001,1.7940377879764688e-05,0.8822602531408232,20,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5999262644650452,2023-08-23 23:44:58.952028,2023-08-23 23:45:01.193403,0 days 00:00:02.241375,0.7000000000000001,3,0.7000000000000001,0.06785632021256605,2.7039734288826876e-05,100,70,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6067297087281295,2023-08-23 23:44:58.953639,2023-08-23 23:44:59.459437,0 days 00:00:00.505798,1.0,2,0.5,0.0004674423553606427,4.729624599857129e-05,10,13,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6011587205982064,2023-08-23 23:44:59.403136,2023-08-23 23:45:00.486378,0 days 00:00:01.083242,0.5,2,0.4,3.2838933825781926e-05,0.004835860283593786,50,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6094463692838621,2023-08-23 23:44:59.502591,2023-08-23 23:45:00.206648,0 days 00:00:00.704057,0.6000000000000001,3,0.4,4.3037073091507114e-07,0.10611587934362053,70,21,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6006019250973349,2023-08-23 23:44:59.758830,2023-08-23 23:45:00.955341,0 days 00:00:01.196511,0.5,3,0.7000000000000001,0.03978036846656699,0.0037807040041605267,50,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5822838501219458,2023-08-23 23:45:00.253757,2023-08-23 23:45:03.513951,0 days 00:00:03.260194,0.6000000000000001,3,0.4,0.01002612004904073,4.1683349655105346e-05,80,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6011172310354236,2023-08-23 23:45:00.533142,2023-08-23 23:45:02.094778,0 days 00:00:01.561636,0.9,1,0.8,0.02370029398518075,0.0013891005185964831,50,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6013182374388173,2023-08-23 23:45:00.682592,2023-08-23 23:45:01.605863,0 days 00:00:00.923271,0.4,3,0.7000000000000001,4.1514465558728975e-05,0.2547134036427772,30,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.588112278544791,2023-08-23 23:45:01.001501,2023-08-23 23:45:04.688234,0 days 00:00:03.686733,0.4,2,0.7000000000000001,0.11515559749482279,9.785416926030633e-06,40,210,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5842241675103692,2023-08-23 23:45:01.237648,2023-08-23 23:45:04.774480,0 days 00:00:03.536832,0.5,3,1.0,5.767874466778295e-05,2.146172361294989e-07,20,147,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.604172893255787,2023-08-23 23:45:01.335502,2023-08-23 23:45:02.403505,0 days 00:00:01.068003,0.6000000000000001,2,0.6000000000000001,6.7322885441059e-08,0.0441058769457384,60,29,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.5894524292328704,2023-08-23 23:45:01.651510,2023-08-23 23:45:07.885460,0 days 00:00:06.233950,0.8,1,1.0,5.521065815135107e-08,7.031174273279828e-08,10,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.5858377168064439,2023-08-23 23:45:02.141876,2023-08-23 23:45:06.234864,0 days 00:00:04.092988,0.8,2,1.0,1.1416352724155559e-07,0.8396384007381608,80,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5920926889077992,2023-08-23 23:45:02.458501,2023-08-23 23:45:05.798900,0 days 00:00:03.340399,0.8,3,1.0,2.621065782986745e-07,0.744850579868701,80,119,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
