,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6124738975502109,2023-08-23 23:46:44.069757,2023-08-23 23:46:46.728229,0 days 00:00:02.658472,0.4,2,0.8,4.9778870727589216e-05,0.015522716006038073,70,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6043485820477101,2023-08-23 23:46:44.072059,2023-08-23 23:46:47.367392,0 days 00:00:03.295333,0.6000000000000001,1,0.9,1.5978877552716605e-07,0.28928295384560754,70,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5784944731783452,2023-08-23 23:46:44.074660,2023-08-23 23:46:47.825181,0 days 00:00:03.750521,0.9,3,0.4,0.021178913725915918,4.215859325625333e-08,30,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.5972543532338308,2023-08-23 23:46:44.079533,2023-08-23 23:46:45.161416,0 days 00:00:01.081883,0.8,3,0.4,0.013484522759997848,2.5448341129649327e-07,100,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6133310730210473,2023-08-23 23:46:44.081635,2023-08-23 23:46:49.034947,0 days 00:00:04.953312,1.0,1,0.5,2.7292739324814213e-07,0.0043491164624197345,60,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.619700600315219,2023-08-23 23:46:44.083411,2023-08-23 23:46:45.652610,0 days 00:00:01.569199,1.0,3,0.7000000000000001,0.13658192076211093,6.163600965568638e-05,30,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5922679003905074,2023-08-23 23:46:44.084622,2023-08-23 23:46:45.254405,0 days 00:00:01.169783,0.7000000000000001,1,0.4,0.973570644760301,1.035617650973566e-08,80,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6308020101284033,2023-08-23 23:46:44.087590,2023-08-23 23:46:45.103175,0 days 00:00:01.015585,0.9,3,1.0,4.3883617775089375e-08,0.003081332008065577,30,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6121808626426595,2023-08-23 23:46:45.151471,2023-08-23 23:46:47.577569,0 days 00:00:02.426098,0.5,2,0.6000000000000001,0.7734195557342384,8.826004285178668e-05,90,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6039761796263954,2023-08-23 23:46:45.207548,2023-08-23 23:46:50.222128,0 days 00:00:05.014580,0.5,1,0.9,1.8716908252726268e-05,2.309403701320171e-05,10,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
