,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7803379416282643,2023-08-23 22:47:39.251647,2023-08-23 22:47:39.842704,0 days 00:00:00.591057,0.8,2,0.8,3.111274950325397e-08,1.0264273311263769e-07,50,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.8227272727272728,2023-08-23 22:47:39.253846,2023-08-23 22:47:39.569253,0 days 00:00:00.315407,0.4,3,0.6000000000000001,0.003851121617603513,3.117154163421471e-06,40,243,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.8308943089430895,2023-08-23 22:47:39.256537,2023-08-23 22:47:40.190511,0 days 00:00:00.933974,0.5,1,0.4,0.008292572298327604,0.0001845228732551147,20,149,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.801753717117804,2023-08-23 22:47:39.259431,2023-08-23 22:47:39.494414,0 days 00:00:00.234983,0.5,2,0.8,4.440969108274742e-07,9.732019922255806e-08,80,140,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7986837011227255,2023-08-23 22:47:39.261895,2023-08-23 22:47:39.690654,0 days 00:00:00.428759,1.0,1,0.4,3.679224827941166e-07,2.482423417261466e-06,80,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.8122922010069346,2023-08-23 22:47:39.263836,2023-08-23 22:47:39.432466,0 days 00:00:00.168630,0.8,3,0.4,0.0005547177462592024,0.020840025751648898,100,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.8202764976958525,2023-08-23 22:47:39.266754,2023-08-23 22:47:40.025375,0 days 00:00:00.758621,0.5,1,0.9,0.04152978983937733,0.49981609921989417,30,93,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7712099473935916,2023-08-23 22:47:39.274052,2023-08-23 22:47:39.957733,0 days 00:00:00.683681,0.8,3,0.8,0.21192489838311884,8.068142545755724e-07,50,40,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.8202764976958525,2023-08-23 22:47:39.476926,2023-08-23 22:47:40.126066,0 days 00:00:00.649140,0.7000000000000001,2,0.5,0.0061207301506832805,3.026903848961877e-07,60,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.8424242424242425,2023-08-23 22:47:39.537181,2023-08-23 22:47:40.482833,0 days 00:00:00.945652,0.4,2,0.7000000000000001,2.494441703719892e-08,2.4814526637249245e-06,20,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.801753717117804,2023-08-23 22:47:39.611833,2023-08-23 22:47:40.081881,0 days 00:00:00.470048,0.7000000000000001,3,0.5,0.0002904871335594442,2.4269996259626415e-05,60,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.803030303030303,2023-08-23 22:47:39.733936,2023-08-23 22:47:40.276620,0 days 00:00:00.542684,0.7000000000000001,3,0.7000000000000001,3.30728014528103e-07,9.45388020286168e-06,70,120,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.792533485323454,2023-08-23 22:47:39.884906,2023-08-23 22:47:40.394979,0 days 00:00:00.510073,0.4,3,0.9,0.0013412851671138653,2.5725470937565396e-07,60,60,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.8109995217599235,2023-08-23 22:47:39.998553,2023-08-23 22:47:40.703236,0 days 00:00:00.704683,0.9,1,0.5,4.681373797239499e-07,0.0005993254403218096,90,153,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
