,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5771035345636535,2023-08-23 22:47:10.483842,2023-08-23 22:47:10.645265,0 days 00:00:00.161423,0.5,1,1.0,0.0011633224651668116,8.21891795223118e-07,70,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5516791979949874,2023-08-23 22:47:10.486064,2023-08-23 22:47:11.420298,0 days 00:00:00.934234,1.0,1,0.7000000000000001,0.14594393116687068,8.746504862112801e-06,30,113,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.5751633986928104,2023-08-23 22:47:10.488661,2023-08-23 22:47:10.939397,0 days 00:00:00.450736,1.0,1,0.7000000000000001,0.038528523859041715,0.0025865784442111583,60,209,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6142355889724311,2023-08-23 22:47:10.491026,2023-08-23 22:47:11.230509,0 days 00:00:00.739483,0.7000000000000001,3,0.5,0.0014570726024859292,1.6588610848036271e-06,30,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5884322678843226,2023-08-23 22:47:10.493454,2023-08-23 22:47:10.831414,0 days 00:00:00.337960,1.0,1,0.9,0.007460097569018241,0.029637385759488828,70,124,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5787629994526546,2023-08-23 22:47:10.496541,2023-08-23 22:47:10.692560,0 days 00:00:00.196019,0.6000000000000001,1,0.4,1.426901075858802e-06,3.404906059852511e-08,100,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5673262303399289,2023-08-23 22:47:10.499481,2023-08-23 22:47:11.167189,0 days 00:00:00.667708,0.6000000000000001,2,0.5,0.006240052851659722,0.00035348352930584956,30,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.511437908496732,2023-08-23 22:47:10.503162,2023-08-23 22:47:11.502856,0 days 00:00:00.999694,1.0,1,0.8,4.589219144465054e-07,6.213407170601892e-06,30,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6176470588235294,2023-08-23 22:47:10.685102,2023-08-23 22:47:11.333283,0 days 00:00:00.648181,0.5,2,1.0,6.396951297108645e-06,0.1418980603613422,30,251,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5630252100840336,2023-08-23 22:47:10.733423,2023-08-23 22:47:10.880550,0 days 00:00:00.147127,0.5,2,0.5,0.00016105355789370132,0.002073098902631675,80,63,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5830163462526987,2023-08-23 22:47:10.872067,2023-08-23 22:47:12.001067,0 days 00:00:01.129000,0.8,3,1.0,9.447117640131395e-05,0.10146821373321419,30,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.5884322678843226,2023-08-23 22:47:10.920994,2023-08-23 22:47:11.276157,0 days 00:00:00.355163,0.5,2,0.9,0.7406992560476224,9.970288639021905e-08,60,83,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5706573515401715,2023-08-23 22:47:10.977994,2023-08-23 22:47:11.106859,0 days 00:00:00.128865,0.4,3,0.4,0.3841813662704926,8.017190603382471e-07,70,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.553921568627451,2023-08-23 22:47:11.148413,2023-08-23 22:47:11.692906,0 days 00:00:00.544493,0.9,1,0.9,0.013166160262205498,0.0001359881856795675,90,112,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5561246265471618,2023-08-23 22:47:11.208773,2023-08-23 22:47:11.751476,0 days 00:00:00.542703,0.8,2,0.7000000000000001,0.7616954601214146,2.59413975032577e-05,90,211,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5772776841479133,2023-08-23 22:47:11.273137,2023-08-23 22:47:11.904143,0 days 00:00:00.631006,0.4,2,0.6000000000000001,4.3196468455467525e-07,1.6566897646934204e-06,30,71,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.46866854342612874,2023-08-23 22:47:11.317742,2023-08-23 22:47:12.751825,0 days 00:00:01.434083,0.6000000000000001,3,0.6000000000000001,0.0014639528672600335,3.4930107250756514e-08,10,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.48912280701754385,2023-08-23 22:47:11.378621,2023-08-23 22:47:13.077052,0 days 00:00:01.698431,0.8,3,0.7000000000000001,1.4553142401345926e-08,0.8890837540286581,10,236,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.543859649122807,2023-08-23 22:47:11.461291,2023-08-23 22:47:13.000417,0 days 00:00:01.539126,0.8,3,0.6000000000000001,5.159705086513712e-06,0.5488234299650485,10,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.5326797385620915,2023-08-23 22:47:11.542800,2023-08-23 22:47:13.562141,0 days 00:00:02.019341,0.8,3,0.6000000000000001,1.1260206232432631e-05,0.4359066073436076,10,250,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.46866854342612874,2023-08-23 22:47:11.733411,2023-08-23 22:47:13.480470,0 days 00:00:01.747059,0.8,3,0.6000000000000001,5.463558510731742e-06,0.4472716638331433,10,225,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.5337295381086435,2023-08-23 22:47:11.819100,2023-08-23 22:47:13.228999,0 days 00:00:01.409899,0.7000000000000001,3,0.6000000000000001,3.319497482520086e-05,0.044740758731671944,10,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.5262939958592132,2023-08-23 22:47:11.947489,2023-08-23 22:47:13.354508,0 days 00:00:01.407019,0.7000000000000001,3,1.0,1.149041293635158e-05,0.05531451118073291,10,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.49035554165363354,2023-08-23 22:47:12.042779,2023-08-23 22:47:13.296144,0 days 00:00:01.253365,0.7000000000000001,3,0.6000000000000001,2.3536454218167086e-08,0.13442496448878613,10,173,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.6176470588235294,2023-08-23 22:47:12.797875,2023-08-23 22:47:13.165708,0 days 00:00:00.367833,0.7000000000000001,3,0.5,1.505081775124448e-08,0.9973711028527135,50,178,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.5964052287581698,2023-08-23 22:47:13.042197,2023-08-23 22:47:13.941246,0 days 00:00:00.899049,0.7000000000000001,3,0.8,1.0765229708608544e-08,0.5332779638528325,50,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.5326797385620915,2023-08-23 22:47:13.127814,2023-08-23 22:47:13.898200,0 days 00:00:00.770386,0.7000000000000001,2,0.8,2.5286874344192816e-05,5.776009957777284e-05,50,181,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.5594997983057685,2023-08-23 22:47:13.227754,2023-08-23 22:47:13.802665,0 days 00:00:00.574911,0.7000000000000001,2,0.8,1.2809657790673671e-08,0.05336779630049085,50,177,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
28,28,0.6095383054287165,2023-08-23 22:47:13.338489,2023-08-23 22:47:14.127994,0 days 00:00:00.789505,0.7000000000000001,2,0.5,1.0405419609752925e-07,0.006784026799427208,40,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
29,29,0.6095383054287165,2023-08-23 22:47:13.353477,2023-08-23 22:47:14.071542,0 days 00:00:00.718065,0.7000000000000001,2,0.5,6.348522478479391e-08,0.008111909022374053,40,184,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
30,30,0.5516791979949874,2023-08-23 22:47:13.443972,2023-08-23 22:47:14.194025,0 days 00:00:00.750053,0.6000000000000001,2,0.5,3.108035102924738e-08,0.7751879378303159,40,185,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
31,31,0.6014521984671238,2023-08-23 22:47:13.533380,2023-08-23 22:47:14.341888,0 days 00:00:00.808508,0.6000000000000001,2,0.5,1.0685232552872029e-07,0.0041697961705307665,40,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
32,32,0.6044001233679449,2023-08-23 22:47:13.604931,2023-08-23 22:47:14.274985,0 days 00:00:00.670054,0.6000000000000001,2,0.5,9.388327052876434e-08,0.0237558194032088,40,182,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
33,33,0.6044001233679449,2023-08-23 22:47:13.842872,2023-08-23 22:47:14.526192,0 days 00:00:00.683320,0.6000000000000001,2,0.5,7.895156826745875e-08,0.013253111705940674,40,188,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
34,34,0.6044001233679449,2023-08-23 22:47:13.981839,2023-08-23 22:47:14.724994,0 days 00:00:00.743155,0.6000000000000001,2,0.5,6.49309731884905e-08,0.018097625620917678,40,42,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
35,35,0.6014521984671238,2023-08-23 22:47:13.987534,2023-08-23 22:47:14.665025,0 days 00:00:00.677491,0.6000000000000001,2,0.5,9.850187336051567e-08,0.0036407089005908258,40,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
36,36,0.5751633986928104,2023-08-23 22:47:14.119712,2023-08-23 22:47:14.928439,0 days 00:00:00.808727,0.6000000000000001,2,0.4,0.0005398788672188753,0.013726679745684586,40,16,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
