,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7010012887875483,2023-08-23 22:48:13.210876,2023-08-23 22:48:13.323591,0 days 00:00:00.112715,0.6000000000000001,2,0.9,9.919521874494092e-06,0.0027204168141403457,100,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6339544513457558,2023-08-23 22:48:13.213143,2023-08-23 22:48:13.412329,0 days 00:00:00.199186,0.5,1,0.8,1.3625680022754912e-07,9.630139005071765e-08,60,37,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6391394864677308,2023-08-23 22:48:13.216318,2023-08-23 22:48:14.066165,0 days 00:00:00.849847,0.5,1,0.9,8.571904071652383e-08,1.0483766335590663e-06,20,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.580475998386446,2023-08-23 22:48:13.217058,2023-08-23 22:48:14.412109,0 days 00:00:01.195051,0.4,3,0.8,0.0007753487300335202,2.6311851782695918e-08,10,115,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6307692307692307,2023-08-23 22:48:13.218089,2023-08-23 22:48:13.640012,0 days 00:00:00.421923,0.5,2,0.5,1.4551051651952704e-06,0.15471352876235597,40,235,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6601307189542484,2023-08-23 22:48:13.220666,2023-08-23 22:48:13.548772,0 days 00:00:00.328106,1.0,3,0.7000000000000001,0.008572874343033624,0.045681362519768676,90,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.663232263762143,2023-08-23 22:48:13.221671,2023-08-23 22:48:13.473925,0 days 00:00:00.252254,0.6000000000000001,3,0.5,0.007532527798922854,7.80431638445695e-05,70,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6682615629984051,2023-08-23 22:48:13.222887,2023-08-23 22:48:14.154757,0 days 00:00:00.931870,0.8,1,0.9,0.0002900449343929972,0.0015572413268773201,30,176,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6176470588235294,2023-08-23 22:48:13.364711,2023-08-23 22:48:13.719586,0 days 00:00:00.354875,0.4,1,0.9,2.6631760291100655e-05,2.480628266854582e-07,60,244,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6391394864677308,2023-08-23 22:48:13.454106,2023-08-23 22:48:14.875500,0 days 00:00:01.421394,0.9,3,0.6000000000000001,4.792572807989276e-08,1.5285120394325108e-05,20,223,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.6391394864677308,2023-08-23 22:48:13.522152,2023-08-23 22:48:13.928992,0 days 00:00:00.406840,1.0,2,0.4,1.9677500442069273e-06,1.3399780762028177e-05,80,51,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6923076923076923,2023-08-23 22:48:13.598341,2023-08-23 22:48:13.804195,0 days 00:00:00.205854,0.5,2,0.7000000000000001,3.9737801454119833e-07,0.002821203945529979,100,11,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.6185188856944581,2023-08-23 22:48:13.680732,2023-08-23 22:48:14.787633,0 days 00:00:01.106901,0.9,1,0.5,0.0030475691336704527,0.03944926687796448,30,27,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6471676775984373,2023-08-23 22:48:13.761324,2023-08-23 22:48:14.002752,0 days 00:00:00.241428,0.5,1,0.5,0.02394478424497774,0.0005083486516009653,80,195,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.543859649122807,2023-08-23 22:48:13.845983,2023-08-23 22:48:14.615438,0 days 00:00:00.769455,1.0,2,0.5,0.0031549166261489836,9.73766162318027e-05,40,229,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.6388888888888888,2023-08-23 22:48:13.970253,2023-08-23 22:48:14.327803,0 days 00:00:00.357550,0.8,3,0.5,0.0006901767040172761,0.005220782575428762,90,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6306443429731101,2023-08-23 22:48:14.043695,2023-08-23 22:48:14.697817,0 days 00:00:00.654122,1.0,2,0.5,0.026664951484282197,0.04995898336014568,70,44,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.675,2023-08-23 22:48:14.106029,2023-08-23 22:48:15.724084,0 days 00:00:01.618055,0.8,3,1.0,0.00017413065703766,0.6257486032634006,10,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6559398496240602,2023-08-23 22:48:14.195281,2023-08-23 22:48:14.525679,0 days 00:00:00.330398,0.7000000000000001,2,1.0,1.6194919100934432e-08,0.0044942714713708835,100,85,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.664380798709157,2023-08-23 22:48:14.369936,2023-08-23 22:48:14.985941,0 days 00:00:00.616005,0.7000000000000001,2,1.0,1.265766376938324e-08,0.8166769665733925,100,89,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.664380798709157,2023-08-23 22:48:14.453796,2023-08-23 22:48:15.061822,0 days 00:00:00.608026,0.7000000000000001,2,1.0,0.30902904329155895,0.0111855606360161,100,75,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
