,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.6350877192982456,2023-08-23 22:07:57.257001,2023-08-23 22:07:58.912467,0 days 00:00:01.655466,0.7000000000000001,2,0.7000000000000001,5.09336208321295e-06,0.012143989232195965,10,137,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.7184962406015037,2023-08-23 22:07:57.259452,2023-08-23 22:07:57.791438,0 days 00:00:00.531986,0.6000000000000001,1,0.8,9.455555799867668e-06,0.00022280272220654874,30,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.663232263762143,2023-08-23 22:07:57.259970,2023-08-23 22:07:57.934135,0 days 00:00:00.674165,0.9,2,0.9,0.02991160517897425,6.637867785642902e-05,40,135,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.6350877192982456,2023-08-23 22:07:57.261983,2023-08-23 22:07:58.251411,0 days 00:00:00.989428,0.4,3,0.7000000000000001,0.10068308041256394,0.5730011955605481,10,187,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7097288676236045,2023-08-23 22:07:57.263911,2023-08-23 22:07:58.626133,0 days 00:00:01.362222,0.9,2,0.5,4.790227994415963e-08,4.517471204772658e-08,10,34,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.6976441102756892,2023-08-23 22:07:57.267283,2023-08-23 22:07:57.541205,0 days 00:00:00.273922,1.0,2,0.6000000000000001,6.075823897425248e-06,0.3921812834441009,90,167,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6953125,2023-08-23 22:07:57.268380,2023-08-23 22:07:57.416061,0 days 00:00:00.147681,0.5,3,0.5,0.5020781551438446,0.011071595468684487,60,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7244627612599353,2023-08-23 22:07:57.269479,2023-08-23 22:07:57.488393,0 days 00:00:00.218914,1.0,1,0.7000000000000001,1.5954084128078064e-08,1.859392121234141e-08,100,56,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6803806880142758,2023-08-23 22:07:57.457560,2023-08-23 22:07:57.794245,0 days 00:00:00.336685,0.5,1,0.4,4.2291435528421995e-08,1.0662762769024606e-05,60,194,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6142355889724311,2023-08-23 22:07:57.529842,2023-08-23 22:07:58.535522,0 days 00:00:01.005680,0.7000000000000001,3,0.7000000000000001,2.7924551798826188e-05,0.21568602399770534,20,144,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7097288676236045,2023-08-23 22:07:57.583480,2023-08-23 22:07:57.711173,0 days 00:00:00.127693,0.4,1,0.6000000000000001,0.03566374604136763,1.8496040492516618e-05,70,200,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.6685514547136835,2023-08-23 22:07:57.753947,2023-08-23 22:07:58.671144,0 days 00:00:00.917197,0.6000000000000001,3,0.5,0.497373001945863,5.049356875217264e-07,20,82,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7026143790849673,2023-08-23 22:07:57.876097,2023-08-23 22:07:58.139065,0 days 00:00:00.262968,0.4,3,0.8,0.12630989832400838,0.0234991394336239,40,246,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6889952153110048,2023-08-23 22:07:57.879448,2023-08-23 22:07:58.195860,0 days 00:00:00.316412,0.6000000000000001,2,0.6000000000000001,1.6599910974396146e-05,7.667765716501687e-07,60,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.6899352318289298,2023-08-23 22:07:57.975148,2023-08-23 22:07:59.403809,0 days 00:00:01.428661,0.9,2,0.4,1.182374925006503e-06,0.0002434207888566528,10,33,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7010012887875483,2023-08-23 22:07:58.179814,2023-08-23 22:07:58.443643,0 days 00:00:00.263829,0.5,1,0.6000000000000001,0.4759466751157032,1.0689616028210566e-08,90,255,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.6728564180618974,2023-08-23 22:07:58.236754,2023-08-23 22:07:59.257718,0 days 00:00:01.020964,0.6000000000000001,1,1.0,0.08736755865362526,2.9259611568370075e-07,20,123,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.6976441102756892,2023-08-23 22:07:58.293212,2023-08-23 22:07:58.823606,0 days 00:00:00.530394,0.8,1,1.0,1.2021060045236936e-08,1.0296716858313939e-08,100,12,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.6475279106858054,2023-08-23 22:07:58.485234,2023-08-23 22:07:59.582262,0 days 00:00:01.097028,0.8,1,1.0,1.0137114892167932e-08,1.4103278681257226e-08,20,17,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.6685514547136835,2023-08-23 22:07:58.576662,2023-08-23 22:07:59.055312,0 days 00:00:00.478650,0.8,1,1.0,1.2237022480131202e-08,0.0007528436247881416,100,3,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.6939624556062911,2023-08-23 22:07:58.669354,2023-08-23 22:07:59.320096,0 days 00:00:00.650742,0.7000000000000001,1,1.0,7.754985930029711e-07,0.0005940805560107091,100,73,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
