,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7216218895608209,2023-08-23 22:09:32.582342,2023-08-23 22:09:32.851078,0 days 00:00:00.268736,1.0,2,0.8,0.0005916288186067301,3.7813218992045784e-06,80,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6976441102756892,2023-08-23 22:09:32.583592,2023-08-23 22:09:32.897766,0 days 00:00:00.314174,1.0,1,0.6000000000000001,0.8219617639134092,9.318126189484205e-05,80,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7244627612599353,2023-08-23 22:09:32.585205,2023-08-23 22:09:32.987815,0 days 00:00:00.402610,1.0,3,0.7000000000000001,1.4353878050129174e-06,0.10579232782313948,90,129,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7040525954273379,2023-08-23 22:09:32.585809,2023-08-23 22:09:33.053098,0 days 00:00:00.467289,0.8,1,1.0,0.0028716230241668367,8.300031577286294e-06,60,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.706814425974531,2023-08-23 22:09:32.586705,2023-08-23 22:09:32.707612,0 days 00:00:00.120907,0.6000000000000001,3,1.0,0.03187143607784303,0.0016095135114798135,90,109,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7097288676236045,2023-08-23 22:09:32.587706,2023-08-23 22:09:35.037820,0 days 00:00:02.450114,0.9,2,0.8,5.4550114479807135e-05,0.12283622310760209,10,102,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6692048192771083,2023-08-23 22:09:32.588752,2023-08-23 22:09:33.276143,0 days 00:00:00.687391,0.6000000000000001,3,0.8,1.787302364356581e-06,0.004464453103232632,30,77,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.709301204819277,2023-08-23 22:09:32.589579,2023-08-23 22:09:34.113287,0 days 00:00:01.523708,0.9,2,1.0,0.004381655733696141,2.640118792171283e-05,20,224,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.7244627612599353,2023-08-23 22:09:32.747637,2023-08-23 22:09:33.101852,0 days 00:00:00.354215,0.8,2,0.5,7.126189035742413e-08,7.411261957737782e-08,100,39,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6692048192771083,2023-08-23 22:09:32.893306,2023-08-23 22:09:33.177059,0 days 00:00:00.283753,0.4,3,1.0,0.00029282356778853944,6.542106101791106e-07,100,110,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7244627612599353,2023-08-23 22:09:32.940831,2023-08-23 22:09:33.352942,0 days 00:00:00.412111,0.8,2,0.9,0.11118169636429286,1.5540087437696907e-08,90,227,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7040525954273379,2023-08-23 22:09:33.030336,2023-08-23 22:09:33.647452,0 days 00:00:00.617116,0.6000000000000001,2,0.7000000000000001,2.734197116685485e-07,0.28298855024810615,40,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.709301204819277,2023-08-23 22:09:33.094089,2023-08-23 22:09:33.410997,0 days 00:00:00.316908,0.5,3,0.6000000000000001,0.00029353003770462205,0.473530976660467,70,180,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7216218895608209,2023-08-23 22:09:33.144055,2023-08-23 22:09:33.565259,0 days 00:00:00.421204,1.0,3,0.9,2.703353687954628e-07,4.551166583582125e-08,90,107,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.7010012887875483,2023-08-23 22:09:33.216877,2023-08-23 22:09:34.025401,0 days 00:00:00.808524,0.8,1,0.8,0.8326486591191244,4.2526208490217334e-08,40,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.7010012887875483,2023-08-23 22:09:33.317081,2023-08-23 22:09:33.772122,0 days 00:00:00.455041,0.4,1,0.5,0.08552639852112054,5.922038760772087e-08,60,125,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
16,16,0.7063331988705123,2023-08-23 22:09:33.393320,2023-08-23 22:09:33.897811,0 days 00:00:00.504491,0.4,1,0.4,6.358819698044035e-06,0.003148068943128331,40,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
17,17,0.7293493975903615,2023-08-23 22:09:33.451999,2023-08-23 22:09:34.387805,0 days 00:00:00.935806,0.9,3,0.7000000000000001,6.920382062520729e-06,0.2135043401595383,40,159,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
18,18,0.7040525954273379,2023-08-23 22:09:33.606435,2023-08-23 22:09:34.175621,0 days 00:00:00.569186,0.8,2,0.4,1.1521068502963846e-08,0.7133064756549171,40,5,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
19,19,0.7216218895608209,2023-08-23 22:09:33.689536,2023-08-23 22:09:34.265817,0 days 00:00:00.576281,0.8,2,0.4,4.2966223065990554e-08,2.647306806772829e-07,100,7,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
20,20,0.7244627612599353,2023-08-23 22:09:33.816028,2023-08-23 22:09:34.855601,0 days 00:00:01.039573,0.8,2,0.4,1.045415742442558e-08,0.005967985623307049,10,18,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
21,21,0.7216218895608209,2023-08-23 22:09:33.938697,2023-08-23 22:09:34.495704,0 days 00:00:00.557007,0.8,2,0.4,2.838465597144191e-08,3.911056901040694e-07,100,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
22,22,0.7010012887875483,2023-08-23 22:09:34.066740,2023-08-23 22:09:34.908406,0 days 00:00:00.841666,0.9,2,0.4,1.2370127514191025e-08,4.2174390583069224e-05,10,10,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
23,23,0.7333333333333334,2023-08-23 22:09:34.158103,2023-08-23 22:09:34.664794,0 days 00:00:00.506691,0.9,2,0.4,1.3211822798196848e-08,7.119014138300526e-07,100,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
24,24,0.7216218895608209,2023-08-23 22:09:34.224747,2023-08-23 22:09:34.763802,0 days 00:00:00.539055,0.9,2,0.6000000000000001,1.1617169468485629e-05,7.38900190710331e-07,100,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
25,25,0.6803806880142758,2023-08-23 22:09:34.311228,2023-08-23 22:09:34.995007,0 days 00:00:00.683779,0.9,3,0.6000000000000001,2.2813233058062466e-05,1.0741752222158383e-06,70,58,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
26,26,0.7063331988705123,2023-08-23 22:09:34.430975,2023-08-23 22:09:36.388895,0 days 00:00:01.957920,0.9,3,0.7000000000000001,1.9909750512737795e-05,0.055040507604912706,10,196,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
27,27,0.6224283985478015,2023-08-23 22:09:34.536578,2023-08-23 22:09:36.484099,0 days 00:00:01.947521,0.9,3,0.7000000000000001,2.3422114382579357e-05,0.06360231272879455,10,201,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
