,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.585496257412268,2023-08-23 22:10:27.234722,2023-08-23 22:10:29.006600,0 days 00:00:01.771878,0.7000000000000001,1,0.6000000000000001,0.43488183923137186,5.76710394150898e-05,10,54,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6174990321331785,2023-08-23 22:10:27.237011,2023-08-23 22:10:27.619204,0 days 00:00:00.382193,0.9,1,0.6000000000000001,0.07471937110099705,0.00348543786462525,90,216,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6512820512820513,2023-08-23 22:10:27.239278,2023-08-23 22:10:27.356487,0 days 00:00:00.117209,0.5,3,0.8,0.038437636864197336,1.614892658718278e-05,90,220,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.663232263762143,2023-08-23 22:10:27.241854,2023-08-23 22:10:27.745009,0 days 00:00:00.503155,0.9,3,0.7000000000000001,1.6093211573645545e-06,0.010285389983305753,100,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.6140625,2023-08-23 22:10:27.243833,2023-08-23 22:10:27.410242,0 days 00:00:00.166409,0.6000000000000001,2,1.0,0.07177632082467758,2.061787396611612e-07,100,61,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.634375,2023-08-23 22:10:27.247649,2023-08-23 22:10:27.661066,0 days 00:00:00.413417,1.0,2,0.9,2.2919432003089834e-08,8.890645432566833e-06,80,38,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6376306620209059,2023-08-23 22:10:27.251159,2023-08-23 22:10:27.500396,0 days 00:00:00.249237,0.6000000000000001,3,0.7000000000000001,1.18132493889943e-05,5.5702829006285626e-05,90,32,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.6224119320969482,2023-08-23 22:10:27.254318,2023-08-23 22:10:27.559479,0 days 00:00:00.305161,0.9,1,0.8,0.00100012173619253,1.5006613915505326e-08,90,6,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.530827067669173,2023-08-23 22:10:27.397828,2023-08-23 22:10:28.006347,0 days 00:00:00.608519,0.4,2,0.5,0.0001470296277067422,3.4313897694323094e-05,10,8,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.6224119320969482,2023-08-23 22:10:27.452828,2023-08-23 22:10:27.922159,0 days 00:00:00.469331,0.9,2,1.0,7.205119731040489e-06,0.044778616627488735,100,100,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5897435897435898,2023-08-23 22:10:27.542663,2023-08-23 22:10:27.878374,0 days 00:00:00.335711,0.4,2,0.7000000000000001,8.417760873479621e-06,0.1795189943809256,60,179,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
