,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.7472538154952852,2023-08-23 22:10:53.462572,2023-08-23 22:10:53.632582,0 days 00:00:00.170010,0.9,1,0.4,0.1508965425019547,0.015541008039086871,100,30,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.6803806880142758,2023-08-23 22:10:53.465063,2023-08-23 22:10:54.642518,0 days 00:00:01.177455,0.9,2,0.4,3.7382697786985317e-06,0.48877733701397447,20,25,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.7293493975903615,2023-08-23 22:10:53.467759,2023-08-23 22:10:54.732333,0 days 00:00:01.264574,0.4,3,0.5,0.04176794361914642,1.8094699984739297e-07,10,108,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.7472538154952852,2023-08-23 22:10:53.470418,2023-08-23 22:10:53.728503,0 days 00:00:00.258085,0.4,2,0.7000000000000001,0.0002984214103556181,0.00013088732377283978,60,183,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.7293493975903615,2023-08-23 22:10:53.471047,2023-08-23 22:10:53.924954,0 days 00:00:00.453907,0.9,2,0.9,1.432323786161432e-07,0.001164610186779262,60,26,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.7584204413472706,2023-08-23 22:10:53.475044,2023-08-23 22:10:53.769537,0 days 00:00:00.294493,0.8,3,0.8,0.00037570902794398193,0.0012294352509775704,90,247,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.7712099473935916,2023-08-23 22:10:53.477525,2023-08-23 22:10:53.985901,0 days 00:00:00.508376,0.9,3,0.9,3.320559626061217e-08,0.0031741576904029036,60,213,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.7493975903614458,2023-08-23 22:10:53.480802,2023-08-23 22:10:53.680023,0 days 00:00:00.199221,0.4,3,0.9,0.009819570533152466,1.020059916456983e-05,60,91,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.75625,2023-08-23 22:10:53.675770,2023-08-23 22:10:54.041515,0 days 00:00:00.365745,0.7000000000000001,2,0.9,7.245135579194679e-08,0.011559004722753265,100,230,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.7530160539564928,2023-08-23 22:10:53.722342,2023-08-23 22:10:54.156186,0 days 00:00:00.433844,0.8,3,0.9,2.838965864889477e-07,7.180287870798923e-08,70,41,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.7513151602104255,2023-08-23 22:10:53.811747,2023-08-23 22:10:54.353436,0 days 00:00:00.541689,0.6000000000000001,1,0.9,5.6807347152500384e-05,0.0012536137472385688,50,158,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.7181571815718157,2023-08-23 22:10:53.815660,2023-08-23 22:10:54.263793,0 days 00:00:00.448133,1.0,3,0.6000000000000001,6.11039254800832e-08,3.0791157664986463e-06,80,146,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.7493975903614458,2023-08-23 22:10:53.967334,2023-08-23 22:10:54.437385,0 days 00:00:00.470051,0.6000000000000001,3,0.6000000000000001,0.1003703482299884,0.08319266752656863,80,161,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.7674735102556626,2023-08-23 22:10:54.028249,2023-08-23 22:10:54.528844,0 days 00:00:00.500595,0.7000000000000001,2,0.6000000000000001,0.006502259875345048,1.963036747247716e-08,90,68,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
