,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.4756302521008403,2023-08-23 23:18:38.028036,2023-08-23 23:18:38.179568,0 days 00:00:00.151532,0.6000000000000001,3,0.5,3.1069171278543537e-06,6.75220129744511e-08,70,67,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5478260869565217,2023-08-23 23:18:38.028865,2023-08-23 23:18:38.763858,0 days 00:00:00.734993,0.6000000000000001,1,0.7000000000000001,0.0010057040633643368,3.696025669071499e-07,30,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.48684210526315796,2023-08-23 23:18:38.032001,2023-08-23 23:18:38.226968,0 days 00:00:00.194967,0.7000000000000001,2,0.7000000000000001,2.284709790785792e-06,4.009744182924918e-08,90,156,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.4517482517482518,2023-08-23 23:18:38.032825,2023-08-23 23:18:38.279208,0 days 00:00:00.246383,0.8,2,1.0,0.0014645459426698172,0.07974541785810632,100,48,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5478260869565217,2023-08-23 23:18:38.033292,2023-08-23 23:18:38.851150,0 days 00:00:00.817858,0.7000000000000001,3,0.8,1.2240183163040929e-06,7.907360962935029e-05,30,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5262939958592132,2023-08-23 23:18:38.034240,2023-08-23 23:18:39.000829,0 days 00:00:00.966589,0.9,1,1.0,1.434654894948089e-06,0.011108939669369721,40,219,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.5193277310924369,2023-08-23 23:18:38.034864,2023-08-23 23:18:38.532495,0 days 00:00:00.497631,0.5,3,0.6000000000000001,4.16213698278336e-06,5.778487033041213e-05,40,114,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.46866854342612874,2023-08-23 23:18:38.035653,2023-08-23 23:18:38.399792,0 days 00:00:00.364139,0.7000000000000001,3,0.5,3.8949445963597684e-05,1.0938435764660798e-06,60,154,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.5337295381086435,2023-08-23 23:18:38.224290,2023-08-23 23:18:39.135607,0 days 00:00:00.911317,0.6000000000000001,3,0.5,1.332605315997303e-08,0.6734545173014775,30,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5104542966611931,2023-08-23 23:18:38.269996,2023-08-23 23:18:38.639596,0 days 00:00:00.369600,0.8,1,0.8,3.030160261693802e-06,3.084602841954521e-07,100,174,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
