,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_min_child_samples,params_num_leaves,state,best_trial,dev_acc,dev_recall_macro,dev_precision_macro,dev_f1_macro,dev_recall_0,dev_precision_0,dev_f1_0,dev_recall_1,dev_precision_1,dev_f1_1,test_acc,test_recall_macro,test_precision_macro,test_f1_macro,test_recall_0,test_precision_0,test_f1_0,test_recall_1,test_precision_1,test_f1_1
0,0,0.5636363636363636,2023-08-24 14:04:01.275316,2023-08-24 14:04:01.797468,0 days 00:00:00.522152,0.9,3,0.6000000000000001,5.026067768688866e-08,1.1542728736680708e-05,80,252,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
1,1,0.5486397798242829,2023-08-24 14:04:01.277646,2023-08-24 14:04:01.659799,0 days 00:00:00.382153,0.6000000000000001,2,0.6000000000000001,1.57671953647134e-08,0.3782377497798425,40,86,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
2,2,0.6014521984671238,2023-08-24 14:04:01.279380,2023-08-24 14:04:01.452222,0 days 00:00:00.172842,0.6000000000000001,1,0.5,5.2644909444951834e-06,0.00015214196723218636,90,46,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
3,3,0.51886501490696,2023-08-24 14:04:01.282241,2023-08-24 14:04:01.735432,0 days 00:00:00.453191,0.6000000000000001,1,1.0,3.1941039294306285e-05,6.363889415711045e-07,40,132,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
4,4,0.5616325691374524,2023-08-24 14:04:01.285368,2023-08-24 14:04:01.602952,0 days 00:00:00.317584,0.6000000000000001,2,0.4,1.428380595237334e-08,9.732343979666773e-06,50,142,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
5,5,0.5964052287581698,2023-08-24 14:04:01.287574,2023-08-24 14:04:01.553889,0 days 00:00:00.266315,0.7000000000000001,3,0.5,0.1494930093767184,0.11400503455759714,80,84,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
6,6,0.6174990321331785,2023-08-24 14:04:01.291232,2023-08-24 14:04:01.410596,0 days 00:00:00.119364,0.5,3,0.4,4.664378368427871e-05,0.0029372605114804007,90,205,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
7,7,0.5830163462526987,2023-08-24 14:04:01.293768,2023-08-24 14:04:02.217891,0 days 00:00:00.924123,0.8,3,0.9,1.475537573919688e-08,0.0025567457960735535,30,217,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
8,8,0.6124223602484473,2023-08-24 14:04:01.453387,2023-08-24 14:04:01.873245,0 days 00:00:00.419858,0.7000000000000001,3,0.7000000000000001,2.6564116412877852e-08,0.044284034901542736,90,215,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
9,9,0.5339308578745199,2023-08-24 14:04:01.496281,2023-08-24 14:04:02.046845,0 days 00:00:00.550564,0.7000000000000001,1,0.4,2.6422527895213364e-07,0.03033983430956679,60,172,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
10,10,0.5411764705882353,2023-08-24 14:04:01.596081,2023-08-24 14:04:02.423118,0 days 00:00:00.827037,1.0,2,0.9,6.847056048493654e-05,4.005546699543045e-08,60,98,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
11,11,0.634375,2023-08-24 14:04:01.643104,2023-08-24 14:04:01.996571,0 days 00:00:00.353467,0.5,3,1.0,0.00152288236356928,8.78684587965472e-05,60,23,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
12,12,0.5337295381086435,2023-08-24 14:04:01.702019,2023-08-24 14:04:02.559143,0 days 00:00:00.857124,1.0,1,0.6000000000000001,0.009364833783841793,0.00018564610887415945,50,256,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
13,13,0.6204775310186633,2023-08-24 14:04:01.777482,2023-08-24 14:04:02.257907,0 days 00:00:00.480425,0.6000000000000001,2,0.5,0.0002377502142643819,0.00021810354571098788,80,198,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
14,14,0.5964052287581698,2023-08-24 14:04:01.837838,2023-08-24 14:04:02.136886,0 days 00:00:00.299048,0.7000000000000001,3,0.8,0.006669814169714639,2.423025988475296e-08,100,35,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
15,15,0.5884322678843226,2023-08-24 14:04:01.927814,2023-08-24 14:04:03.062029,0 days 00:00:01.134215,0.9,1,0.4,0.000874516068534375,3.004248089967106e-06,30,96,COMPLETE,0.0,,,,,,,,,,,,,,,,,,,,
